feature,mean_active_vs_outside_effect,mean_exhaustion_vs_active_effect,mean_prebear_vs_outside_effect,overall_std,mean_ACTIVE_BEAR,mean_EXHAUSTION,mean_OUTSIDE,mean_PRE_BEAR,mean_RECOVERY,median_ACTIVE_BEAR,median_EXHAUSTION,median_OUTSIDE,median_PRE_BEAR,median_RECOVERY,abs_active_vs_outside,abs_exhaustion_vs_active,abs_prebear_vs_outside
dist_ema50_atr,-1.2004324466806333,-0.4566425727241254,0.10758476082909835,2.222122260895524,-0.5206644932489936,-1.5353801193718757,2.146843169221321,2.3859096611927813,-0.38084289763402207,-0.7150618325013347,-1.598976666067062,2.194980040703725,2.3400931448272404,-0.3914332534160333,1.2004324466806333,0.4566425727241254,0.10758476082909835
rsi,-1.1452293305538734,-0.29902874629669207,0.13627719628745338,11.22404701024335,46.2298226161596,42.8735099103114,59.0839304598058,60.61351211736034,49.4680228802273,44.705445251425004,42.505908278424414,59.388259320119715,59.47718726695737,48.86632287808886,1.1452293305538734,0.29902874629669207,0.13627719628745338
dist_ema20_atr,-1.1280882603527413,-0.1724732571092579,0.16881384254303836,1.3750032597171244,-0.5741401255398266,-0.811291416279086,0.9769849096938128,1.209104493475864,0.09131951413959472,-0.7416884561740882,-0.8576017702585313,0.9924278555767144,1.2478067676445388,0.022306748702819,1.1280882603527413,0.1724732571092579,0.16881384254303836
dist_ema200_atr,-1.1129863799636286,-0.7956267627926855,0.2352481943755207,4.506162110824838,0.7331460861326202,-2.852077086722,5.74844314138882,6.808509641523748,1.0145232223794078,0.2108470562609483,-2.82610700469232,5.691503111768194,6.58643395518408,1.6303411378568378,1.1129863799636286,0.7956267627926855,0.2352481943755207
ema50_slope_5,-1.0872757255378318,-0.5758167856446599,-0.05523454694443321,126.6503707305371,-39.31475328766403,-112.24216266242642,98.38912043801606,91.39364459037034,-74.71276990288672,-38.62881894896782,-104.23905147918047,98.27327744510694,95.83342860721314,-49.23410246005551,1.0872757255378318,0.5758167856446599,0.05523454694443321
ema20_slope_5,-1.0525714933217405,-0.3422171029324765,-0.005910646493441323,196.4832305299461,-85.96489658365292,-153.20481851042499,120.84775078793223,119.68640787038038,-63.35853997066199,-92.97317327823112,-151.86447448527542,119.60501906531316,135.31746425589515,-45.84883726415137,1.0525714933217405,0.3422171029324765,0.005910646493441323
ema10_slope_5,-0.9830894322273552,-0.17740683104802568,0.05025312673428107,259.14291965826663,-125.67148029446832,-171.64520445957453,129.08918545811616,142.11192744199465,27.990564368397102,-131.6492032742317,-173.8443262369874,122.44390042950543,162.91807360565326,66.7913161640281,0.9830894322273552,0.17740683104802568,0.05025312673428107
ret_10,-0.868618248573458,-0.2861552447088484,0.1508426857658941,0.039488833930677376,-0.017492919810742358,-0.02879285674744242,0.01680780195633077,0.022764403724197513,0.021334988433008958,-0.018532540111772,-0.0266204696317386,0.01542263490544225,0.0260155096011815,0.0214089783903124,0.868618248573458,0.2861552447088484,0.1508426857658941
drawdown_pct,-0.837445129483232,-1.1779294296940348,0.22954205210036652,0.09745886478974244,-0.1321316830337289,-0.24693134805413827,-0.05051523139059425,-0.028144323571384616,-0.11950805490116288,-0.0960031986257755,-0.2924521316767611,-0.021499724620452798,-0.011370993849142,-0.095297434221278,0.837445129483232,1.1779294296940348,0.22954205210036652
ret_5,-0.7090653884855705,-0.060915984976737454,0.16662292317892508,0.02878509307002754,-0.011993938407684899,-0.013747410704692686,0.008416574792607483,0.01321283114391289,0.02077281525726925,-0.0117913832199546,-0.0098202170963365,0.0080455916862218,0.0133416185393668,0.0187185275221393,0.7090653884855705,0.060915984976737454,0.16662292317892508
rolling_red_ratio_10,0.6695075827735,0.5439784951962537,0.005858728364238829,0.1565452940295013,0.48267898383371827,0.5678362573099415,0.37787072243346004,0.3787878787878788,0.38141592920353984,0.5,0.6,0.4,0.4,0.4,0.6695075827735,0.5439784951962537,0.005858728364238829
