problem,model,fold,rows_train,rows_test,accuracy,precision,recall,f1,auc
EXHAUSTION_VS_ACTIVE,logistic_regression,1,104.0,100.0,0.51,0.0,0.0,0.0,0.6658663465386154
EXHAUSTION_VS_ACTIVE,logistic_regression,3,304.0,100.0,0.35,0.0,0.0,0.0,0.3156043956043956
EXHAUSTION_VS_ACTIVE,logistic_regression,4,404.0,100.0,0.7,0.4782608695652174,0.3793103448275862,0.4230769230769231,0.7119961146187469
EXHAUSTION_VS_ACTIVE,logistic_regression,5,504.0,100.0,0.94,0.5,0.5,0.5,0.975177304964539
EXHAUSTION_VS_ACTIVE,logistic_regression,mean,329.0,100.0,0.625,0.24456521739130435,0.21982758620689655,0.23076923076923078,0.6671610404315742
EXHAUSTION_VS_ACTIVE,random_forest,1,104.0,100.0,0.51,0.0,0.0,0.0,0.6964785914365746
EXHAUSTION_VS_ACTIVE,random_forest,3,304.0,100.0,0.35,0.0,0.0,0.0,0.44439560439560444
EXHAUSTION_VS_ACTIVE,random_forest,4,404.0,100.0,0.9,0.8064516129032258,0.8620689655172413,0.8333333333333334,0.9086935405536669
EXHAUSTION_VS_ACTIVE,random_forest,5,504.0,100.0,0.7,0.16666666666666666,1.0,0.2857142857142857,0.8262411347517731
EXHAUSTION_VS_ACTIVE,random_forest,mean,329.0,100.0,0.615,0.2432795698924731,0.46551724137931033,0.27976190476190477,0.7189522177844048
