setup,r_mult,trades,win_rate,avg_net_dollars,total_net_dollars,profit_factor,avg_hours_from_bear_start
early_setup_core,1.0,4,0.0,-405.5,-1622.0,0.0,61.75
early_setup_core,1.5,4,0.0,-405.5,-1622.0,0.0,61.75
early_setup_core,2.0,4,0.0,-405.5,-1622.0,0.0,61.75
