config,entry_time,exit_time,entry_type,entry_price,exit_price,stop_price_init,stop_price_final,target_price,contracts,bars_in_trade,gross_pnl_points,gross_pnl_dollars,net_pnl_dollars,net_r,mfe_points,mae_points,exit_reason,entry_bear_prob,entry_exhaust_prob,entry_daily_rsi,entry_daily_adx,entry_daily_dist_ema50_atr,entry_daily_dist_ema200_atr,entry_range_pos
rebound_primary,2021-05-11 14:00:00+00:00,2021-05-13 12:00:00+00:00,rebound_failure,13112.5,12999.778034963467,13298.85973671127,12997.778034963467,12739.780526577459,1,45,112.72196503653322,225.44393007306644,223.94393007306644,0.6008377507530648,296.5,164.5,stop,0.8380115895742699,0.10493579502906038,34.77061641695417,26.078846618371973,-1.9756623805855495,1.3388471582024075,0.9900142653352354
rebound_primary,2022-01-14 15:00:00+00:00,2022-01-19 09:00:00+00:00,rebound_failure,15822.5,15567.64505324704,16069.452190802116,15565.64505324704,15328.595618395768,1,59,254.85494675295922,509.70989350591844,508.20989350591844,1.0289641323999212,444.25,158.75,stop,0.8887526145314064,0.20370031484329665,31.636708140987796,24.380507500534645,-2.694099046691419,-0.0382721012541982,0.5471698113207547
rebound_primary,2022-09-14 15:00:00+00:00,2022-09-15 14:00:00+00:00,rebound_failure,12272.5,12243.829963944849,12426.744576657435,12241.829963944849,11964.01084668513,1,22,28.670036055151286,57.34007211030257,55.84007211030257,0.18101146024186987,195.0,57.75,stop,0.8618513079368989,0.3807758372406365,37.61541117546827,18.533231487864853,-2.3825718327268213,-4.136421546654597,-0.4347202295552367
hybrid_early_plus_rebound,2021-03-24 18:00:00+00:00,2021-03-25 14:00:00+00:00,breakdown,12767.25,12731.33432163456,12953.244343792978,12729.33432163456,12358.062443655448,1,19,35.91567836543982,71.83135673087963,70.33135673087963,0.1890685364313078,233.5,23.5,stop,0.7197584765021615,0.0,42.683027184758735,24.377575277295367,-1.1781164893199612,1.6952814789997142,-0.08365019011406843
hybrid_early_plus_rebound,2021-05-10 19:00:00+00:00,2021-05-11 13:00:00+00:00,breakdown,13257.75,13131.383398626193,13411.443437414102,13129.383398626193,12919.624437688975,1,17,126.3666013738075,252.733202747615,251.233202747615,0.817319226424444,291.0,11.75,stop,0.7804614338744074,0.03757565818304819,37.87853309781773,21.731880566208982,-1.2792632908265569,2.5689987573565367,0.41217672413793105
hybrid_early_plus_rebound,2021-05-11 14:00:00+00:00,2021-05-13 12:00:00+00:00,rebound_failure,13112.5,13005.810453086944,13306.257220255726,13003.810453086944,12686.234115437403,1,45,106.68954691305589,213.37909382611178,211.87909382611178,0.5467643826291178,296.5,164.5,stop,0.8380115895742699,0.10493579502906038,34.77061641695417,26.078846618371973,-1.9756623805855495,1.3388471582024075,0.9900142653352354
hybrid_early_plus_rebound,2023-08-15 19:00:00+00:00,2023-08-17 19:00:00+00:00,breakdown,15063.75,14729.494551845375,15214.775203706648,14871.427339380793,14731.494551845375,1,46,334.2554481546249,668.5108963092498,667.0108963092498,2.2082767642043932,349.5,62.0,target,0.7797710769079075,0.38155650829773935,29.99615331940946,19.805078433073135,-2.372443170525979,3.0477843364794035,-0.12973593570608496
hybrid_early_plus_rebound,2024-07-24 16:00:00+00:00,2024-07-25 14:00:00+00:00,breakdown,19538.25,19162.311838006866,19708.22189181506,19481.144893964767,19164.311838006866,1,21,375.9381619931337,751.8763239862674,750.3763239862674,2.2073541571294584,436.25,60.25,target,0.8779808612941475,0.1553731789636432,31.57702250768969,26.69199124709435,-2.2908731279026817,2.0162168942249337,0.5447042640990372
early_focus,2021-05-11 14:00:00+00:00,2021-05-13 12:00:00+00:00,rebound_failure,13112.5,13011.842871210421,13313.654703800179,13009.842871210421,12609.613240499551,1,45,100.65712878957856,201.31425757915713,199.81425757915713,0.49666812111350506,296.5,164.5,stop,0.8380115895742699,0.10493579502906038,34.77061641695417,26.078846618371973,-1.9756623805855495,1.3388471582024075,0.9900142653352354
early_focus,2023-03-02 16:00:00+00:00,2023-03-02 19:00:00+00:00,rebound_failure,11971.0,12090.816392684024,12088.816392684024,12088.816392684024,11676.45901828994,2,3,-119.81639268402432,-479.2655707360973,-482.2655707360973,-1.0233414038348239,10.0,148.0,stop,0.5476209814331553,0.0,45.11423729445713,15.926396238961086,-0.0158282196369521,-0.0752026655174879,1.186764705882353
