config,trades,win_rate,avg_net_pnl,total_net_pnl,profit_factor,avg_bars,avg_r,max_drawdown,ending_equity,early_trades,rebound_trades,breakdown_trades
hybrid_early_plus_rebound,5,1.0,390.16617472002474,1950.8308736001236,,29.6,1.1937566133637443,0.0,101950.83087360012,0,1,4
rebound_primary,3,1.0,262.66463189642917,787.9938956892875,,42.0,0.6036044477982853,0.0,100787.99389568929,0,3,0
early_focus,2,0.5,-141.22565657847008,-282.45131315694016,0.4143241187094784,24.0,-0.2633366413606594,-482.2655707360973,99717.54868684306,0,2,0
