label,trades,win_rate,avg_net_dollars,total_net_dollars,profit_factor,avg_gross_points,avg_hours_from_bear_start,pct_stop_exits
early_short_proto_v1,8,1.0,884.8125,7078.5,,443.15625,74.125,0.0
benchmark_first_rally_v1,2,1.0,398.25,796.5,,199.875,110.0,0.0
