signal_name,time,bear_window_id,hours_from_bear_start,conditions_passed,conditions_total,conditions_failed,bear_prob,exhaust_prob,daily_model_rsi,daily_model_adx,daily_model_ema20_slope_5,daily_model_ema50_slope_5,daily_model_atr,rsi70_streak,ob_streak_not_making_higher_high,rsi_rolling_over,range_pos,hh_8,high,close,open,h1_rsi,h1_ema_20,h1_ret_4,fail_in_session,fail_hours_from_bear_start_ge_12,fail_hours_from_bear_start_le_144,fail_bear_prob_ge_0_45,fail_exhaust_prob_le_0_50,fail_daily_rsi_32_55,fail_daily_adx_ge_15,fail_high_ge_hh8,fail_close_lt_open,fail_close_lt_h1_ema20,fail_h1_ret_4_gt_0
first_rally_short_relaxed,2020-09-04 10:00:00+00:00,2.0,82.0,10,11,1,0.5132209733230575,0.1177261212045386,48.719151673592,42.90654624545324,171.71086916653985,166.36370056694795,258.4811472372005,0,0,0,0.2392014519056261,11610.0,11615.25,11563.25,11608.0,40.19834239403523,11619.254889471951,0.0095381526104416,1,0,0,0,0,0,0,0,0,0,0
first_rally_short_relaxed,2020-09-04 19:00:00+00:00,2.0,91.0,10,11,1,0.5132209733230575,0.1177261212045386,48.719151673592,42.90654624545324,171.71086916653985,166.36370056694795,258.4811472372005,0,0,0,0.6791310541310541,11659.5,11567.75,11434.25,11500.25,45.0858939693153,11473.337566900927,0.0113435344065098,0,0,0,0,0,0,0,1,0,0,0
first_rally_short_relaxed,2020-09-04 20:00:00+00:00,2.0,92.0,10,11,1,0.5132209733230575,0.1177261212045386,48.719151673592,42.90654624545324,171.71086916653985,166.36370056694795,258.4811472372005,0,0,0,0.5687321937321937,11659.5,11439.5,11356.75,11434.75,41.72883728831488,11462.23398910084,0.0027371255766726,0,0,0,0,0,0,0,1,0,0,0
first_rally_short_relaxed,2022-04-06 19:00:00+00:00,7.0,67.0,10,11,1,0.6323389350397115,0.4849619997790792,47.75107516802375,18.69131952783756,105.61772270329492,60.12795285971879,324.5252505106953,0,0,0,0.2417218543046357,14860.25,14845.5,14698.0,14794.0,33.0741186189138,14840.050003938371,0.0005616160928538,0,0,0,0,0,0,0,1,0,0,0
first_rally_short_relaxed,2022-04-06 20:00:00+00:00,7.0,68.0,10,11,1,0.6323389350397115,0.4849619997790792,47.75107516802375,18.69131952783756,105.61772270329492,60.12795285971879,324.5252505106953,0,0,0,0.2259321090706733,14845.5,14711.0,14690.0,14698.25,32.61266713386783,14825.759527372811,0.0034153005464481,0,0,0,0,0,0,0,1,0,0,0
first_rally_short_relaxed,2022-04-07 07:00:00+00:00,7.0,79.0,10,11,1,0.6171012931295861,0.443276247155396,49.93780707880706,17.39609369807947,68.17793958869697,46.495484120123365,323.8984469027885,0,0,0,0.3851617995264404,14732.25,14759.0,14710.5,14723.25,42.814501608387765,14731.568194540352,0.0046268631233887,1,0,0,0,0,0,0,0,0,0,0
first_rally_short_relaxed,2022-04-07 14:00:00+00:00,7.0,86.0,10,11,1,0.6171012931295861,0.443276247155396,49.93780707880706,17.39609369807947,68.17793958869697,46.495484120123365,323.8984469027885,0,0,0,0.2947470817120622,14796.75,14801.25,14664.25,14752.75,41.32567597308601,14729.240847625477,-0.005982036942891,0,0,0,0,0,0,0,0,0,0,1
first_rally_short_relaxed,2022-04-07 19:00:00+00:00,7.0,91.0,10,11,1,0.6171012931295861,0.443276247155396,49.93780707880706,17.39609369807947,68.17793958869697,46.495484120123365,323.8984469027885,0,0,0,0.7637931034482759,14801.25,14827.0,14732.75,14760.0,50.41892762559417,14706.55984672382,0.0111875632732201,0,0,0,0,0,0,0,0,0,1,0
first_rally_short_relaxed,2022-04-08 17:00:00+00:00,7.0,113.0,10,11,1,0.7322240580659166,0.4731780513472429,45.7600769991834,16.1612593925425,14.970516770727045,25.43683768404117,324.47712926687507,0,0,0,0.2399697199091597,14793.0,14673.75,14584.5,14673.25,40.50916682934585,14696.41578144014,0.0046670225773675,0,0,0,0,0,0,0,1,0,0,0
first_rally_short_relaxed,2023-08-02 19:00:00+00:00,8.0,91.0,10,11,1,0.5699554792650465,0.0154806289897897,46.41326387965572,20.112716306057138,73.51502456705202,100.63401747998432,191.3527831870604,0,0,0,0.1433311214333112,15680.75,15467.25,15427.5,15452.25,26.62433122334913,15563.819466662786,0.0012655763239874,0,0,0,0,0,0,0,1,0,0,0
