signal_name,time,bear_window_id,hours_from_bear_start,conditions_passed,conditions_total,conditions_failed,bear_prob,exhaust_prob,daily_model_rsi,daily_model_adx,daily_model_ema20_slope_5,daily_model_ema50_slope_5,daily_model_atr,rsi70_streak,ob_streak_not_making_higher_high,rsi_rolling_over,range_pos,hh_8,high,close,open,h1_rsi,h1_ema_20,h1_ret_4,fail_is_early_window,fail_in_session,fail_upper_range_failure,fail_overbought_stall_condition
early_relaxed_signal_B,2020-02-18 20:00:00+00:00,1.0,20.0,3,4,1,0.2197375372639464,0.0138767923012155,71.53455781667317,52.29122706936608,137.78549203134207,96.22070454236382,114.86094869000816,1,0,0,0.8925438596491229,9126.5,9132.75,9114.25,9123.5,57.47666363672526,9083.142642498313,0.0059601004387295,0,0,0,1
early_relaxed_signal_B,2022-04-04 16:00:00+00:00,7.0,16.0,3,4,1,0.4666109923926876,0.0557755906235289,62.46339297890856,19.3700209693612,211.26984961815288,95.80749912041938,306.9065035508656,0,0,0,0.937123745819398,15314.5,15324.0,15291.0,15302.0,69.89576155210966,15138.221573926108,0.0141601724423809,0,0,0,1
early_relaxed_signal_B,2022-04-07 19:00:00+00:00,7.0,91.0,3,4,1,0.6171012931295861,0.443276247155396,49.93780707880706,17.39609369807947,68.17793958869697,46.495484120123365,323.8984469027885,0,0,0,0.7637931034482759,14801.25,14827.0,14732.75,14760.0,50.41892762559417,14706.55984672382,0.0111875632732201,0,0,0,1
early_relaxed_signal_B,2024-03-28 14:00:00+00:00,9.0,110.0,3,4,1,0.359225695898742,0.014627209899923,57.7346154265792,19.370836459882305,128.28393000843425,115.3508852705636,220.90112554533616,0,0,1,0.7839285714285714,18781.25,18783.5,18751.0,18760.0,53.3719836920825,18738.08116174125,0.0009875884158547,0,0,0,1
early_relaxed_signal_B,2024-07-10 14:00:00+00:00,10.0,14.0,3,4,1,0.2789618116392102,0.0423023309321362,75.70945562509343,40.97054004955898,321.31281707362723,242.51420344251528,209.1783180699028,5,0,0,0.7010785824345146,20996.75,21014.25,20948.25,20983.0,54.45533498102599,20941.21445699773,-0.0003101921998591,0,0,0,1
early_relaxed_signal_B,2024-07-12 15:00:00+00:00,10.0,63.0,3,4,1,0.3289732293127288,0.0138749014630614,61.27082853020463,39.07050495706837,243.0905373323804,215.2732035622721,249.83615180517128,0,0,0,0.7969581749049429,20879.5,20888.0,20812.75,20855.25,57.730395518751685,20726.67303814285,0.0073081902549396,0,0,0,1
early_relaxed_signal_B,2024-07-15 15:00:00+00:00,10.0,135.0,3,4,1,0.3385373400147463,0.0112561657720753,61.19617639198446,38.33742570043124,111.98806776404308,160.89528632198198,252.19662008599173,0,0,0,0.9119233073696824,20957.0,21015.0,20920.25,20946.75,61.37860952814058,20832.60429255618,0.0038628102544415,0,0,0,1
early_relaxed_signal_B,2020-02-18 14:00:00+00:00,1.0,14.0,2,4,2,0.2197375372639464,0.0138767923012155,71.53455781667317,52.29122706936608,137.78549203134207,96.22070454236382,114.86094869000816,1,0,0,0.6519337016574586,9071.25,9101.25,9101.0,9059.5,56.940873616872,9070.125942816758,0.0062190773653223,0,0,1,1
early_relaxed_signal_B,2020-02-18 15:00:00+00:00,1.0,15.0,2,4,2,0.2197375372639464,0.0138767923012155,71.53455781667317,52.29122706936608,137.78549203134207,96.22070454236382,114.86094869000816,1,0,0,0.6261510128913443,9101.25,9106.5,9097.5,9101.0,55.77675668811422,9072.732995881828,0.0069732691349826,0,0,1,1
early_relaxed_signal_B,2020-02-18 16:00:00+00:00,1.0,16.0,2,4,2,0.2197375372639464,0.0138767923012155,71.53455781667317,52.29122706936608,137.78549203134207,96.22070454236382,114.86094869000816,1,0,0,0.3517495395948434,9106.5,9101.75,9060.25,9097.0,45.18812748560961,9071.544139131178,0.0012432312962757,0,0,1,1
