signal_name,time,bear_window_id,hours_from_bear_start,conditions_passed,conditions_total,conditions_failed,bear_prob,exhaust_prob,daily_model_rsi,daily_model_adx,daily_model_ema20_slope_5,daily_model_ema50_slope_5,daily_model_atr,rsi70_streak,ob_streak_not_making_higher_high,rsi_rolling_over,range_pos,hh_8,high,close,open,h1_rsi,h1_ema_20,h1_ret_4,fail_is_early_window,fail_in_session,fail_upper_range_failure,fail_soft_daily_weakening,fail_soft_slope_condition
early_relaxed_signal_A,2020-09-08 14:00:00+00:00,2.0,182.0,4,5,1,0.7355374309600398,0.3286328617274555,38.45404857270393,37.46381204717899,-128.51853454127377,37.60203849198842,281.8686517784729,0,0,0,0.3798614810868407,11390.5,11221.0,11110.75,11111.25,37.58895763598986,11215.226893225965,-0.0026256732495512,0,0,1,0,0
early_relaxed_signal_A,2020-09-08 15:00:00+00:00,2.0,183.0,4,5,1,0.7355374309600398,0.3286328617274555,38.45404857270393,37.46381204717899,-128.51853454127377,37.60203849198842,281.8686517784729,0,0,0,0.2631859350026638,11368.75,11157.25,11056.0,11112.25,34.11248659985185,11200.062427204446,0.0016080447534709,0,0,1,0,0
early_relaxed_signal_A,2020-09-08 16:00:00+00:00,2.0,184.0,4,5,1,0.7355374309600398,0.3286328617274555,38.45404857270393,37.46381204717899,-128.51853454127377,37.60203849198842,281.8686517784729,0,0,0,0.3420351624933404,11341.25,11103.5,11093.0,11056.5,38.267697686827695,11189.866005565927,0.0048689901940801,0,0,1,0,0
early_relaxed_signal_A,2020-09-08 17:00:00+00:00,2.0,185.0,4,5,1,0.7355374309600398,0.3286328617274555,38.45404857270393,37.46381204717899,-128.51853454127377,37.60203849198842,281.8686517784729,0,0,0,0.3185935002663825,11221.0,11110.75,11082.0,11093.0,37.51031336586347,11179.593052654884,-0.0025651410827595,0,0,1,0,0
early_relaxed_signal_A,2020-09-08 18:00:00+00:00,2.0,186.0,4,5,1,0.7355374309600398,0.3286328617274555,38.45404857270393,37.46381204717899,-128.51853454127377,37.60203849198842,281.8686517784729,0,0,0,0.0644645711241342,11221.0,11099.75,10962.75,11082.0,30.469804765565584,11158.941333354422,-0.0133204329140697,0,0,1,0,0
early_relaxed_signal_A,2020-09-08 19:00:00+00:00,2.0,187.0,4,5,1,0.7355374309600398,0.3286328617274555,38.45404857270393,37.46381204717899,-128.51853454127377,37.60203849198842,281.8686517784729,0,0,0,-0.0298656047784967,11221.0,10992.75,10881.75,10962.5,26.791395922660115,11132.542158749238,-0.0157606729377713,0,0,1,0,0
early_relaxed_signal_A,2020-09-08 20:00:00+00:00,2.0,188.0,4,5,1,0.7355374309600398,0.3286328617274555,38.45404857270393,37.46381204717899,-128.51853454127377,37.60203849198842,281.8686517784729,0,0,0,-0.0157142857142857,11221.0,10905.25,10860.25,10881.5,25.897700258565507,11106.60957220169,-0.0209817001712792,0,0,1,0,0
early_relaxed_signal_A,2022-04-07 19:00:00+00:00,7.0,91.0,4,5,1,0.6171012931295861,0.443276247155396,49.93780707880706,17.39609369807947,68.17793958869697,46.495484120123365,323.8984469027885,0,0,0,0.7637931034482759,14801.25,14827.0,14732.75,14760.0,50.41892762559417,14706.55984672382,0.0111875632732201,0,0,0,0,1
early_relaxed_signal_A,2022-04-08 08:00:00+00:00,7.0,104.0,4,5,1,0.7322240580659166,0.4731780513472429,45.7600769991834,16.1612593925425,14.970516770727045,25.43683768404117,324.47712926687507,0,0,0,0.8487727632620744,14817.5,14835.5,14779.25,14812.0,54.03781487038465,14743.46279350273,0.0035990153637213,0,1,0,0,0
early_relaxed_signal_A,2022-04-08 14:00:00+00:00,7.0,110.0,4,5,1,0.7322240580659166,0.4731780513472429,45.7600769991834,16.1612593925425,14.970516770727045,25.43683768404117,324.47712926687507,0,0,0,0.4761544284632854,14835.5,14663.0,14662.5,14516.75,45.0313675185954,14719.598637107032,-0.0078828066851613,0,0,1,0,0
