signal_name,time,bear_window_id,hours_from_bear_start,conditions_passed,conditions_total,conditions_failed,bear_prob,exhaust_prob,daily_model_rsi,daily_model_adx,daily_model_ema20_slope_5,daily_model_ema50_slope_5,daily_model_atr,rsi70_streak,ob_streak_not_making_higher_high,rsi_rolling_over,range_pos,hh_8,high,close,open,h1_rsi,h1_ema_20,h1_ret_4,fail_is_early_window,fail_in_session,fail_upper_range_failure,fail_near_end_of_avg_ob_streak,fail_close_back_below_ema20_fail
early_relaxed_signal_C,2024-07-10 14:00:00+00:00,10.0,14.0,4,5,1,0.2789618116392102,0.0423023309321362,75.70945562509343,40.97054004955898,321.31281707362723,242.51420344251528,209.1783180699028,5,0,0,0.7010785824345146,20996.75,21014.25,20948.25,20983.0,54.45533498102599,20941.21445699773,-0.0003101921998591,0,0,0,0,1
early_relaxed_signal_C,2020-02-18 16:00:00+00:00,1.0,16.0,3,5,2,0.2197375372639464,0.0138767923012155,71.53455781667317,52.29122706936608,137.78549203134207,96.22070454236382,114.86094869000816,1,0,0,0.3517495395948434,9106.5,9101.75,9060.25,9097.0,45.18812748560961,9071.544139131178,0.0012432312962757,0,0,1,1,0
early_relaxed_signal_C,2020-02-18 20:00:00+00:00,1.0,20.0,3,5,2,0.2197375372639464,0.0138767923012155,71.53455781667317,52.29122706936608,137.78549203134207,96.22070454236382,114.86094869000816,1,0,0,0.8925438596491229,9126.5,9132.75,9114.25,9123.5,57.47666363672526,9083.142642498313,0.0059601004387295,0,0,0,1,1
early_relaxed_signal_C,2020-02-20 15:00:00+00:00,1.0,63.0,3,5,2,0.3109612255553433,0.0128900228199459,62.09561983942258,49.54991774644077,118.92077692361454,91.64337239762062,123.37882820720094,0,0,1,0.2019543973941368,9222.25,9204.0,9180.25,9192.75,47.48607528298587,9191.71531649763,-0.0004355282140621,0,0,1,1,0
early_relaxed_signal_C,2020-02-20 16:00:00+00:00,1.0,64.0,3,5,2,0.3109612255553433,0.0128900228199459,62.09561983942258,49.54991774644077,118.92077692361454,91.64337239762062,123.37882820720094,0,0,1,-1.3387622149837133,9219.0,9180.75,9062.0,9180.5,26.45314620422017,9179.361476831187,-0.0140622875017,0,0,1,1,0
early_relaxed_signal_C,2020-02-21 14:00:00+00:00,1.0,86.0,3,5,2,0.3983495688875695,0.0184816200664927,55.62909173544952,46.38234795576832,87.80927435946069,79.90245583300748,128.88748333525805,0,0,1,-0.2452380952380952,9084.25,9084.0,8991.25,9065.75,31.32752804246684,9068.625396687976,-0.0074513591831102,0,0,1,1,0
early_relaxed_signal_C,2020-02-25 14:00:00+00:00,1.0,182.0,3,5,2,0.6948221449468774,0.2327379734585271,35.63018425099776,42.82334098777909,-81.36947275331659,8.231053865385547,161.87283195610857,0,0,0,0.4615384615384615,8703.0,8669.25,8606.75,8643.25,41.84998755997077,8644.020675687721,0.002329169942062,0,0,1,1,0
early_relaxed_signal_C,2020-09-01 14:00:00+00:00,2.0,14.0,3,5,2,0.2990027468877278,0.0467198624313652,84.05914024181126,45.3234414488962,296.2965970770256,208.6466119041088,168.0689658711325,8,0,0,0.8390977443609022,12065.0,12087.5,12038.25,12014.75,64.04223437136554,11990.04961775767,-0.0015758153807874,0,0,1,0,1
early_relaxed_signal_C,2020-09-01 15:00:00+00:00,2.0,15.0,3,5,2,0.2990027468877278,0.0467198624313652,84.05914024181126,45.3234414488962,296.2965970770256,208.6466119041088,168.0689658711325,8,0,0,0.7377483443708609,12087.5,12065.75,12038.0,12038.5,63.97494973512797,11994.616320828369,0.0010186474856037,0,0,1,0,1
early_relaxed_signal_C,2020-09-01 16:00:00+00:00,2.0,16.0,3,5,2,0.2990027468877278,0.0467198624313652,84.05914024181126,45.3234414488962,296.2965970770256,208.6466119041088,168.0689658711325,8,0,0,0.8980132450331125,12087.5,12074.5,12068.25,12038.0,68.31305298691181,12001.629052178048,0.0052477041294434,0,0,1,0,1
early_relaxed_signal_C,2020-09-01 17:00:00+00:00,2.0,17.0,3,5,2,0.2990027468877278,0.0467198624313652,84.05914024181126,45.3234414488962,296.2965970770256,208.6466119041088,168.0689658711325,8,0,0,0.990728476821192,12087.5,12100.25,12085.75,12068.0,70.52439240893558,12009.640571018232,0.0059721991010488,0,0,1,0,1
early_relaxed_signal_C,2020-09-01 18:00:00+00:00,2.0,18.0,3,5,2,0.2990027468877278,0.0467198624313652,84.05914024181126,45.3234414488962,296.2965970770256,208.6466119041088,168.0689658711325,8,0,0,0.9528795811518324,12100.25,12096.25,12091.25,12086.0,71.20454794244685,12017.412897587925,0.0044026332731086,0,0,1,0,1
early_relaxed_signal_C,2020-09-01 19:00:00+00:00,2.0,19.0,3,5,2,0.2990027468877278,0.0467198624313652,84.05914024181126,45.3234414488962,296.2965970770256,208.6466119041088,168.0689658711325,8,0,0,1.0628342245989304,12100.25,12116.75,12112.0,12091.0,73.67280379021639,12026.42119305574,0.0061472005316498,0,0,1,0,1
