time,side,rsi_at_arm,max_rsi_next_10,min_rsi_next_10,crosses_50_next_10,stayed_neutral_next_5,ret_5d,ret_10d,ret_20d
2025-10-12 00:00:00+00:00,buy_arm,35.5976840705043,54.885714695436455,35.5976840705043,3,False,0.012966077239210616,0.024947011234613292,0.035982605753634544
2025-11-19 00:00:00+00:00,buy_arm,44.922947956990946,58.18379709311316,30.92588030263468,1,False,-0.000498660461114242,0.012280736061951236,0.0047519408647358485
2025-12-18 00:00:00+00:00,buy_arm,40.47645194652036,60.68239068459275,40.47645194652036,2,False,0.0245209674886131,0.01614771477933097,0.026130830846552433
2026-01-21 00:00:00+00:00,buy_arm,48.49054753682496,65.65520883966948,43.65791065863861,5,False,0.02288418276316806,0.015417733302304004,-0.03025366534791718
2026-02-06 00:00:00+00:00,buy_arm,43.72108556156198,48.135496103037376,37.228723685774554,0,False,-0.010891783270299937,-0.005371831458787946,-0.005243460486427209
2026-03-31 00:00:00+00:00,buy_arm,47.658082316817534,68.84616030972946,47.658082316817534,3,True,0.01093083723348931,0.039375975039001476,0.12660426417056692
2025-11-04 00:00:00+00:00,sell_arm,46.67850289807016,53.35021264539964,38.47589395571582,4,False,0.006262667012458145,-0.014878636813339896,-0.009759002583830445
2025-12-11 00:00:00+00:00,sell_arm,59.273340761720696,59.273340761720696,27.327726248256937,2,False,-0.0374759861221291,-0.004769323406004222,-0.018293557112408876
2025-12-26 00:00:00+00:00,sell_arm,59.08695519337506,59.81369046664087,39.19573905460293,2,False,-0.014081131858441065,-0.0010256508569456146,-0.0181933208082512
2026-01-11 00:00:00+00:00,sell_arm,59.86510921538845,59.86510921538845,29.884033744481897,4,True,-0.008829663076128313,-0.0110012053494557,-0.018673350297510827
2026-01-29 00:00:00+00:00,sell_arm,57.24037232983257,57.24037232983257,27.338259050672022,3,False,-0.034872734560655094,-0.026560158807417356,-0.03818440366096909
2026-04-12 00:00:00+00:00,sell_arm,59.24752818564118,79.44714374635205,59.24752818564118,0,False,0.07436759526096703,0.08392371117515207,0.1355367435158501
