zone,bars,avg_5d,med_5d,avg_10d,med_10d,avg_20d,med_20d
<30,8,0.03283965224343724,0.03540560953451033,0.04872044865928038,0.0320216550367346,0.08069363621176241,0.05800964686591015
30-40,27,0.005896599282989772,0.007459043602210391,0.01602264047264475,0.008845316774154899,0.021930571366759216,0.020614619241617005
40-50,60,-0.003121466080212221,-0.0025960339834724677,-9.309606907510481e-05,-0.00533512096782246,0.005668729165140726,-0.0032641368044547536
50-60,42,0.0015031395578989702,0.0004988666505073014,-0.00201193855504291,-0.007700509192407445,-0.002326245155925909,-0.005278941970027484
60-70,24,-0.0018398158708505437,-0.007142498849703693,-0.0028112932936017096,-0.014935619663064281,0.0036121934690113247,-0.014841944667539742
>70,24,0.01877201285700941,0.018341973666100797,0.03148625311942687,0.03800167569641977,0.01644203854337148,0.01533537911052002
