signal_time,entry_time,entry,d_rsi10,d_atr7,d_atr14,h1_atr14,pullback_depth_atr,bars_since_20bar_high,close_loc,body_ratio,dist_prev_day_high,dist_prev_day_low,dist_prev_day_close,max_favorable_points,max_adverse_points,final_move_points
2020-09-04 13:00:00+00:00,2020-09-04 14:00:00+00:00,11356.0,43.45639083937698,339.11409003172855,258.48115133381515,105.9825546214541,2.41549187896418,51.0,0.12271731190650109,0.42585829072315556,-878.5,-39.25,-58.0,211.75,604.75,-169.5
2020-09-04 14:00:00+00:00,2020-09-04 15:00:00+00:00,11165.25,43.45639083937698,339.11409003172855,258.48115133381515,132.0373721484931,3.7413649784277223,52.0,0.44184811471056823,0.40467339352097714,-1072.25,-233.0,-251.75,402.5,414.0,86.5
2020-09-04 17:00:00+00:00,2020-09-04 18:00:00+00:00,11293.75,43.45639083937698,339.11409003172855,258.48115133381515,143.55907675300267,2.5442487389942094,55.0,0.773286467486819,0.2126537785588752,-943.5,-104.25,-123.0,274.0,542.5,-116.25
2020-09-04 19:00:00+00:00,2020-09-04 20:00:00+00:00,11434.75,43.45639083937698,339.11409003172855,258.48115133381515,149.44507128192578,1.5072427485752904,57.0,0.012939001848428836,0.4879852125693161,-803.5,35.75,17.0,4.75,683.5,-262.75
2020-09-04 20:00:00+00:00,2020-09-06 22:00:00+00:00,11347.75,43.45639083937698,339.11409003172855,258.48115133381515,144.91328047607394,2.0891805016448157,58.0,0.0377906976744186,0.9069767441860465,-881.0,-41.75,-60.5,54.0,596.5,-156.25
2020-09-06 22:00:00+00:00,2020-09-06 23:00:00+00:00,11236.25,39.92929486725834,325.02636288433877,257.19678338139977,151.7409032992115,2.8008268750184016,59.0,0.4584199584199584,0.4708939708939709,-425.0,277.0,-122.25,165.5,485.0,-3.0
2020-11-09 14:00:00+00:00,2020-11-09 15:00:00+00:00,12048.25,57.21678660171277,309.1994327886024,269.84149700021646,106.37302293306928,2.777959973798346,10.0,0.40028694404591103,0.2855093256814921,-146.0,-9.5,-120.75,148.5,609.25,-217.25
2020-11-09 16:00:00+00:00,2020-11-09 17:00:00+00:00,12050.25,57.21678660171277,309.1994327886024,269.84149700021646,109.95173916167708,2.4669914461393287,12.0,0.34521158129175944,0.4209354120267261,-144.75,-8.25,-119.5,31.75,611.25,-256.75
2020-11-09 18:00:00+00:00,2020-11-09 19:00:00+00:00,12014.25,57.21678660171277,309.1994327886024,269.84149700021646,106.023438358793,2.8885122454114533,14.0,0.24860335195530725,0.441340782122905,-179.75,-43.25,-154.5,9.25,575.25,-254.0
2020-11-09 19:00:00+00:00,2020-11-09 20:00:00+00:00,11943.25,57.21678660171277,309.1994327886024,269.84149700021646,106.64676419030779,3.5444113365265437,15.0,0.2984749455337691,0.6209150326797386,-251.5,-115.0,-226.25,38.75,504.25,-144.75
2020-11-09 20:00:00+00:00,2020-11-09 21:00:00+00:00,11758.75,57.21678660171277,309.1994327886024,269.84149700021646,115.68985246242866,4.859976808965124,16.0,0.04287245444801715,0.7909967845659164,-435.75,-299.25,-410.5,152.25,319.75,29.5
2020-11-09 23:00:00+00:00,2020-11-10 00:00:00+00:00,11791.75,57.21678660171277,309.1994327886024,269.84149700021646,107.20196462321655,4.120726719446062,18.0,0.0975609756097561,0.16097560975609757,-403.5,-267.0,-378.25,119.25,352.75,-41.0
2020-11-10 00:00:00+00:00,2020-11-10 01:00:00+00:00,11767.5,48.77925057174002,320.84951381880205,278.4778186430582,104.81253857870108,4.355394938337704,19.0,0.5525423728813559,0.33220338983050846,-576.75,18.5,-23.75,143.5,328.5,9.25
2020-11-10 02:00:00+00:00,2020-11-10 03:00:00+00:00,11703.5,48.77925057174002,320.84951381880205,278.4778186430582,105.31540316224736,4.683550413229737,21.0,0.09821428571428571,0.7357142857142858,-640.5,-45.25,-87.5,207.5,264.5,96.0
2020-11-10 03:00:00+00:00,2020-11-10 04:00:00+00:00,11655.5,48.77925057174002,320.84951381880205,278.4778186430582,105.48930293637255,4.434098879979617,22.0,0.33642691415313225,0.44547563805104406,-688.5,-93.25,-135.5,255.5,216.5,131.5
2020-11-10 10:00:00+00:00,2020-11-10 11:00:00+00:00,11506.25,48.77925057174002,320.84951381880205,278.4778186430582,100.81930848841839,3.2111904441121095,29.0,0.02364394993045897,0.8595271210013908,-838.0,-242.75,-285.0,404.75,67.25,322.0
2020-11-10 15:00:00+00:00,2020-11-10 16:00:00+00:00,11504.25,48.77925057174002,320.84951381880205,278.4778186430582,105.91298269803939,2.8608390801707544,34.0,0.3502673796791444,0.4411764705882353,-839.5,-244.25,-286.5,406.75,6.5,330.75
2020-11-10 18:00:00+00:00,2020-11-10 19:00:00+00:00,11590.75,48.77925057174002,320.84951381880205,278.4778186430582,111.71704554941421,1.9379316641903015,37.0,0.5023847376788553,0.2591414944356121,-753.0,-157.75,-200.0,320.25,80.75,277.5
2020-11-10 19:00:00+00:00,2020-11-10 20:00:00+00:00,11562.0,48.77925057174002,320.84951381880205,278.4778186430582,112.00511372445605,1.46645090155501,38.0,0.4470842332613391,0.2505399568034557,-782.25,-187.0,-229.25,349.0,51.0,321.0
2020-11-10 20:00:00+00:00,2020-11-10 21:00:00+00:00,11559.75,48.77925057174002,320.84951381880205,278.4778186430582,109.46903417270919,1.1464429274309553,39.0,0.5065359477124183,0.026143790849673203,-784.0,-188.75,-231.0,351.25,48.75,323.25
2020-11-10 23:00:00+00:00,2020-11-11 00:00:00+00:00,11533.75,48.77925057174002,320.84951381880205,278.4778186430582,101.48222844483598,1.4904087377448252,41.0,0.20141342756183744,0.5159010600706714,-809.75,-214.5,-256.75,467.5,22.75,440.75
2023-02-02 21:00:00+00:00,2023-02-02 23:00:00+00:00,12805.75,78.09610952571036,292.68789996588004,259.35080210963315,102.07041271783926,2.5742033661247077,0.0,0.16265060240963855,0.5293674698795181,112.25,617.0,128.0,138.25,283.0,21.5
2023-02-02 23:00:00+00:00,2023-02-03 00:00:00+00:00,12731.0,78.09610952571036,292.68789996588004,259.35080210963315,102.38681180942218,2.7811199017508206,1.0,0.09624413145539906,0.6971830985915493,105.5,610.25,121.25,213.0,208.25,102.0
2024-08-29 19:00:00+00:00,2024-08-29 20:00:00+00:00,19611.0,50.24805574065951,361.6315283432011,365.0460139228606,101.30533864885423,2.9564088526284924,5.0,0.42857142857142855,0.05791505791505792,-297.5,253.5,198.75,290.5,568.25,-497.5
2024-09-30 01:00:00+00:00,2024-09-30 02:00:00+00:00,20780.0,63.200580988218164,356.5738340865554,341.92742884887537,112.21415358394162,0.908976245351252,15.0,0.22866894197952217,0.764505119453925,-90.5,34.0,-83.5,139.25,374.25,-247.25
2024-09-30 02:00:00+00:00,2024-09-30 03:00:00+00:00,20777.25,63.200580988218164,356.5738340865554,341.92742884887537,107.02028547080293,0.9741143890747823,16.0,0.9240506329113924,0.0759493670886076,-92.75,31.75,-85.75,142.0,371.5,-249.75
2024-10-13 23:00:00+00:00,2024-10-14 00:00:00+00:00,21014.5,57.815406793586426,370.23821228726996,347.88114419870226,114.8729598438895,0.5876056479412685,5.0,0.15315315315315314,0.4864864864864865,602.5,602.5,602.5,253.25,221.5,-122.75
2024-10-14 00:00:00+00:00,2024-10-14 01:00:00+00:00,21003.0,61.35669921264239,359.8470391033743,344.2824910416521,108.16774842646883,0.7280358623118917,6.0,0.21428571428571427,0.5238095238095238,-34.75,9.5,-11.25,264.75,210.0,-118.0
2024-10-14 01:00:00+00:00,2024-10-14 02:00:00+00:00,20987.25,61.35669921264239,359.8470391033743,344.2824910416521,102.24505211029249,0.9242501035459608,7.0,0.2376237623762376,0.6039603960396039,-50.5,-6.25,-27.0,280.5,194.25,-103.25
