signal_time,trigger,label,return_pct,r_multiple,entry_time,exit_time,exit_reason,prob_target_hit_first,pred_label,fold_train_start,fold_train_end,fold_test_start,fold_test_end,threshold
2022-05-31 12:00:00,atr_breakdown,0,-0.5372867573800622,-0.9999999999999963,2022-05-31 13:00:00,2022-05-31 13:00:00,stop,0.6356213700192526,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-05-31 13:00:00,atr_breakdown,0,-0.6032075432280237,-1.0000000000000069,2022-05-31 14:00:00,2022-05-31 14:00:00,stop,0.56157468311417,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-01 14:00:00,rsi_rollover,1,0.8122920268029077,1.5000000000000038,2022-06-01 15:00:00,2022-06-01 15:00:00,target,0.5325981154463718,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-01 15:00:00,atr_breakdown,0,-0.6004675737728338,-1.0000000000000033,2022-06-01 16:00:00,2022-06-01 18:00:00,stop,0.5123721696290595,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-03 10:00:00,atr_breakdown,1,0.40526246655652187,1.5000000000000147,2022-06-03 11:00:00,2022-06-03 12:00:00,target,0.5448612763633685,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-03 12:00:00,atr_breakdown,1,0.4852152191183512,1.4999999999999938,2022-06-03 13:00:00,2022-06-03 13:00:00,target,0.5282207580222947,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-03 15:00:00,atr_breakdown,0,-0.4816524319053883,-0.9999999999999916,2022-06-03 16:00:00,2022-06-03 16:00:00,stop,0.6040591751931002,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-06 16:00:00,atr_breakdown,0,-0.47686364254946323,-1.0000000000000127,2022-06-06 17:00:00,2022-06-06 17:00:00,stop,0.6129571667900517,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-07 01:00:00,atr_breakdown,0,-0.6291712238566061,-0.9999999999999934,2022-06-07 02:00:00,2022-06-07 14:00:00,stop,0.6368341907534989,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-09 12:00:00,atr_breakdown,0,-0.36894190141828487,-1.0000000000000109,2022-06-09 13:00:00,2022-06-09 13:00:00,stop,0.5911084712490825,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-09 18:00:00,atr_breakdown,1,0.9678641693301904,1.4999999999999936,2022-06-09 19:00:00,2022-06-09 19:00:00,target,0.5781647061460391,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-10 13:00:00,atr_breakdown,1,0.8398552878418508,1.500000000000004,2022-06-10 14:00:00,2022-06-10 14:00:00,target,0.5423306759928019,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-10 14:00:00,atr_breakdown,0,-0.5948768112952973,-1.0000000000000036,2022-06-10 15:00:00,2022-06-10 17:00:00,stop,0.5278845274274306,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-13 19:00:00,atr_breakdown,0,-0.8584987057808413,-1.0,2022-06-13 20:00:00,2022-06-14 03:00:00,stop,0.5844542679832212,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-16 06:00:00,atr_breakdown,1,1.321602337908634,1.5000000000000078,2022-06-16 07:00:00,2022-06-16 07:00:00,target,0.5410569870733107,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-16 07:00:00,atr_breakdown,1,1.4227455525949395,1.5000000000000073,2022-06-16 08:00:00,2022-06-16 14:00:00,target,0.5280748153878363,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-16 17:00:00,atr_breakdown,0,-0.8669821422403357,-1.0000000000000027,2022-06-16 18:00:00,2022-06-16 22:00:00,stop,0.6113647030507559,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-22 05:00:00,atr_breakdown,1,0.5886772769329252,1.5000000000000113,2022-06-22 06:00:00,2022-06-22 07:00:00,target,0.5177401220758597,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
2022-06-28 18:00:00,atr_breakdown,1,1.1078959568991742,1.5,2022-06-28 19:00:00,2022-06-29 13:00:00,target,0.5803204330756238,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,0.5
