signal_time,trigger,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl_usd,return_pct,r_multiple,rf_prob,risk_usd,tighten_mode,rsi_threshold,atr_stretch_threshold,tighten_factor,force_exit,capital_before,capital_after
2022-03-08 06:00:00,atr_breakdown,2022-03-08 07:00:00,13482.75,2022-03-08 07:00:00,13438.25,tightened_stop,1,89.0,0.33114430822465124,0.445,0.5062465260253132,200.0,either,35,1.1,1.0,False,5000.0,5089.0
2022-03-10 08:00:00,atr_breakdown,2022-03-10 09:00:00,13953.0,2022-03-10 11:00:00,13893.0,target,3,120.0,0.4318721658389091,0.6,0.5273196499906222,200.0,either,35,1.1,1.0,False,5089.0,5209.0
2022-03-10 08:00:00,rsi_rollover,2022-03-10 09:00:00,13953.0,2022-03-10 11:00:00,13893.0,target,3,120.0,0.4318721658389091,0.6,0.5273196499906222,200.0,either,35,1.1,1.0,False,5209.0,5329.0
2022-03-21 05:00:00,atr_breakdown,2022-03-21 06:00:00,14523.25,2022-03-21 13:00:00,14623.25,stop,8,-200.0,-0.6838425110696988,-1.0,0.5387546933579885,200.0,either,35,1.1,1.0,False,5329.0,5129.0
2022-03-23 11:00:00,atr_breakdown,2022-03-23 12:00:00,14739.25,2022-03-23 13:00:00,14679.25,target,2,120.0,0.40874022855390546,0.6,0.5145360842021928,200.0,either,35,1.1,1.0,False,5129.0,5249.0
2022-04-11 08:00:00,atr_breakdown,2022-04-11 09:00:00,14369.0,2022-04-11 09:00:00,14362.0,tightened_stop,1,14.0,0.048739729842650625,0.07,0.5440626888904823,200.0,either,35,1.1,1.0,False,5249.0,5263.0
2022-04-11 19:00:00,atr_breakdown,2022-04-11 20:00:00,14196.0,2022-04-11 20:00:00,14181.25,tightened_stop,1,29.5,0.10401057734685804,0.1475,0.5740444178161281,200.0,either,35,1.1,1.0,False,5263.0,5292.5
2022-04-12 17:00:00,atr_breakdown,2022-04-12 18:00:00,14198.25,2022-04-12 18:00:00,14109.5,tightened_stop,1,177.5,0.6290088238420921,0.8875,0.5192641792618674,200.0,either,35,1.1,1.0,False,5292.5,5470.0
2022-04-13 11:00:00,atr_breakdown,2022-04-13 12:00:00,14173.25,2022-04-13 12:00:00,14119.25,tightened_stop,1,108.0,0.3824565752430287,0.54,0.5658777677538949,200.0,either,35,1.1,1.0,False,5470.0,5578.0
2022-04-14 12:00:00,atr_breakdown,2022-04-14 13:00:00,14381.5,2022-04-14 13:00:00,14297.25,tightened_stop,1,168.5,0.5892741611148944,0.8425,0.5893987698604897,200.0,either,35,1.1,1.0,False,5578.0,5746.5
2022-04-14 13:00:00,atr_breakdown,2022-04-14 14:00:00,14309.25,2022-04-14 14:00:00,14208.5,tightened_stop,1,201.5,0.7090825914065624,1.0075,0.5161335436397626,200.0,either,35,1.1,1.0,False,5746.5,5948.0
2022-04-14 16:00:00,atr_breakdown,2022-04-14 17:00:00,14176.25,2022-04-14 17:00:00,14162.5,tightened_stop,1,27.5,0.0970873786407811,0.1375,0.5012852889712172,200.0,either,35,1.1,1.0,False,5948.0,5975.5
2022-04-19 08:00:00,atr_breakdown,2022-04-19 09:00:00,14056.75,2022-04-19 09:00:00,14021.0,tightened_stop,1,71.5,0.25497468083588437,0.3575,0.534864490218799,200.0,either,35,1.1,1.0,False,5975.5,6047.0
2022-04-19 20:00:00,atr_breakdown,2022-04-19 22:00:00,14292.75,2022-04-19 22:00:00,14271.25,tightened_stop,1,43.0,0.15065253569239712,0.215,0.5338309929265704,200.0,either,35,1.1,1.0,False,6047.0,6090.0
2022-04-28 12:00:00,atr_breakdown,2022-04-28 13:00:00,13387.75,2022-04-28 13:00:00,13288.5,tightened_stop,1,198.5,0.746886405538616,0.9925,0.54939968309064,200.0,either,35,1.1,1.0,False,6090.0,6288.5
2022-05-04 13:00:00,atr_breakdown,2022-05-04 14:00:00,13211.25,2022-05-04 14:00:00,13110.5,tightened_stop,1,201.5,0.7684680218145834,1.0075,0.5300230391827097,200.0,either,35,1.1,1.0,False,6288.5,6490.0
2022-05-04 14:00:00,atr_breakdown,2022-05-04 15:00:00,13126.5,2022-05-04 15:00:00,13075.0,tightened_stop,1,103.0,0.3938814531548651,0.515,0.5273795605095702,200.0,either,35,1.1,1.0,False,6490.0,6593.0
2022-05-11 17:00:00,atr_breakdown,2022-05-11 18:00:00,12201.25,2022-05-11 18:00:00,12199.0,tightened_stop,1,4.5,0.018444134765149833,0.0225,0.5155469628147494,200.0,either,35,1.1,1.0,False,6593.0,6597.5
2022-05-16 13:00:00,atr_breakdown,2022-05-16 14:00:00,12441.0,2022-05-16 14:00:00,12541.0,stop,1,-200.0,-0.7973845785822498,-1.0,0.5227642443079468,200.0,either,35,1.1,1.0,False,6597.5,6397.5
2022-05-16 14:00:00,atr_breakdown,2022-05-16 15:00:00,12402.25,2022-05-16 15:00:00,12502.25,stop,1,-200.0,-0.7998560259153353,-1.0,0.5996321688527503,200.0,either,35,1.1,1.0,False,6397.5,6197.5
