family,trades,final_capital_usd,total_pnl_usd,total_return_pct,win_rate_pct,profit_factor,sharpe,max_drawdown_usd,max_drawdown_pct,avg_winner_usd,avg_loser_usd,avg_pnl_per_trade_usd,avg_bars_held,post_2024_trades,post_2024_total_pnl_usd,post_2024_return_pct,post_2024_win_rate_pct,post_2024_profit_factor,post_2024_sharpe,post_2024_max_drawdown_usd
atr_4_with_trail,183,16697.142857142866,11697.142857142866,233.94285714285732,83.60655737704919,4.23693937656896,8.336840250882414,-1447.107142857145,-28.9421428571429,100.07049486461256,-124.60837438423638,63.9188134270102,1.4808743169398908,75,8232.250000000007,164.64500000000015,94.66666666666667,16.98716881675704,13.170377965101387,-217.64285714285506
atr_5_with_trail,183,16697.142857142866,11697.142857142866,233.94285714285732,83.60655737704919,4.23693937656896,8.336840250882414,-1447.107142857145,-28.9421428571429,100.07049486461256,-124.60837438423638,63.9188134270102,1.4808743169398908,75,8232.250000000007,164.64500000000015,94.66666666666667,16.98716881675704,13.170377965101387,-217.64285714285506
trail_only_no_target,183,16697.142857142866,11697.142857142866,233.94285714285732,83.60655737704919,4.23693937656896,8.336840250882414,-1447.107142857145,-28.9421428571429,100.07049486461256,-124.60837438423638,63.9188134270102,1.4808743169398908,75,8232.250000000007,164.64500000000015,94.66666666666667,16.98716881675704,13.170377965101387,-217.64285714285506
atr_6_with_trail,183,15560.321428571428,10560.321428571428,211.20642857142857,83.60655737704919,3.9223478484315404,8.16699120865954,-1538.428571428576,-30.768571428571523,92.64028944911296,-124.60837438423638,57.70667447306791,1.4863387978142077,75,7552.160714285717,151.04321428571436,94.66666666666667,15.666423914551439,13.53846615044086,-217.64285714285506
adaptive_runner_mode,183,18851.785714285714,13851.785714285714,277.0357142857143,93.44262295081968,7.296266233766233,12.273616501474098,-400.0,-8.0,93.87009189640769,-200.0,75.6928181108509,1.5191256830601092,75,7421.25,148.425,97.33333333333334,19.553125,15.494523147103816,-200.0
best_scalp_fixed_60_tighten,183,18764.0,13764.0,275.28000000000003,93.44262295081968,7.256363636363637,12.229069635041157,-400.0,-8.0,93.35672514619883,-200.0,75.21311475409836,1.5191256830601092,75,7421.25,148.425,97.33333333333334,19.553125,15.494523147103816,-200.0
atr_2p5_no_trail,183,15301.285714285721,10301.285714285721,206.02571428571443,81.9672131147541,3.56077985723925,7.712952300452469,-1272.232142857145,-25.444642857142895,95.49333333333338,-125.70982142857144,56.29117876658864,1.5792349726775956,75,6986.910714285717,139.73821428571435,92.0,9.624294657027006,11.847990468807298,-415.92857142857247
