strategy,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,atr_at_entry,regime_age,d1_rsi14,return_pct,r_multiple
failed_rally,2019-05-20 02:00:00,7564.0,2019-05-20 08:00:00,7517.366071428572,target,7,31.089285714285715,1,17.543030593789595,0.6203493102280966,1.4999999999999958
failed_rally,2019-05-21 19:00:00,7493.5,2019-05-22 11:00:00,7455.732142857143,target,17,25.178571428571427,2,20.54228352646058,0.5065613466148866,1.4999999999999898
failed_rally,2019-05-22 15:00:00,7462.0,2019-05-22 15:00:00,7484.75,stop,1,22.75,3,19.801565654737402,-0.3039513677811523,-1.0
failed_rally,2019-05-28 13:00:00,7350.25,2019-05-28 13:00:00,7367.857142857143,stop,1,17.607142857142858,8,18.620228027884906,-0.23897237033446705,-1.0000000000000147
failed_rally,2019-05-29 15:00:00,7253.25,2019-05-29 15:00:00,7224.053571428572,target,1,19.464285714285715,9,17.50928300877065,0.40415575940495607,1.4999999999999933
failed_rally,2019-05-30 15:00:00,7272.5,2019-05-30 18:00:00,7248.339285714285,target,4,16.107142857142858,10,16.96231873228767,0.3333275848901307,1.5000000000000242
failed_rally,2019-05-31 16:00:00,7202.0,2019-05-31 19:00:00,7167.553571428572,target,4,22.964285714285715,11,16.137909852234827,0.48058836572550945,1.4999999999999942
failed_rally,2019-06-03 11:00:00,7119.75,2019-06-03 12:00:00,7137.321428571428,stop,2,17.571428571428573,13,14.110420571781233,-0.24619079786835085,-0.9999999999999926
failed_rally,2019-06-03 14:00:00,7078.5,2019-06-03 14:00:00,7099.357142857143,stop,1,20.857142857142858,13,14.110420571781233,-0.29378917608234856,-1.0000000000000124
failed_rally,2019-06-04 11:00:00,7049.75,2019-06-04 11:00:00,7064.482142857143,stop,1,14.732142857142858,14,28.969914024824135,-0.20853818523752787,-1.0000000000000175
failed_rally,2019-06-04 14:00:00,7067.0,2019-06-04 14:00:00,7086.982142857143,stop,1,19.982142857142858,14,28.969914024824135,-0.2819555976627197,-1.0000000000000129
failed_rally,2019-06-04 19:00:00,7166.25,2019-06-04 19:00:00,7196.125,stop,1,29.875,14,28.969914024824135,-0.4151539891260936,-1.0
failed_rally,2019-06-05 09:00:00,7234.5,2019-06-05 09:00:00,7251.410714285715,stop,1,16.910714285714285,15,29.522457583020667,-0.23320585403333594,-1.000000000000023
failed_rally,2019-06-07 16:00:00,7449.25,2019-06-09 22:00:00,7473.785714285715,stop,10,24.535714285714285,17,42.466212413578404,-0.32829030994045993,-1.000000000000016
failed_rally,2019-06-10 11:00:00,7471.25,2019-06-10 11:00:00,7486.160714285715,stop,1,14.910714285714286,19,46.60090187088141,-0.19917705289522747,-1.000000000000026
failed_rally,2019-06-11 04:00:00,7565.25,2019-06-11 08:00:00,7587.375,stop,5,22.125,20,46.94726604697685,-0.2916028270646964,-1.0
failed_rally,2019-06-11 14:00:00,7593.75,2019-06-11 14:00:00,7609.821428571428,stop,1,16.071428571428573,20,46.94726604697685,-0.21119324181626542,-0.9999999999999918
failed_rally,2019-06-13 12:00:00,7535.75,2019-06-13 13:00:00,7559.785714285715,stop,2,24.035714285714285,22,46.10441792441495,-0.31794174060111313,-1.0000000000000162
failed_rally,2019-06-13 15:00:00,7531.5,2019-06-14 09:00:00,7491.0,target,19,27.0,22,46.10441792441495,0.5406487785342362,1.5
failed_rally,2019-06-14 20:00:00,7508.5,2019-06-16 23:00:00,7529.660714285715,stop,5,21.160714285714285,23,45.473295672982516,-0.28103144469135977,-1.0000000000000184
failed_rally,2019-06-17 06:00:00,7535.75,2019-06-17 07:00:00,7520.375,target,2,10.25,25,49.036340454077504,0.2044445921912219,1.5
failed_rally,2019-06-17 13:00:00,7517.0,2019-06-17 13:00:00,7529.392857142857,stop,1,12.392857142857142,25,49.036340454077504,-0.1645930472481627,-0.9999999999999791
failed_rally,2019-06-17 16:00:00,7554.5,2019-06-17 18:00:00,7571.089285714285,stop,3,16.589285714285715,25,49.036340454077504,-0.21911359235436967,-0.9999999999999765
failed_rally,2019-06-25 02:00:00,7679.25,2019-06-25 02:00:00,7658.598214285715,target,1,13.767857142857142,1,44.84992066135704,0.2696549046764529,1.4999999999999718
failed_rally,2019-06-25 09:00:00,7649.75,2019-06-25 12:00:00,7663.839285714285,stop,4,14.089285714285714,1,44.84992066135704,-0.183841090464254,-0.9999999999999724
failed_rally,2019-06-25 14:00:00,7642.5,2019-06-25 14:00:00,7616.303571428572,target,1,17.464285714285715,1,44.84992066135704,0.3439520014630215,1.4999999999999925
failed_rally,2019-06-26 11:00:00,7597.0,2019-06-26 12:00:00,7573.589285714285,target,2,15.607142857142858,2,46.80723631172752,0.3091099002407338,1.5000000000000249
