label,initial_capital_usd,final_capital_usd,total_pnl_usd,total_return_pct,total_trades,winners,losers,win_rate_pct,profit_factor,sharpe,max_drawdown_usd,max_drawdown_pct,avg_winner_usd,avg_loser_usd,avg_pnl_per_trade_usd,avg_bars_held,start_entry,end_exit,post_2024_trades,post_2024_total_pnl_usd,post_2024_return_pct,post_2024_win_rate_pct,post_2024_profit_factor,post_2024_sharpe,post_2024_max_dd_usd,stop_type,stop_value,target_type,target_value,trail_mode,trail_trigger_r,trail_distance_type,trail_distance_value,tighten_mode,rsi_threshold,atr_stretch_threshold,tighten_stop_factor,force_exit,score
combo_1685,5000.0,20394.0,15394.0,307.88,183,156,26,85.24590163934425,9.970862470862471,10.313216718229107,-521.0,-10.42,109.67948717948718,-66.0,84.12021857923497,1.1147540983606556,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9872.0,197.44,94.66666666666667,31.85,12.994634256917113,-80.0,fixed,40.0,fixed,90.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,829.9513525113193
combo_1721,5000.0,20394.0,15394.0,307.88,183,156,26,85.24590163934425,9.970862470862471,10.313216718229107,-521.0,-10.42,109.67948717948718,-66.0,84.12021857923497,1.1147540983606556,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9872.0,197.44,94.66666666666667,31.85,12.994634256917113,-80.0,fixed,40.0,fixed,120.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,829.9513525113193
combo_1757,5000.0,20394.0,15394.0,307.88,183,156,26,85.24590163934425,9.970862470862471,10.313216718229107,-521.0,-10.42,109.67948717948718,-66.0,84.12021857923497,1.1147540983606556,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9872.0,197.44,94.66666666666667,31.85,12.994634256917113,-80.0,fixed,40.0,fixed,150.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,829.9513525113193
combo_1793,5000.0,20394.0,15394.0,307.88,183,156,26,85.24590163934425,9.970862470862471,10.313216718229107,-521.0,-10.42,109.67948717948718,-66.0,84.12021857923497,1.1147540983606556,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9872.0,197.44,94.66666666666667,31.85,12.994634256917113,-80.0,fixed,40.0,fixed,200.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,829.9513525113193
combo_2727,5000.0,22358.5,17358.5,347.16999999999996,183,170,12,92.89617486338798,8.232708333333333,10.963162336633522,-400.0,-8.0,116.22647058823529,-200.0,94.85519125683061,1.6010928961748634,2022-03-08 07:00:00,2026-03-27 18:00:00,75,10088.0,201.76,97.33333333333334,26.22,13.142874142933259,-200.0,fixed,100.0,fixed,60.0,fixed,1.0,fixed,50.0,atr_exhaust,,1.25,0.5,False,825.9352079411699
combo_2561,5000.0,18373.607142857134,13373.607142857134,267.47214285714267,183,170,12,92.89617486338798,6.572336309523806,11.50108283596362,-600.0,-12.0,92.78592436974785,-200.0,73.07982045277123,1.5136612021857923,2022-03-08 07:00:00,2026-03-27 18:00:00,75,7655.142857142855,153.1028571428571,97.33333333333334,20.137857142857136,15.594594282647623,-200.0,fixed,100.0,atr,1.0,off,,,,either,30.0,1.25,0.5,False,824.1542898853762
combo_2711,5000.0,20060.96428571429,15060.96428571429,301.2192857142858,183,171,11,93.44262295081968,7.845892857142859,11.539532168975272,-400.0,-8.0,100.94131161236427,-200.0,82.30035128805623,1.5191256830601092,2022-03-08 07:00:00,2026-03-27 18:00:00,75,8083.4285714285725,161.66857142857145,97.33333333333334,21.20857142857143,13.603566480840156,-214.25,fixed,100.0,fixed,60.0,atr,1.0,atr,1.0,either,30.0,1.25,0.5,False,822.3160266983278
combo_65,5000.0,20404.678571428576,15404.678571428576,308.0935714285715,183,156,26,85.24590163934425,9.284312219106537,10.247117058722312,-535.7678571428514,-10.715357142857028,110.66781135531136,-71.51923076923063,84.17857142857146,1.169398907103825,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,atr,1.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,821.6536020606526
combo_29,5000.0,20317.250000000004,15317.250000000004,306.3450000000001,183,156,26,85.24590163934425,9.237294971766621,10.17998476880993,-535.7678571428514,-10.715357142857028,110.1073717948718,-71.51923076923063,83.70081967213116,1.174863387978142,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,none,,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,818.5978070089019
combo_101,5000.0,20317.250000000004,15317.250000000004,306.3450000000001,183,156,26,85.24590163934425,9.237294971766621,10.17998476880993,-535.7678571428514,-10.715357142857028,110.1073717948718,-71.51923076923063,83.70081967213116,1.174863387978142,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,atr,1.5,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,818.5978070089019
combo_137,5000.0,20317.250000000004,15317.250000000004,306.3450000000001,183,156,26,85.24590163934425,9.237294971766621,10.17998476880993,-535.7678571428514,-10.715357142857028,110.1073717948718,-71.51923076923063,83.70081967213116,1.174863387978142,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,atr,2.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,818.5978070089019
combo_173,5000.0,20317.250000000004,15317.250000000004,306.3450000000001,183,156,26,85.24590163934425,9.237294971766621,10.17998476880993,-535.7678571428514,-10.715357142857028,110.1073717948718,-71.51923076923063,83.70081967213116,1.174863387978142,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,atr,2.5,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,818.5978070089019
combo_245,5000.0,20317.250000000004,15317.250000000004,306.3450000000001,183,156,26,85.24590163934425,9.237294971766621,10.17998476880993,-535.7678571428514,-10.715357142857028,110.1073717948718,-71.51923076923063,83.70081967213116,1.174863387978142,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,fixed,90.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,818.5978070089019
combo_281,5000.0,20317.250000000004,15317.250000000004,306.3450000000001,183,156,26,85.24590163934425,9.237294971766621,10.17998476880993,-535.7678571428514,-10.715357142857028,110.1073717948718,-71.51923076923063,83.70081967213116,1.174863387978142,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,fixed,120.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,818.5978070089019
combo_317,5000.0,20317.250000000004,15317.250000000004,306.3450000000001,183,156,26,85.24590163934425,9.237294971766621,10.17998476880993,-535.7678571428514,-10.715357142857028,110.1073717948718,-71.51923076923063,83.70081967213116,1.174863387978142,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,fixed,150.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,818.5978070089019
combo_353,5000.0,20317.250000000004,15317.250000000004,306.3450000000001,183,156,26,85.24590163934425,9.237294971766621,10.17998476880993,-535.7678571428514,-10.715357142857028,110.1073717948718,-71.51923076923063,83.70081967213116,1.174863387978142,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,fixed,200.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,818.5978070089019
combo_2741,5000.0,19247.5,14247.5,284.95,183,168,14,91.80327868852459,6.088392857142857,11.299596013913554,-600.0,-12.0,101.47321428571429,-200.0,77.85519125683061,1.6885245901639345,2022-03-08 07:00:00,2026-03-27 18:00:00,75,7721.25,154.42499999999998,97.33333333333334,20.303125,15.817732463704386,-200.0,fixed,100.0,fixed,90.0,off,,,,either,30.0,1.25,0.5,False,818.5349067647837
combo_2721,5000.0,19065.785714285706,14065.785714285706,281.31571428571414,183,170,12,92.89617486338798,6.860744047619044,11.56358489450781,-400.0,-8.0,96.85756302521004,-200.0,76.86221701795468,1.6010928961748634,2022-03-08 07:00:00,2026-03-27 18:00:00,75,7808.428571428565,156.1685714285713,97.33333333333334,20.521071428571414,14.567260902858747,-200.0,fixed,100.0,fixed,60.0,atr,2.0,atr,1.5,atr_exhaust,,1.25,0.5,False,816.4123642293939
combo_209,5000.0,20259.250000000004,15259.250000000004,305.18500000000006,183,156,26,85.24590163934425,9.206103791341777,10.153878268369606,-535.7678571428514,-10.715357142857028,109.73557692307692,-71.51923076923063,83.38387978142079,1.1475409836065573,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9940.821428571428,198.81642857142856,94.66666666666667,51.22428726091637,13.25537700791925,-109.92857142857247,atr,0.75,fixed,60.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,815.3857334087464
combo_2585,5000.0,21924.17857142857,16924.17857142857,338.4835714285714,183,170,12,92.89617486338798,8.05174107142857,10.700524306083919,-600.0,-12.0,113.67163865546217,-200.0,92.481850117096,1.5136612021857923,2022-03-08 07:00:00,2026-03-27 18:00:00,75,10135.5,202.70999999999998,97.33333333333334,26.33875,13.197779841571142,-200.0,fixed,100.0,atr,1.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,813.466418769235
combo_2715,5000.0,19974.39285714286,14974.392857142859,299.4878571428572,183,170,12,92.89617486338798,7.239330357142858,11.336084366650214,-400.0,-8.0,102.20231092436975,-200.0,81.82728337236534,1.6010928961748634,2022-03-08 07:00:00,2026-03-27 18:00:00,75,8226.821428571428,164.53642857142856,97.33333333333334,21.56705357142857,13.90925968251712,-200.0,fixed,100.0,fixed,60.0,atr,1.5,atr,1.0,atr_exhaust,,1.25,0.5,False,811.353159959455
combo_2735,5000.0,20877.75,15877.75,317.555,183,171,11,93.44262295081968,8.21715909090909,11.051123429260143,-400.0,-8.0,105.71783625730994,-200.0,86.76366120218579,1.5191256830601092,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9043.5,180.87,97.33333333333334,23.60875,12.88605825643849,-200.0,fixed,100.0,fixed,60.0,fixed,1.5,fixed,70.0,either,30.0,1.25,0.5,False,811.1051826784552
combo_2559,5000.0,18327.892857142848,13327.892857142848,266.55785714285696,183,169,13,92.34972677595628,6.126112637362634,11.218553675300042,-600.0,-12.0,94.2478867286559,-200.0,72.83001561280244,1.6010928961748634,2022-03-08 07:00:00,2026-03-27 18:00:00,75,7655.142857142855,153.1028571428571,97.33333333333334,20.137857142857136,15.594594282647623,-200.0,fixed,100.0,atr,1.0,off,,,,atr_exhaust,,1.25,0.5,False,807.9380159969918
combo_2693,5000.0,22330.285714285717,17330.285714285717,346.6057142857144,183,169,13,92.34972677595628,7.6654945054945065,10.674234501146342,-600.0,-12.0,117.93068469991549,-200.0,94.70101483216239,1.7540983606557377,2022-03-08 07:00:00,2026-03-27 18:00:00,75,10135.5,202.70999999999998,97.33333333333334,26.33875,13.197779841571142,-200.0,fixed,100.0,atr,2.5,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,807.1147780414001
combo_2579,5000.0,18785.89285714284,13785.89285714284,275.7178571428568,183,170,12,92.89617486338798,6.744122023809517,11.206876734451892,-600.0,-12.0,95.21113445378141,-200.0,75.33274785323957,1.5136612021857923,2022-03-08 07:00:00,2026-03-27 18:00:00,75,8042.32142857142,160.84642857142842,97.33333333333334,21.105803571428552,14.728426820204254,-200.0,fixed,100.0,atr,1.0,atr,2.0,atr,1.5,either,30.0,1.25,0.5,False,806.5216452415726
combo_2739,5000.0,19257.0,14257.0,285.14,183,167,15,91.2568306010929,5.7523333333333335,11.080265574284006,-600.0,-12.0,103.33532934131736,-200.0,77.90710382513662,1.7759562841530054,2022-03-08 07:00:00,2026-03-27 18:00:00,75,7721.25,154.42499999999998,97.33333333333334,20.303125,15.817732463704386,-200.0,fixed,100.0,fixed,90.0,off,,,,atr_exhaust,,1.25,0.5,False,806.3779552978546
combo_2657,5000.0,22252.07142857143,17252.07142857143,345.04142857142864,183,169,13,92.34972677595628,7.635412087912089,10.664718453795636,-600.0,-12.0,117.4678782755706,-200.0,94.27361436377831,1.721311475409836,2022-03-08 07:00:00,2026-03-27 18:00:00,75,10135.5,202.70999999999998,97.33333333333334,26.33875,13.197779841571142,-200.0,fixed,100.0,atr,2.0,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,805.8841570774126
combo_63,5000.0,20291.178571428576,15291.178571428576,305.82357142857154,183,155,27,84.69945355191257,8.612285536492148,10.088688314051698,-535.7678571428514,-10.715357142857028,111.61244239631337,-74.39814814814801,83.55835284933649,1.1967213114754098,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,atr,1.0,fixed,1.0,fixed,50.0,atr_exhaust,,1.25,0.5,False,803.6848497915995
combo_2621,5000.0,22079.196428571424,17079.196428571424,341.5839285714285,183,169,13,92.34972677595628,7.568921703296701,10.602636136825367,-600.0,-12.0,116.44494928148771,-200.0,93.32894223263074,1.6721311475409837,2022-03-08 07:00:00,2026-03-27 18:00:00,75,10135.5,202.70999999999998,97.33333333333334,26.33875,13.197779841571142,-200.0,fixed,100.0,atr,1.5,fixed,1.0,fixed,50.0,either,30.0,1.25,0.5,False,802.1379164608481
combo_2573,5000.0,19591.57142857142,14591.57142857142,291.8314285714284,183,170,12,92.89617486338798,7.079821428571425,11.03149558671381,-600.0,-12.0,99.95042016806718,-200.0,79.73536299765803,1.5136612021857923,2022-03-08 07:00:00,2026-03-27 18:00:00,75,8460.714285714283,169.21428571428564,97.33333333333334,22.151785714285708,14.10356321083546,-200.0,fixed,100.0,atr,1.0,atr,1.5,atr,1.0,either,30.0,1.25,0.5,False,802.0557967416971
combo_2759,5000.0,19659.785714285706,14659.785714285706,293.19571428571413,183,168,14,91.80327868852459,6.235637755102038,11.087970838169465,-600.0,-12.0,103.9272959183673,-200.0,80.10811865729895,1.6885245901639345,2022-03-08 07:00:00,2026-03-27 18:00:00,75,8108.428571428565,162.1685714285713,97.33333333333334,21.271071428571414,14.922083173544253,-200.0,fixed,100.0,fixed,90.0,atr,2.0,atr,1.5,either,30.0,1.25,0.5,False,801.8863323843053
combo_2709,5000.0,19914.428571428576,14914.428571428576,298.2885714285715,183,170,12,92.89617486338798,7.21434523809524,11.25442093469975,-400.0,-8.0,101.8495798319328,-200.0,81.49960967993758,1.6010928961748634,2022-03-08 07:00:00,2026-03-27 18:00:00,75,8083.4285714285725,161.66857142857145,97.33333333333334,21.20857142857143,13.603566480840156,-214.25,fixed,100.0,fixed,60.0,atr,1.0,atr,1.0,atr_exhaust,,1.25,0.5,False,801.8246148890588
combo_27,5000.0,20203.750000000004,15203.750000000004,304.07500000000005,183,155,27,84.69945355191257,8.56876166770381,10.022485065714127,-535.7678571428514,-10.715357142857028,111.04838709677419,-74.39814814814801,83.08060109289619,1.2021857923497268,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,none,,fixed,1.0,fixed,50.0,atr_exhaust,,1.25,0.5,False,800.7221483502506
combo_99,5000.0,20203.750000000004,15203.750000000004,304.07500000000005,183,155,27,84.69945355191257,8.56876166770381,10.022485065714127,-535.7678571428514,-10.715357142857028,111.04838709677419,-74.39814814814801,83.08060109289619,1.2021857923497268,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,atr,1.5,fixed,1.0,fixed,50.0,atr_exhaust,,1.25,0.5,False,800.7221483502506
combo_135,5000.0,20203.750000000004,15203.750000000004,304.07500000000005,183,155,27,84.69945355191257,8.56876166770381,10.022485065714127,-535.7678571428514,-10.715357142857028,111.04838709677419,-74.39814814814801,83.08060109289619,1.2021857923497268,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,atr,2.0,fixed,1.0,fixed,50.0,atr_exhaust,,1.25,0.5,False,800.7221483502506
combo_171,5000.0,20203.750000000004,15203.750000000004,304.07500000000005,183,155,27,84.69945355191257,8.56876166770381,10.022485065714127,-535.7678571428514,-10.715357142857028,111.04838709677419,-74.39814814814801,83.08060109289619,1.2021857923497268,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,atr,2.5,fixed,1.0,fixed,50.0,atr_exhaust,,1.25,0.5,False,800.7221483502506
combo_243,5000.0,20203.750000000004,15203.750000000004,304.07500000000005,183,155,27,84.69945355191257,8.56876166770381,10.022485065714127,-535.7678571428514,-10.715357142857028,111.04838709677419,-74.39814814814801,83.08060109289619,1.2021857923497268,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,fixed,90.0,fixed,1.0,fixed,50.0,atr_exhaust,,1.25,0.5,False,800.7221483502506
combo_279,5000.0,20203.750000000004,15203.750000000004,304.07500000000005,183,155,27,84.69945355191257,8.56876166770381,10.022485065714127,-535.7678571428514,-10.715357142857028,111.04838709677419,-74.39814814814801,83.08060109289619,1.2021857923497268,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,fixed,120.0,fixed,1.0,fixed,50.0,atr_exhaust,,1.25,0.5,False,800.7221483502506
combo_315,5000.0,20203.750000000004,15203.750000000004,304.07500000000005,183,155,27,84.69945355191257,8.56876166770381,10.022485065714127,-535.7678571428514,-10.715357142857028,111.04838709677419,-74.39814814814801,83.08060109289619,1.2021857923497268,2022-03-08 07:00:00,2026-03-27 18:00:00,75,9998.821428571428,199.97642857142856,94.66666666666667,51.51732226632957,13.326056381951771,-109.92857142857247,atr,0.75,fixed,150.0,fixed,1.0,fixed,50.0,atr_exhaust,,1.25,0.5,False,800.7221483502506
