signal_time,variant,entry_time,entry_price,exit_time,exit_price,ret,mae,mfe,signal_atr,signal_high,signal_mid,signal_close
2024-12-29 23:00:00,next_close,2024-12-30 00:00:00,22304.5,2024-12-31 02:00:00,22015.75,-0.01294581810845341,-0.020511555964043082,0.0005155910242327089,145.79002435600964,22336.75,22300.375,22296.75
2024-12-29 23:00:00,wait_1_bar_close,2024-12-30 01:00:00,22303.25,2024-12-31 03:00:00,22002.25,-0.013495790972167687,-0.020456659903825725,0.00016813693071626723,145.79002435600964,22336.75,22300.375,22296.75
2024-12-29 23:00:00,wait_2_bar_close,2024-12-30 02:00:00,22284.25,2024-12-31 04:00:00,22003.75,-0.01258736551600348,-0.019621481539652486,0.0009760256683533086,145.79002435600964,22336.75,22300.375,22296.75
2024-12-29 23:00:00,reclaim_midpoint,2024-12-30 00:00:00,22300.375,2024-12-31 02:00:00,22015.75,-0.01276323828635173,-0.02033037561027562,0.0007006608633262079,145.79002435600964,22336.75,22300.375,22296.75
2025-01-05 23:00:00,next_close,2025-01-06 00:00:00,22090.5,2025-01-07 01:00:00,22362.75,0.012324302301894408,-0.0007921957402503566,0.018141282451732632,154.0527081389823,22137.25,22116.75,22121.0
2025-01-05 23:00:00,wait_1_bar_close,2025-01-06 01:00:00,22094.75,2025-01-07 02:00:00,22332.5,0.010760474773419126,-0.0008259880740899561,0.017945439527489615,154.0527081389823,22137.25,22116.75,22121.0
2025-01-05 23:00:00,wait_2_bar_close,2025-01-06 02:00:00,22104.25,2025-01-07 03:00:00,22341.5,0.010733230034948082,-0.0012101745139508902,0.017507945304636063,154.0527081389823,22137.25,22116.75,22121.0
2025-01-05 23:00:00,break_signal_high,2025-01-06 05:00:00,22137.25,2025-01-07 06:00:00,22283.75,0.006617804831223317,-0.0010163864075257711,0.015991146145072133,154.0527081389823,22137.25,22116.75,22121.0
2025-01-05 23:00:00,reclaim_midpoint,2025-01-06 00:00:00,22116.75,2025-01-07 01:00:00,22362.75,0.01112279154939122,-0.001978138740999502,0.016932867622955428,154.0527081389823,22137.25,22116.75,22121.0
2025-01-06 00:00:00,next_close,2025-01-06 01:00:00,22094.75,2025-01-07 02:00:00,22332.5,0.010760474773419126,-0.0008259880740899561,0.017945439527489615,147.13822898619787,22130.25,22101.625,22090.5
