timestamp,st_period,st_mult,st_period_norm,st_mult_norm,atr_spike_magnitude,atr_spike_duration,atr_contraction_rate,atr_vs_baseline,atr_percentile_at_flip,katr_vs_atr,atr_baseline,atr_at_flip,dip_depth_atr,dip_duration_bars,consec_red_bars,recovery_speed,st_band_width,prior_green_bars,flip_count_20bars,st_line_dist,pct_from_ema20,pct_from_ema50,pct_from_ema200,rsi_at_flip,rsi_at_low,macd_hist_norm,macd_turning_up,vol_ratio_at_flip,vol_ratio_at_low,h4_st_color,h4_pct_ema20,h4_atr_vs_base,daily_kvel_norm,daily_pct_ema100,session,hour,day_of_week,dist_round_number,risk_atr_dynamic,risk_atr_fixed,mfe_atr,mae_atr,outcome_trail,outcome_fixed_15,outcome_fixed_20
2023-07-13 07:00:00+00:00,14,2.0,1.0,0.6666666666666666,1.4242300610909424,5.0,0.4715185449621976,0.7526791749939195,0.29,0.798948190431583,41.84899087469043,31.498863925890056,0.3095349731640995,16.0,0.0,0.8095530067368756,2.25397741387823,22.0,1.0,2.25397741387823,0.004780457315747065,0.010503099034317965,0.017291023195124343,81.83957842268585,54.90872367945959,-0.03236178746636727,1.0,0.26822279197651894,3.527500957109876,1.0,0.012716038604531646,0.9607250021672089,2.5764404395831204,0.02355098897049283,1.0,7.0,3.0,0.5158916219401658,1.9999999999999942,0.9999999999999971,10.595620235232637,0.12698870693911773,1,1.0,1.0
2023-07-17 13:00:00+00:00,14,2.0,1.0,0.6666666666666666,1.4744284668668417,5.0,0.36654701969707515,0.9339811065802731,0.48,0.9742730918962612,34.009595450966536,31.764319593641147,4.863948039073663,19.0,0.0,1.1569585141485899,1.9212953391735386,29.0,1.0,1.9212953391735386,0.0025045286198984084,0.00532327524092701,0.019803448757982216,69.82467158790249,33.81973006822412,0.03710570363919579,1.0,5.499303131025324,3.460497797734528,1.0,0.011623248559208545,0.9801281688144231,4.112152969350306,0.02905351525319165,2.0,13.0,0.0,0.0,1.9999999999999731,1.0000000000000153,4.619963590511715,0.369911905884243,1,1.0,1.0
2023-07-18 15:00:00+00:00,14,2.0,1.0,0.6666666666666666,1.5971128053877133,4.0,0.0,1.5971128053877133,0.87,1.4819103860051588,28.31810383374729,45.2272062571767,1.4427156881848315,3.0,0.0,2.4321643785491416,3.1414589640236215,22.0,1.0,3.1414589640236215,0.004553616854440661,0.007841661080028895,0.023433940116262507,72.96330612916509,26.96905536875829,-0.06162534562566378,1.0,4.318911459216038,4.633723135526878,1.0,0.010234087530405405,1.0104169334982005,4.7178383118761875,0.03752696553753077,2.0,15.0,1.0,0.9396998735303501,1.9999999999999902,1.0000000000000153,3.9799053467167766,0.3316587788930647,1,1.0,1.0
2023-07-21 10:00:00+00:00,14,2.0,1.0,0.6666666666666666,1.383431413152918,3.0,0.5134032278738282,0.6731732600981584,0.4,0.7832976145530134,47.042015767726475,31.6674271159494,7.965598186312821,30.0,1.0,0.8605056514450917,2.3947273630481862,0.0,0.0,2.3947273630481862,0.0005641259422338439,-0.004599819886354197,0.0008169206889393617,64.01416862372446,14.984510599619128,0.525553515129669,1.0,0.31058254216017217,2.9453542984081515,-1.0,-0.00671400402618684,1.0722878275106476,1.4931177339681811,0.01000701370875889,1.0,10.0,4.0,0.9947129548814821,1.999999999999979,1.0000000000000182,1.539436715888008,3.836749968828574,0,0.0,0.0
2023-07-25 08:00:00+00:00,14,2.0,1.0,0.6666666666666666,1.3899215127277291,5.0,0.5093493959618255,0.6819658297855135,0.14,0.6981138205285771,38.26731882324049,26.097003834958,-0.5747786257327705,30.0,0.0,1.3411501267097978,2.5268804069216935,0.0,0.0,2.5268804069216935,0.0030856136717336592,0.0014843738299732674,-0.00037015274724435076,77.05721152149283,29.669237151751844,0.2758731299455375,1.0,0.39892514031500603,4.3026512064523175,-1.0,3.7544381466127564e-05,0.7006516566084945,-0.5672775910944776,0.014462667946424217,1.0,8.0,1.0,0.7184732821659632,1.9999999999999871,1.0000000000000284,4.540751143288887,1.513583714429629,0,0.0,0.0
2023-07-26 23:00:00+00:00,14,2.0,1.0,0.6666666666666666,1.7423675747675482,5.0,0.18817123650479858,1.4145041137776715,0.9,1.3619401017415442,42.32605431681393,59.87037795111048,0.37163620410362397,11.0,0.0,0.17120319514886048,2.0202664749279338,26.0,1.0,2.0202664749279338,0.0020428801891689344,0.0019716974189964045,0.0015465224943516786,60.55338786974843,20.225741875928748,0.06664675451244897,1.0,0.07661188527411908,1.8721299230751576,-1.0,0.0015569037457201164,1.2795056524248662,-0.4439715561031377,0.015143817706112778,0.0,23.0,2.0,0.22548713507410892,2.0000000000000053,1.0000000000000027,4.188214749617245,0.23383851044722406,1,1.0,1.0
2023-07-28 11:00:00+00:00,14,2.0,1.0,0.6666666666666666,1.4190042315446612,3.0,0.4632808826801375,0.7616066986278003,0.59,0.8904570768951561,61.312332031308436,46.69588278353635,4.695274763652211,21.0,0.0,0.642454927751728,2.2810740308913675,14.0,1.0,2.2810740308913675,0.002949046790914661,0.0030046573068970065,0.0042807010215632655,69.50338266757927,24.95544696505985,0.2203215732269969,1.0,0.35647363635975604,3.1711705174555345,-1.0,0.003433402311179852,1.3298449498835159,0.38793172857105035,0.026864616151251658,1.0,11.0,4.0,0.5353791064597733,1.9999999999999867,1.0000000000000129,4.32050938913037,0.07495307490436826,1,1.0,1.0
2023-08-01 18:00:00+00:00,14,2.0,1.0,0.6666666666666666,1.3699200873323543,4.0,0.052616582489287626,1.2978395740534994,0.39,1.0947627794787824,31.954034895284355,41.4712110377865,1.3141646611270241,11.0,0.0,0.307442191364579,1.671899637430418,29.0,1.0,1.671899637430418,0.0004604359641617072,0.0010305785886193179,0.006628509309596724,57.00436596545875,22.507089778359543,0.009923278912035432,1.0,1.5309776213949735,5.435396626984687,1.0,0.0006510179575037736,0.8143814750998508,1.2502905935820785,0.01875179731303211,2.0,18.0,1.0,0.16276351307536538,1.783956193954522,0.9999999999999856,0.37978153050918584,3.6049104007062405,0,0.0,0.0
2023-08-03 16:00:00+00:00,14,2.0,1.0,0.6666666666666666,1.3379069213945332,1.0,0.0,1.3379069213945332,1.0,1.3610372218943316,49.043494594089964,65.61563086680833,4.210124879554288,30.0,0.0,1.013478025304471,2.388626911958869,0.0,0.0,2.388626911958869,0.0031735410707178524,-0.003010945834826269,-0.009854739008425465,66.08679938059586,13.507378336385727,0.26946518017148335,1.0,1.7382598538875065,1.1162298043369439,-1.0,-0.010042463384481594,1.2321314435193556,-1.266342506070098,0.0010751517999919458,2.0,16.0,3.0,0.4800685383021178,2.0000000000000115,1.0000000000000058,0.7963041627392272,1.4744962247850761,0,0.0,0.0
2023-08-30 13:00:00+00:00,14,2.0,1.0,0.6666666666666666,1.5836391178873155,4.0,0.3302785727793886,1.060597050233883,0.41,1.0259496355303246,39.06156580395559,41.42858146919201,1.7137926880938104,6.0,0.0,1.9008616082730645,2.7700264131477477,29.0,1.0,2.7700264131477477,0.005306143404565339,0.012740711967359049,0.022914400060440928,74.31065329995154,40.45581665207952,-0.2758801765589184,1.0,5.906176966879068,0.5337486545663972,1.0,0.01722482290472351,1.0805928207874216,3.893094416540347,0.011732540016713169,2.0,13.0,2.0,0.6155170922027066,2.0000000000000027,1.0000000000000013,1.0137928577456343,2.2025856730783127,0,0.0,0.0
