strategy,year,bars,time_in_market_pct,long_pct,short_pct,return_pct,sharpe,max_drawdown_pct
buyhold,2019,208,99.51923076923077,99.51923076923077,0.0,4.5428625736553485,0.39626124841577415,-10.93898498384338
buyhold,2020,332,100.0,100.0,0.0,56.66363636363674,1.2343558300443036,-30.18376971865342
buyhold,2021,328,100.0,100.0,0.0,28.90771581655327,1.2143397014650175,-10.697774819665106
buyhold,2022,324,100.0,100.0,0.0,-33.335334013564534,-0.9587627057321361,-36.014038009695696
buyhold,2023,338,100.0,100.0,0.0,53.09264427838281,2.03996990401098,-10.3650781188663
buyhold,2024,343,100.0,100.0,0.0,28.377146553752162,1.0680842420270384,-14.389980923944579
buyhold,2025,347,100.0,100.0,0.0,16.515684231020124,0.553486246049462,-27.713150723908196
buyhold,2026,134,100.0,100.0,0.0,16.02351137234845,1.6640489618281067,-11.942109285441393
long_only_above,2019,208,62.980769230769226,62.980769230769226,0.0,-1.9134995929425247,-0.16355948513872426,-8.069161193012587
long_only_above,2020,332,87.34939759036145,87.34939759036145,0.0,56.62925543044277,1.7376272460131528,-12.689982023206415
long_only_above,2021,328,92.3780487804878,92.3780487804878,0.0,8.518780005253346,0.47706204678077646,-15.872495135285336
long_only_above,2022,324,18.51851851851852,18.51851851851852,0.0,-18.5712287358035,-1.4458518556728577,-19.30019581638891
long_only_above,2023,338,89.3491124260355,89.3491124260355,0.0,32.135686494992235,1.4701220119385965,-11.889150921985292
long_only_above,2024,343,89.50437317784257,89.50437317784257,0.0,13.445868347046641,0.630310659127759,-14.53959426780802
long_only_above,2025,347,77.80979827089337,77.80979827089337,0.0,17.268864202682877,0.7834108168856918,-7.84650897638387
long_only_above,2026,134,52.23880597014925,52.23880597014925,0.0,15.211313574911811,2.605466712547914,-4.643147173934037
short_only_below_falling,2019,208,26.923076923076923,0.0,26.923076923076923,-8.78085955677661,-1.0794763773955989,-14.918220651288872
short_only_below_falling,2020,332,9.939759036144578,0.0,9.939759036144578,-5.233294254332021,-0.06861281993007708,-23.473732491568043
short_only_below_falling,2021,328,2.1341463414634148,0.0,2.1341463414634148,-12.265011242963508,-1.9987152203288308,-12.265011242963508
short_only_below_falling,2022,324,77.46913580246914,0.0,77.46913580246914,6.66061509491096,0.3220050491850457,-20.572488343798266
short_only_below_falling,2023,338,5.9171597633136095,0.0,5.9171597633136095,-10.002612583578907,-1.5097720266731327,-11.60842771238001
short_only_below_falling,2024,343,6.705539358600583,0.0,6.705539358600583,-12.429908220408137,-1.4648265750344278,-12.429908220408137
short_only_below_falling,2025,347,19.020172910662826,0.0,19.020172910662826,0.556459677499288,0.120597395001841,-21.621377264325336
short_only_below_falling,2026,134,41.7910447761194,0.0,41.7910447761194,-0.5852499370243458,-0.026725262644466147,-8.277709258781329
long_above_short_below_falling,2019,208,89.90384615384616,62.980769230769226,26.923076923076923,-10.52633743784337,-0.851094643082939,-20.974366167111548
long_above_short_below_falling,2020,332,97.28915662650603,87.34939759036145,9.939759036144578,48.432385605398,1.1302120690445348,-24.490406075261507
long_above_short_below_falling,2021,328,94.51219512195121,92.3780487804878,2.1341463414634148,-4.79106056311791,-0.1447465289791544,-26.190743065367272
long_above_short_below_falling,2022,324,95.98765432098766,18.51851851851852,77.46913580246914,-13.147571705379912,-0.2425247533261717,-30.262536859954594
long_above_short_below_falling,2023,338,95.26627218934911,89.3491124260355,5.9171597633136095,18.918665690245874,0.8972045234364103,-15.653681728255108
long_above_short_below_falling,2024,343,96.20991253644316,89.50437317784257,6.705539358600583,-0.6553489683362557,0.06453198958487687,-20.111132291008214
long_above_short_below_falling,2025,347,96.82997118155619,77.80979827089337,19.020172910662826,17.921418146232405,0.5999480904148576,-22.073186563478043
long_above_short_below_falling,2026,134,94.02985074626866,52.23880597014925,41.7910447761194,14.537039434769717,1.6551860159715244,-8.5221116382301
