strategy,year,bars,time_in_market_pct,return_pct,sharpe,max_drawdown_pct
buyhold,2019,208,99.51923076923077,4.5428625736553485,0.39626124841577415,-10.93898498384338
buyhold,2020,332,100.0,56.66363636363674,1.2343558300443036,-30.18376971865342
buyhold,2021,328,100.0,28.90771581655327,1.2143397014650175,-10.697774819665106
buyhold,2022,324,100.0,-33.335334013564534,-0.9587627057321361,-36.014038009695696
buyhold,2023,338,100.0,53.09264427838281,2.03996990401098,-10.3650781188663
buyhold,2024,343,100.0,28.377146553752162,1.0680842420270384,-14.389980923944579
buyhold,2025,347,100.0,16.515684231020124,0.553486246049462,-27.713150723908196
buyhold,2026,134,100.0,15.978297194755031,1.659816982728481,-11.942109285441393
long_above_ema,2019,208,62.980769230769226,-1.9134995929425247,-0.16355948513872426,-8.069161193012587
long_above_ema,2020,332,87.34939759036145,56.62925543044277,1.7376272460131528,-12.689982023206415
long_above_ema,2021,328,92.3780487804878,8.518780005253346,0.47706204678077646,-15.872495135285336
long_above_ema,2022,324,18.51851851851852,-18.5712287358035,-1.4458518556728577,-19.30019581638891
long_above_ema,2023,338,89.3491124260355,32.135686494992235,1.4701220119385965,-11.889150921985292
long_above_ema,2024,343,89.50437317784257,13.445868347046641,0.630310659127759,-14.53959426780802
long_above_ema,2025,347,77.80979827089337,17.268864202682877,0.7834108168856918,-7.84650897638387
long_above_ema,2026,134,52.23880597014925,15.166415909506469,2.5979862460267653,-4.643147173934037
long_above_rising,2019,208,58.17307692307693,1.0659077190976918,0.1760051381067254,-6.896163440813807
long_above_rising,2020,332,85.8433734939759,48.36449900780535,1.5914399844986789,-13.912781514717675
long_above_rising,2021,328,89.9390243902439,10.865338274823767,0.5833285300240575,-14.053362149924853
long_above_rising,2022,324,13.580246913580247,-15.263513597792933,-1.412259681275956,-16.02209202348559
long_above_rising,2023,338,86.09467455621301,29.330819533817397,1.3724118197916964,-12.595416344714593
long_above_rising,2024,343,84.54810495626822,12.79021253892314,0.619340569364657,-17.707198389732525
long_above_rising,2025,347,76.94524495677233,15.353487382031483,0.7172708632142666,-7.846508976383859
long_above_rising,2026,134,47.76119402985074,10.882836956206932,2.1105457884965735,-4.388381326746249
long_above_rising_band,2019,208,49.519230769230774,-1.799430190540885,-0.18202110737682528,-6.8813940428127385
long_above_rising_band,2020,332,84.33734939759037,42.236403034133005,1.4444276036103338,-13.912781514717675
long_above_rising_band,2021,328,83.53658536585365,10.800924567908021,0.5963137442336184,-12.468179736012697
long_above_rising_band,2022,324,11.11111111111111,-15.211767794318142,-1.5838305670127306,-15.970809459068768
long_above_rising_band,2023,338,80.4733727810651,24.89450529707582,1.249505630736731,-14.271024892011253
long_above_rising_band,2024,343,82.79883381924198,10.219870892423998,0.5197735929284679,-17.07120995811818
long_above_rising_band,2025,347,73.19884726224784,-5.223425748819899,-0.18549500353784415,-14.234687001506552
long_above_rising_band,2026,134,37.3134328358209,7.7630575983157035,1.6280011486062573,-4.949976638751885
