strategy,year,trades,win_rate_pct,avg_return_pct,avg_r,profit_factor,avg_bars_held
atr_breakdown,2019,50,34.0,-0.0667079435013931,-0.13348066298342648,0.696513481192468,2.92
atr_breakdown,2020,31,32.25806451612903,-0.25554581323463804,-0.22476159360879777,0.7105685585829751,3.225806451612903
atr_breakdown,2021,7,71.42857142857143,0.4048719059184088,0.6488237299693083,5.6606108787556995,4.571428571428571
atr_breakdown,2022,225,44.44444444444444,0.052687412749420175,0.11843699626064799,1.1803451191536594,3.8088888888888888
atr_breakdown,2023,9,55.55555555555556,0.15693757172335157,0.3888888888888943,1.8131523190350463,4.222222222222222
atr_breakdown,2024,24,33.33333333333333,-0.05319279771368637,-0.14519852262234037,0.8367658739280781,2.5
atr_breakdown,2025,54,48.148148148148145,0.15726451467622732,0.20370370370370486,1.6260131458370368,3.611111111111111
atr_breakdown,2026,43,51.162790697674424,0.09890104526055069,0.279069767441857,1.5647016606367565,3.3488372093023258
bear_divergence,2019,27,29.629629629629626,-0.09862131039498993,-0.22936716243802738,0.6018571927588752,4.703703703703703
bear_divergence,2020,18,33.33333333333333,-0.27277993440723314,-0.22042274454848587,0.6602354999320005,4.055555555555555
bear_divergence,2021,7,42.857142857142854,0.031105407012125115,-0.04987977362613748,1.1831740956827232,2.857142857142857
bear_divergence,2022,132,40.15151515151515,-0.03464900010228406,-0.00303755255908401,0.8975324827754865,4.515151515151516
bear_divergence,2023,6,50.0,0.059401813664233805,0.25000000000000416,1.249628730083707,2.6666666666666665
bear_divergence,2024,6,33.33333333333333,-0.02884655976057582,-0.16666666666665728,0.9098701560952637,3.0
bear_divergence,2025,37,48.64864864864865,0.1191890242234281,0.21621621621621775,1.4035256880724885,5.0
bear_divergence,2026,27,37.03703703703704,-0.05045204100544884,-0.12942456001582048,0.7888268355930205,4.333333333333333
ema_rejection,2019,22,45.45454545454545,0.04368946976667181,0.1363636363636318,1.2334096812392539,3.8181818181818183
ema_rejection,2020,17,29.411764705882355,-0.3669506537073031,-0.2647058823529412,0.6718750018121632,6.0
ema_rejection,2021,6,50.0,-0.05862570993947861,0.007941910596775615,0.7773293006877953,3.8333333333333335
ema_rejection,2022,113,38.05309734513274,-0.024889330557758858,-0.05664563661769111,0.929109174937451,4.575221238938053
ema_rejection,2023,12,50.0,0.1536193084312141,0.25000000000000405,1.875740555081445,4.75
ema_rejection,2024,7,57.14285714285714,0.1604428673570373,0.5021764938662525,1.8560422095658002,1.8571428571428572
ema_rejection,2025,24,45.83333333333333,0.10464317089722887,0.14583333333333057,1.3906358404682746,4.875
ema_rejection,2026,33,30.303030303030305,-0.10019670270789073,-0.2694143886507934,0.6173735651890281,6.151515151515151
failed_rally,2019,44,38.63636363636363,-0.008879130730964207,-0.020158395405190013,0.9533166305109931,4.886363636363637
failed_rally,2020,27,44.44444444444444,0.05814870133676709,0.07527372585656465,1.0731382324119645,3.888888888888889
failed_rally,2021,5,20.0,-0.3146993841331214,-0.5000000000000051,0.18329671060678135,2.8
failed_rally,2022,174,37.35632183908046,-0.04450242794608602,-0.06305325867677392,0.8718917434395096,4.816091954022989
failed_rally,2023,13,53.84615384615385,0.11718064049524451,0.3461538461538473,1.5971495372331963,4.769230769230769
failed_rally,2024,16,37.5,-0.10637388937524556,-0.062499999999994615,0.6984233377253832,5.0
failed_rally,2025,47,38.297872340425535,-0.07012977146639937,-0.04255319148936295,0.8183892586882587,4.638297872340425
failed_rally,2026,46,39.130434782608695,-0.027926586184398944,-0.03883811099811611,0.8776782781948764,4.478260869565218
gap_fill_failure,2019,32,50.0,0.06854038540860218,0.24999999999999822,1.4075819203155908,4.75
gap_fill_failure,2020,24,45.83333333333333,0.2119167095640103,0.10551627492197084,1.2756273061562133,4.083333333333333
gap_fill_failure,2021,3,33.33333333333333,-0.22312262307318717,-0.16666666666666954,0.34537140332134675,3.3333333333333335
gap_fill_failure,2022,151,35.099337748344375,-0.05914968423893009,-0.11195559546792624,0.8305808445147266,4.814569536423841
gap_fill_failure,2023,14,28.57142857142857,-0.14664795777840633,-0.2857142857142864,0.5252542776002151,3.5714285714285716
gap_fill_failure,2024,12,41.66666666666667,-0.03861554457153989,-0.0543358188345813,0.8736908268695678,5.916666666666667
gap_fill_failure,2025,38,44.73684210526316,0.002149249619795714,0.1184210526315793,1.0054692991747354,5.921052631578948
gap_fill_failure,2026,37,35.13513513513514,-0.07700368364225463,-0.12162162162161917,0.7136071284036054,4.45945945945946
rsi_rollover,2019,1,0.0,-0.35049878673497625,-1.000000000000005,0.0,1.0
rsi_rollover,2020,1,0.0,-1.9316031261311872,-1.0000000000000018,0.0,17.0
rsi_rollover,2022,23,43.47826086956522,0.07912729307279076,0.1144902505569332,1.2526336690214521,3.130434782608696
rsi_rollover,2023,3,66.66666666666666,0.3278471511610907,0.6666666666666711,3.0672366664401833,1.3333333333333333
rsi_rollover,2024,3,33.33333333333333,-0.04797387738684211,-0.16666666666665572,0.8318314078912881,1.6666666666666667
rsi_rollover,2025,3,66.66666666666666,0.15363882891172112,0.666666666666674,2.224127283176666,1.6666666666666667
rsi_rollover,2026,3,100.0,0.46174408343165513,1.4999999999999993,,2.0
