count,stop,target,target_hit_rate,stop_hit_rate,ambiguous_both_hit_rate,screening_score
29,60,80,0.9310344827586207,0.7241379310344828,0.6551724137931034,17.931034482758623
29,60,100,0.9310344827586207,0.7241379310344828,0.6551724137931034,23.448275862068964
29,60,120,0.9310344827586207,0.7241379310344828,0.6551724137931034,28.965517241379313
29,60,150,0.896551724137931,0.7241379310344828,0.6206896551724138,35.17241379310345
29,60,180,0.896551724137931,0.7241379310344828,0.6206896551724138,43.44827586206897
29,60,200,0.896551724137931,0.7241379310344828,0.6206896551724138,48.96551724137931
29,60,250,0.8620689655172413,0.7241379310344828,0.5862068965517241,60.68965517241379
29,60,300,0.8275862068965517,0.7241379310344828,0.5517241379310345,72.41379310344828
29,60,350,0.8275862068965517,0.7241379310344828,0.5517241379310345,86.20689655172413
29,60,400,0.7931034482758621,0.7241379310344828,0.5172413793103449,97.93103448275862
29,60,500,0.6896551724137931,0.7241379310344828,0.41379310344827586,119.31034482758619
29,60,600,0.5172413793103449,0.7241379310344828,0.2413793103448276,136.55172413793105
29,80,80,0.9310344827586207,0.6206896551724138,0.5517241379310345,24.82758620689655
29,80,100,0.9310344827586207,0.6206896551724138,0.5517241379310345,32.41379310344827
29,80,120,0.9310344827586207,0.6206896551724138,0.5517241379310345,40.0
29,80,150,0.896551724137931,0.6206896551724138,0.5172413793103449,48.62068965517241
29,80,180,0.896551724137931,0.6206896551724138,0.5172413793103449,59.99999999999999
29,80,200,0.896551724137931,0.6206896551724138,0.5172413793103449,67.58620689655172
29,80,250,0.8620689655172413,0.6206896551724138,0.4827586206896552,83.79310344827584
29,80,300,0.8275862068965517,0.6206896551724138,0.4482758620689655,100.0
29,80,350,0.8275862068965517,0.6206896551724138,0.4482758620689655,118.96551724137932
29,80,400,0.7931034482758621,0.6206896551724138,0.41379310344827586,135.17241379310343
29,80,500,0.6896551724137931,0.6206896551724138,0.3448275862068966,161.04102259215222
29,80,600,0.5172413793103449,0.6206896551724138,0.1724137931034483,181.730677764566
29,100,80,0.9310344827586207,0.5172413793103449,0.4482758620689655,31.724137931034484
29,100,100,0.9310344827586207,0.5172413793103449,0.4482758620689655,41.37931034482759
29,100,120,0.9310344827586207,0.5172413793103449,0.4482758620689655,51.0344827586207
29,100,150,0.896551724137931,0.5172413793103449,0.41379310344827586,62.06896551724139
29,100,180,0.896551724137931,0.5172413793103449,0.41379310344827586,76.55172413793105
29,100,200,0.896551724137931,0.5172413793103449,0.41379310344827586,86.20689655172413
29,100,250,0.8620689655172413,0.5172413793103449,0.3793103448275862,106.89655172413794
29,100,300,0.8275862068965517,0.5172413793103449,0.3448275862068966,127.58620689655174
29,100,350,0.8275862068965517,0.5172413793103449,0.3448275862068966,151.7241379310345
29,100,400,0.7931034482758621,0.5172413793103449,0.3103448275862069,172.41379310344826
29,100,500,0.6896551724137931,0.5172413793103449,0.2413793103448276,207.24791914387635
29,100,600,0.5172413793103449,0.5172413793103449,0.06896551724137931,234.83412604042803
29,120,80,0.9310344827586207,0.41379310344827586,0.3448275862068966,38.62068965517241
29,120,100,0.9310344827586207,0.41379310344827586,0.3448275862068966,50.34482758620689
29,120,120,0.9310344827586207,0.41379310344827586,0.3448275862068966,62.068965517241374
29,120,150,0.896551724137931,0.41379310344827586,0.3103448275862069,75.51724137931035
29,120,180,0.896551724137931,0.41379310344827586,0.3103448275862069,93.10344827586206
29,120,200,0.896551724137931,0.41379310344827586,0.3103448275862069,104.82758620689654
29,120,250,0.8620689655172413,0.41379310344827586,0.27586206896551724,129.99999999999997
29,120,300,0.8275862068965517,0.41379310344827586,0.2413793103448276,155.17241379310343
29,120,350,0.8275862068965517,0.41379310344827586,0.2413793103448276,184.48275862068965
29,120,400,0.7931034482758621,0.41379310344827586,0.20689655172413793,209.65517241379308
29,120,500,0.6896551724137931,0.41379310344827586,0.13793103448275862,253.45481569560044
29,120,600,0.5172413793103449,0.41379310344827586,0.034482758620689655,276.2265160523187
29,150,80,0.9310344827586207,0.3793103448275862,0.3103448275862069,39.310344827586206
29,150,100,0.9310344827586207,0.3793103448275862,0.3103448275862069,51.724137931034484
29,150,120,0.9310344827586207,0.3793103448275862,0.3103448275862069,64.13793103448276
29,150,150,0.896551724137931,0.3793103448275862,0.27586206896551724,77.58620689655173
29,150,180,0.896551724137931,0.3793103448275862,0.27586206896551724,96.20689655172414
29,150,200,0.896551724137931,0.3793103448275862,0.27586206896551724,108.62068965517241
29,150,250,0.8620689655172413,0.3793103448275862,0.2413793103448276,134.48275862068965
29,150,300,0.8275862068965517,0.3793103448275862,0.20689655172413793,160.34482758620692
29,150,350,0.8275862068965517,0.3793103448275862,0.20689655172413793,191.3793103448276
29,150,400,0.7931034482758621,0.3793103448275862,0.1724137931034483,217.24137931034483
29,150,500,0.6896551724137931,0.3793103448275862,0.10344827586206896,262.4203329369798
29,150,600,0.5172413793103449,0.3793103448275862,0.034482758620689655,280.71581450653986
29,180,80,0.9310344827586207,0.27586206896551724,0.20689655172413793,45.51724137931034
