signal_time,trigger,label,return_pct,r_multiple,bars_held,entry_time,exit_time,exit_reason,prob_target_hit_first,pred_label,fold_train_start,fold_train_end,fold_test_start,fold_test_end,strategy
2022-05-18 17:00:00,atr_breakdown,1,0.9870548603357676,1.4999999999999967,5,2022-05-18 18:00:00,2022-05-18 23:00:00,target,0.4202358531689529,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-18 18:00:00,atr_breakdown,1,1.046172260022371,1.4999999999999907,12,2022-05-18 19:00:00,2022-05-19 07:00:00,target,0.5768352411034822,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-19 07:00:00,atr_breakdown,0,-0.6514605038217325,-1.0000000000000033,6,2022-05-19 08:00:00,2022-05-19 13:00:00,stop,0.46662935057370625,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-20 13:00:00,atr_breakdown,1,0.6883723125784114,1.4999999999999953,1,2022-05-20 14:00:00,2022-05-20 14:00:00,target,0.5843662196791666,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-20 14:00:00,atr_breakdown,1,0.8533136751642578,1.4999999999999885,2,2022-05-20 15:00:00,2022-05-20 16:00:00,target,0.3656741354321477,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-20 15:00:00,atr_breakdown,1,0.9018917065241494,1.5000000000000038,1,2022-05-20 16:00:00,2022-05-20 16:00:00,target,0.6227064416408075,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-20 16:00:00,atr_breakdown,0,-0.701515430024735,-0.9999999999999969,3,2022-05-20 17:00:00,2022-05-20 19:00:00,stop,0.4192185745081551,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-23 08:00:00,atr_breakdown,0,-0.6467914273724285,-1.0000000000000067,5,2022-05-23 09:00:00,2022-05-23 13:00:00,stop,0.5759671463547339,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-23 13:00:00,atr_breakdown,0,-0.5994182636909873,-0.9999999999999964,1,2022-05-23 14:00:00,2022-05-23 14:00:00,stop,0.6045425565842987,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-23 22:00:00,atr_breakdown,1,1.3813403251085488,1.5000000000000024,15,2022-05-23 23:00:00,2022-05-24 13:00:00,target,0.5670312487531238,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-23 22:00:00,rsi_rollover,1,1.3813403251085488,1.5000000000000024,15,2022-05-23 23:00:00,2022-05-24 13:00:00,target,0.5670312487531238,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-24 13:00:00,atr_breakdown,1,0.6869937661676762,1.5,1,2022-05-24 14:00:00,2022-05-24 14:00:00,target,0.32083931201311505,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-24 14:00:00,atr_breakdown,0,-0.4986507715782573,-1.0000000000000044,1,2022-05-24 15:00:00,2022-05-24 15:00:00,stop,0.5550026891325769,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-25 11:00:00,atr_breakdown,0,-0.43588747047744736,-1.000000000000015,2,2022-05-25 12:00:00,2022-05-25 13:00:00,stop,0.5231414297510734,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-30 13:00:00,atr_breakdown,0,-0.31838694929285927,-0.9999999999999875,2,2022-05-30 14:00:00,2022-05-30 15:00:00,stop,0.5357113253406003,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-31 00:00:00,rsi_rollover,0,-0.4261334281215001,-1.0000000000000047,2,2022-05-31 01:00:00,2022-05-31 02:00:00,stop,0.4841244613640978,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-31 00:00:00,atr_breakdown,0,-0.4261334281215001,-1.0000000000000047,2,2022-05-31 01:00:00,2022-05-31 02:00:00,stop,0.4841244613640978,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-31 07:00:00,atr_breakdown,0,-0.4856631840747916,-1.0000000000000124,1,2022-05-31 08:00:00,2022-05-31 08:00:00,stop,0.5733080083601944,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-31 12:00:00,atr_breakdown,0,-0.5372867573800622,-0.9999999999999963,1,2022-05-31 13:00:00,2022-05-31 13:00:00,stop,0.6356213700192526,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-05-31 13:00:00,atr_breakdown,0,-0.6032075432280237,-1.0000000000000069,1,2022-05-31 14:00:00,2022-05-31 14:00:00,stop,0.5615746831141701,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-01 14:00:00,rsi_rollover,1,0.8122920268029077,1.5000000000000038,1,2022-06-01 15:00:00,2022-06-01 15:00:00,target,0.5325981154463719,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-01 15:00:00,atr_breakdown,0,-0.6004675737728338,-1.0000000000000033,3,2022-06-01 16:00:00,2022-06-01 18:00:00,stop,0.5123721696290596,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-02 13:00:00,atr_breakdown,0,-0.42167672755378804,-1.0,1,2022-06-02 14:00:00,2022-06-02 14:00:00,stop,0.4760896550064492,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-03 10:00:00,atr_breakdown,1,0.40526246655652187,1.5000000000000147,2,2022-06-03 11:00:00,2022-06-03 12:00:00,target,0.5448612763633683,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-03 12:00:00,atr_breakdown,1,0.4852152191183512,1.4999999999999938,1,2022-06-03 13:00:00,2022-06-03 13:00:00,target,0.5282207580222947,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-03 14:00:00,atr_breakdown,0,-0.4566222767036221,-0.9999999999999911,3,2022-06-03 15:00:00,2022-06-03 17:00:00,stop,0.4850916080922285,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-03 15:00:00,atr_breakdown,0,-0.4816524319053883,-0.9999999999999916,1,2022-06-03 16:00:00,2022-06-03 16:00:00,stop,0.6040591751931003,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-06 15:00:00,atr_breakdown,1,0.638344706141325,1.5,1,2022-06-06 16:00:00,2022-06-06 16:00:00,target,0.49496699854382636,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-06 15:00:00,rsi_rollover,1,0.638344706141325,1.5,1,2022-06-06 16:00:00,2022-06-06 16:00:00,target,0.49496699854382636,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-06 16:00:00,atr_breakdown,0,-0.47686364254946323,-1.0000000000000127,1,2022-06-06 17:00:00,2022-06-06 17:00:00,stop,0.6129571667900517,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-07 01:00:00,atr_breakdown,0,-0.6291712238566061,-0.9999999999999934,13,2022-06-07 02:00:00,2022-06-07 14:00:00,stop,0.6368341907534989,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-09 12:00:00,atr_breakdown,0,-0.36894190141828487,-1.0000000000000109,1,2022-06-09 13:00:00,2022-06-09 13:00:00,stop,0.5911084712490825,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-09 18:00:00,atr_breakdown,1,0.9678641693301904,1.4999999999999936,1,2022-06-09 19:00:00,2022-06-09 19:00:00,target,0.5781647061460391,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-09 19:00:00,atr_breakdown,1,1.0970422582126105,1.4999999999999971,16,2022-06-09 20:00:00,2022-06-10 12:00:00,target,0.4785893158923429,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-10 12:00:00,atr_breakdown,1,0.7216762480777739,1.4999999999999867,1,2022-06-10 13:00:00,2022-06-10 13:00:00,target,0.35870287667424344,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-10 13:00:00,atr_breakdown,1,0.8398552878418508,1.500000000000004,1,2022-06-10 14:00:00,2022-06-10 14:00:00,target,0.542330675992802,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-10 14:00:00,atr_breakdown,0,-0.5948768112952973,-1.0000000000000036,3,2022-06-10 15:00:00,2022-06-10 17:00:00,stop,0.5278845274274307,1,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
2022-06-12 22:00:00,atr_breakdown,1,1.317666345359103,1.500000000000005,10,2022-06-12 23:00:00,2022-06-13 08:00:00,target,0.45677967665411123,0,2021-11-01,2022-05-01,2022-05-01,2022-07-01,raw_oos_all
