signal_time,trigger,label,entry_time,exit_time,exit_reason,bars_held,return_pct,r_multiple,regime_age,d1_rsi14,d1_close_vs_ema_atr,d1_ema_slope_atr,d1_ret_5,h1_atr14,h1_rsi14,h1_ret_1h,h1_ret_6h,h1_ret_24h,bar_range,body_size,atr_ratio,tickvol_ratio,dist_to_recent_low_atr,dist_to_recent_high_atr,dist_to_h1_ema_atr,recent_6h_mean_ret,recent_6h_std_ret,recent_24h_mean_ret,recent_24h_std_ret,recent_24h_low_break_distance,recent_24h_high_distance,hour,dayofweek,is_us_session,trigger_atr_breakdown,trigger_rsi_rollover,prev_bar_red,prev_bar_range,prev_bar_rsi14,prev_bar_atr_ratio
2019-05-20 08:00:00,atr_breakdown,1,2019-05-20 09:00:00,2019-05-20 10:00:00,target,2,0.3575847459143855,1.4999999999999927,1,17.543030593789595,-2.3735589285595218,-0.39882578929410845,-0.0024129494956265374,17.839285714285715,33.36241963844755,-0.005232827714115373,-0.008058124174372572,-0.010965128914353417,62.5,38.5,2.3245002324500232,0.4751893479960109,-1.8078078078078077,3.5875875875875876,-2.5658795889487465,-0.00033044485917529026,0.0009337036651631193,-0.00012586278980667812,0.0027580316046797006,-1.3453453453453452,7.693693693693693,8,0,0,1,0,1,14.0,42.744054701391576,0.5263157894736842
2019-05-20 10:00:00,atr_breakdown,1,2019-05-20 11:00:00,2019-05-20 12:00:00,target,2,0.4663461364794008,1.499999999999989,1,17.543030593789595,-2.3735589285595218,-0.39882578929410845,-0.0024129494956265374,23.053571428571427,24.157834104775432,-0.007659262712711001,-0.015690031049745645,-0.014843956625231414,62.25,56.75,2.643312101910828,1.2924491830630558,-1.930286599535244,5.3462432223082885,-4.42540381138766,-0.0012800773582476814,0.0020730223289777585,-0.0004060415523680916,0.002871586879778152,-1.930286599535244,8.523625096824167,10,0,0,1,0,1,20.25,33.0166700085763,0.8594164456233422
2019-05-20 12:00:00,atr_breakdown,0,2019-05-20 13:00:00,2019-05-20 14:00:00,stop,2,-0.35997016636329926,-1.0000000000000049,1,17.543030593789595,-2.3735589285595218,-0.39882578929410845,-0.0024129494956265374,26.803571428571427,20.80254670799569,-0.0036591916207868724,-0.017121473042787105,-0.020171673819742497,49.0,27.75,2.0133538777606574,3.2730677486234034,-0.6062624916722186,5.437708194536976,-4.752108543475015,-0.002546606643911209,0.0031713058573853803,-0.0005824220049063892,0.003204363994829828,-0.6062624916722186,8.450366422385077,12,0,0,1,0,1,22.0,23.828535214781226,0.94776521270867
2019-05-22 00:00:00,atr_breakdown,0,2019-05-22 01:00:00,2019-05-22 02:00:00,stop,2,-0.29631041135697034,-0.9999999999999825,3,19.801565654737402,-2.4324306506564217,-0.4533011817057182,-0.024887840979795017,22.214285714285715,47.70228764485335,-0.0028343726032878935,-0.0024019215372297342,0.0031533042603153483,27.5,20.75,1.2549914432401597,0.22084681389787594,-0.09003215434083602,1.147909967845659,-1.3655263528661346,-0.00011630872982670848,0.0009207436971234332,0.00031093959591596554,0.001646400038429202,2.1945337620578775,1.6093247588424437,0,2,0,1,0,1,7.25,55.7616150882639,0.3483483483483483
2019-05-22 11:00:00,atr_breakdown,0,2019-05-22 12:00:00,2019-05-22 13:00:00,stop,2,-0.2480391499631307,-1.0,3,19.801565654737402,-2.4324306506564217,-0.4533011817057182,-0.024887840979795017,18.5,37.61509242538162,-0.003915924760693468,-0.004049260424335732,-0.003949262023494771,35.75,29.0,2.0891161431701972,1.194225348102167,-0.8513513513513513,2.72972972972973,-3.2201448663446,-0.0003109820885839887,0.001593522332813335,-0.00011002096431579622,0.0017023704015305102,-0.6891891891891891,3.864864864864865,11,2,0,1,0,1,19.25,46.289705091725324,1.134020618556701
2019-05-23 09:00:00,atr_breakdown,0,2019-05-23 10:00:00,2019-05-23 11:00:00,stop,2,-0.22779484892839763,-1.0000000000000233,4,18.522497127257765,-3.11790633728226,-0.4871348474527532,-0.025004974464415963,16.785714285714285,23.690309795681344,-0.0033212458060799532,-0.008395711106615411,-0.016947452868030455,28.75,25.25,1.342673671920607,0.6554094892716833,-0.774468085106383,3.887234042553192,-7.294119914310656,-0.0008718333778315509,0.0015423773167650304,-0.0005020547600750741,0.001883972094598361,-0.774468085106383,8.742553191489362,9,3,0,1,0,1,27.0,28.038235293685815,1.2231030577576445
2019-05-23 15:00:00,atr_breakdown,0,2019-05-23 16:00:00,2019-05-23 19:00:00,stop,4,-0.33287863424928954,-0.9999999999999947,4,18.522497127257765,-3.11790633728226,-0.4871348474527532,-0.025004974464415963,24.446428571428573,25.94946705331016,-0.0054353364812990135,-0.004488421911659657,-0.020311872573952616,43.5,40.75,2.031523642732049,4.026338514680484,-0.35792549306062815,2.577063550036523,-5.802044463744351,-0.00039364120418291143,0.0022631573492412297,-0.0005761897620434145,0.0016903758273384734,-0.35792549306062815,7.0255661066471875,15,3,1,1,0,0,43.0,33.08530017624581,2.079806529625151
2019-05-23 16:00:00,atr_breakdown,0,2019-05-23 17:00:00,2019-05-23 17:00:00,stop,1,-0.34858494015552743,-1.0000000000000153,4,18.522497127257765,-3.11790633728226,-0.4871348474527532,-0.025004974464415963,25.535714285714285,23.432253384858157,-0.0025275813778734557,-0.007915477646419311,-0.021215980694463066,35.75,18.75,1.5783664459161149,3.109157407727897,-0.6657342657342658,3.191608391608392,-6.154683155962999,-0.0007459896500527549,0.0028883328040766928,-0.0008529167388562307,0.001914661547578437,-0.6657342657342658,7.450349650349651,16,3,1,1,0,1,43.5,25.94946705331016,2.031523642732049
2019-05-24 14:00:00,atr_breakdown,0,2019-05-24 15:00:00,2019-05-24 15:00:00,stop,1,-0.2514384363778266,-0.999999999999986,5,18.366604946503458,-3.1641975275327687,-0.48111264812218973,-0.030357083870115265,18.517857142857142,41.63555070277529,-0.005953186307671499,-0.004505267436739957,-0.0016645717973978735,57.5,44.25,3.0026109660574414,5.044840990480854,-0.4725168756027001,3.1861137897782066,-4.121123288182681,0.00024930942104511855,0.0015834654329862695,0.00024052445480642984,0.0018428931523236625,2.8216007714561235,3.1861137897782066,14,4,1,1,0,0,39.0,58.3393623346785,2.2478386167146973
2019-05-24 19:00:00,atr_breakdown,0,2019-05-24 20:00:00,2019-05-27 07:00:00,stop,13,-0.31814905683730244,-1.0000000000000167,5,18.366604946503458,-3.1641975275327687,-0.48111264812218973,-0.030357083870115265,23.410714285714285,39.607665325376914,-0.002040955167018188,-0.007644432417805436,-0.0010895471569628556,27.0,14.75,1.3705583756345179,1.7270564374585593,-0.11746758199847446,2.776506483600305,-3.511450703628793,-0.00048803829038753427,0.003225288869888057,0.00022489945267772002,0.001914087999862257,1.5484363081617087,3.0541571319603356,19,4,1,1,0,1,18.25,43.70702044053842,0.953625081645983
