signal_time,trigger,label,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,bars_held,return_pct,r_multiple,pnl_usd,rf_prob,pred_label,fold_train_start,fold_train_end,fold_test_start,fold_test_end
2022-03-08 06:00:00,atr_breakdown,0,2022-03-08 07:00:00,13482.75,13562.625,13362.9375,2022-03-08 08:00:00,13562.625,stop,2,-0.5889346641966386,-1.0,-159.75,0.507577595821778,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
2022-03-10 08:00:00,atr_breakdown,0,2022-03-10 09:00:00,13953.0,14015.25,13859.625,2022-03-10 09:00:00,14015.25,stop,1,-0.4441590410445784,-1.0,-124.5,0.5291325075599823,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
2022-03-10 08:00:00,rsi_rollover,0,2022-03-10 09:00:00,13953.0,14015.25,13859.625,2022-03-10 09:00:00,14015.25,stop,1,-0.4441590410445784,-1.0,-124.5,0.5291325075599823,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
2022-03-21 05:00:00,atr_breakdown,0,2022-03-21 06:00:00,14523.25,14571.19642857143,14451.330357142857,2022-03-21 09:00:00,14571.19642857143,stop,4,-0.32904935985500483,-1.0000000000000162,-95.8928571428587,0.5291331207824688,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
2022-03-23 11:00:00,atr_breakdown,1,2022-03-23 12:00:00,14739.25,14773.05357142857,14688.544642857143,2022-03-23 13:00:00,14688.544642857143,target,2,0.34520341106438757,1.4999999999999922,101.41071428571377,0.5352639509746956,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
2022-04-11 08:00:00,atr_breakdown,0,2022-04-11 09:00:00,14369.0,14432.410714285714,14273.88392857143,2022-04-11 10:00:00,14432.410714285714,stop,2,-0.43936328823394044,-0.9999999999999918,-126.82142857142753,0.5594468774547352,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
2022-04-11 19:00:00,atr_breakdown,0,2022-04-11 20:00:00,14196.0,14278.857142857143,14071.714285714286,2022-04-12 12:00:00,14278.857142857143,stop,16,-0.5802785336961769,-1.000000000000003,-165.71428571428623,0.5612899292157251,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
2022-04-12 17:00:00,atr_breakdown,0,2022-04-12 18:00:00,14198.25,14296.125,14051.4375,2022-04-13 14:00:00,14296.125,stop,20,-0.6846260787451097,-1.0,-195.75,0.5156171273323469,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
2022-04-13 11:00:00,atr_breakdown,0,2022-04-13 12:00:00,14173.25,14218.232142857143,14105.776785714286,2022-04-13 13:00:00,14218.232142857143,stop,2,-0.3163694501903347,-1.0000000000000058,-89.96428571428623,0.5761541196565474,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
2022-04-14 12:00:00,atr_breakdown,0,2022-04-14 13:00:00,14381.5,14416.910714285714,14328.38392857143,2022-04-14 13:00:00,14416.910714285714,stop,1,-0.24561929381046177,-0.9999999999999853,-70.82142857142753,0.5947366438611074,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
2022-04-14 13:00:00,atr_breakdown,1,2022-04-14 14:00:00,14309.25,14353.160714285714,14243.38392857143,2022-04-14 14:00:00,14243.38392857143,target,1,0.46243274603057216,1.4999999999999822,131.7321428571413,0.5337961764656458,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
2022-04-14 16:00:00,atr_breakdown,0,2022-04-14 17:00:00,14176.25,14233.714285714286,14090.05357142857,2022-04-14 18:00:00,14233.714285714286,stop,2,-0.40371953912240466,-1.000000000000009,-114.92857142857247,0.5341862119780353,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
