signal_idx,signal_time,trigger,entry_idx,entry_time,entry_price,regime_age,d1_rsi14,d1_rsi10,d1_range_atr_ratio,d1_close_vs_ema_atr,d1_ema_slope_atr,d1_ret_5,h1_atr14,h1_rsi14,h1_ret_1h,h1_ret_6h,h1_ret_24h,bar_range,body_size,atr_ratio,tickvol_ratio,dist_to_recent_low_atr,dist_to_recent_high_atr,dist_to_h1_ema_atr,recent_6h_mean_ret,recent_6h_std_ret,recent_24h_mean_ret,recent_24h_std_ret,recent_24h_low_break_distance,recent_24h_high_distance,hour,dayofweek,is_us_session,trigger_atr_breakdown,trigger_rsi_rollover,prev_bar_red,prev_bar_range,prev_bar_rsi14,prev_bar_atr_ratio,proxy_label,rf_prob,pred_label,fold_train_start,fold_train_end,fold_test_start,fold_test_end
17365,2022-03-08 06:00:00,atr_breakdown,17366,2022-03-08 07:00:00,13482.75,45,36.35187708769522,33.76452799730535,1.1011952749833502,-3.0162183432029552,-0.4125009067642606,-0.06582613781003821,79.875,25.086985752827815,-0.0038789759503491394,-0.010004956583995694,-0.03172636681928365,122.0,53.25,1.3309695895267968,0.5983186381980001,-0.5821596244131455,2.8231611893583723,-7.560510923925426,-0.000762716367636603,0.0034134041477231576,-0.001234681882430565,0.003891433053849573,-0.5821596244131455,9.07981220657277,6,1,0,1,0,1,96.0,27.32393564795713,1.0723261658754537,0,0.5062465260253133,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
17413,2022-03-10 08:00:00,atr_breakdown,17414,2022-03-10 09:00:00,13953.0,47,43.41684307397834,43.78612481261518,0.7337286510670028,-2.2789952498501864,-0.42871315098749335,-0.014560959643318383,62.25,49.87754041743593,-0.006267583063281235,-0.007486973377674233,0.014671926985800665,133.5,88.5,1.7743811264329623,1.095124065893233,-0.7028112449799196,1.8433734939759037,0.10426402499118023,-0.0001499214671321266,0.0017965027715728034,0.0011670485449022567,0.0029194776443838507,5.240963855421687,3.1726907630522088,8,3,0,1,0,0,39.5,60.67476536045058,0.545015522593998,0,0.5273196499906223,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
17413,2022-03-10 08:00:00,rsi_rollover,17414,2022-03-10 09:00:00,13953.0,47,43.41684307397834,43.78612481261518,0.7337286510670028,-2.2789952498501864,-0.42871315098749335,-0.014560959643318383,62.25,49.87754041743593,-0.006267583063281235,-0.007486973377674233,0.014671926985800665,133.5,88.5,1.7743811264329623,1.095124065893233,-0.7028112449799196,1.8433734939759037,0.10426402499118023,-0.0001499214671321266,0.0017965027715728034,0.0011670485449022567,0.0029194776443838507,5.240963855421687,3.1726907630522088,8,3,0,0,1,0,39.5,60.67476536045058,0.545015522593998,0,0.5273196499906223,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
17567,2022-03-21 05:00:00,atr_breakdown,17568,2022-03-21 06:00:00,14523.25,57,55.09189395333506,59.184270923208885,0.7389723025272777,-0.9609487426159314,-0.4409603882956977,0.015795635232653593,47.94642857142857,61.38285743419008,-0.002027108278504053,-0.0051205644608850465,0.01173827478709133,53.5,29.0,1.4692756608307587,3.4752873642144007,-0.22942271880819368,1.6007448789571694,7.438878029672023,-0.0006476836334095015,0.0013644127153293914,0.0005706393898924264,0.0029110213652739233,4.687523277467411,2.17951582867784,5,0,0,1,0,1,22.0,66.06770420729532,0.6299212598425198,0,0.5387546933579884,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
17619,2022-03-23 11:00:00,atr_breakdown,17620,2022-03-23 12:00:00,14739.25,59,56.10111738789098,59.470874119898255,0.7015995014540923,-0.6667897187049172,-0.3469459665302876,0.018718527522139317,33.80357142857143,45.119303140528444,-0.0018623865637275028,-0.008159625834889606,0.008450222374273064,52.25,27.5,1.2250879249706916,0.8142047076531803,-0.3993660855784469,3.86053882725832,6.742916548700968,-0.0009977697595999573,0.0010630129733237076,0.0004414631770470051,0.0025498837379793484,5.4284204965662965,4.333861595351294,11,2,0,1,0,1,43.0,49.71383114834467,0.8895784846133954,1,0.5145360842021928,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
17915,2022-04-11 08:00:00,atr_breakdown,17916,2022-04-11 09:00:00,14369.0,2,40.107330445641715,34.871436811750044,1.2319637657715952,-2.622262349955012,-0.08163337437865245,-0.05675976910152547,63.410714285714285,33.27481772255821,-0.005845930333114202,-0.0026893380758219454,-0.029840669727248192,114.5,84.75,1.4325930559899906,0.5341420908494218,-0.1813573641227823,2.034356519290341,-6.1352708599384576,0.00022079611781278263,0.0019288801072292157,-0.000967944520402946,0.004097637537020885,-0.1813573641227823,7.34103069557871,8,0,0,1,0,0,117.5,39.267000870180425,1.5562913907284768,0,0.5440626888904824,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
17926,2022-04-11 19:00:00,atr_breakdown,17927,2022-04-11 20:00:00,14196.0,2,40.107330445641715,34.871436811750044,1.2319637657715952,-2.622262349955012,-0.08163337437865245,-0.05675976910152547,82.85714285714286,28.049208620953266,-0.006456128072784506,-0.009419809510518795,-0.025868871581981034,138.5,92.25,1.9064005505849964,1.9824713254310904,-0.36810344827586206,2.2387931034482755,-5.719230815307824,-0.0007178745675530488,0.0028857620880455427,-0.0008501359342588342,0.0025483346245775995,-0.36810344827586206,4.999568965517241,19,0,1,1,0,0,71.0,34.14057665128904,1.0359292358198067,0,0.5740444178161281,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
17947,2022-04-12 17:00:00,atr_breakdown,17948,2022-04-12 18:00:00,14198.25,3,40.440341428762586,35.39438275055727,1.343308395677473,-2.311401715675992,-0.1337219988108322,-0.030854079158556202,97.875,43.76153546398921,-0.006802721088435382,-0.0019506194534750776,-0.005950922392970903,136.5,96.5,1.7142857142857142,1.9856022674358118,-0.1583652618135377,2.8454661558109833,-3.260694168858953,0.001051069858724385,0.008537002254023924,9.352663857394954e-05,0.004494927797959936,1.0523627075351214,2.8454661558109833,17,1,1,1,0,1,96.0,50.80962809696115,1.2977357215275431,0,0.5192641792618674,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
17964,2022-04-13 11:00:00,atr_breakdown,17965,2022-04-13 12:00:00,14173.25,4,45.40584850438225,43.10461942738068,1.1459222380275011,-1.545045128284534,-0.17265845838276422,-0.02363004997035656,44.982142857142854,43.9809828627602,-0.004512571990448078,-0.008082999457634243,-0.0024457191117992494,91.75,64.75,1.4843276036400403,0.6906505146464432,-0.277888050813815,2.623263199682414,-5.666202800970887,0.000172331346234215,0.0036086860629366666,5.444939674838223e-05,0.0046956805839203355,2.2397776895593493,6.741564112743153,11,2,0,1,0,0,55.5,50.07417338360498,0.8320839580209894,0,0.5658777677538948,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
17988,2022-04-14 12:00:00,atr_breakdown,17989,2022-04-14 13:00:00,14381.5,5,40.12291470267476,36.08696628097213,1.3594589908097798,-2.501683436736759,-0.22431500123530457,-0.02990445037445122,35.410714285714285,50.09131651254235,-0.000798985635627858,-0.005101864342291873,0.014675015433459837,53.25,11.75,1.2652212652212653,1.441919446703028,-0.056480080685829555,2.1321230458900655,-0.9973951879997028,-0.0008427194058048074,0.000470935588052684,0.000454574043097164,0.002331181759523894,7.547150781643974,3.02874432677761,12,3,0,1,0,1,53.75,52.10274875262996,1.1981053218166622,0,0.5893987698604897,1,2020-01-01,2022-03-01,2022-03-01,2022-05-01
