group,count,pct_of_sample,mean_fwd_1d,median_fwd_1d,hitrate_fwd_1d,mean_fwd_3d,median_fwd_3d,hitrate_fwd_3d,mean_fwd_5d,median_fwd_5d,hitrate_fwd_5d,mean_fwd_10d,median_fwd_10d,hitrate_fwd_10d,mean_fwd_20d,median_fwd_20d,hitrate_fwd_20d
above_ema,1734,73.66185216652507,0.0006490027509469368,0.0008446097723147084,54.645124062319674,0.0019309856711609314,0.002911718791110518,58.4055459272097,0.0031751798897184276,0.004527031240256996,58.41526894158473,0.006631156923461746,0.008504687370104236,63.341067285382834,0.011821866791196702,0.01837579980694326,67.85297549591598
below_ema,619,26.295666949872558,0.0007459450218144541,0.0005048398779603502,51.21163166397415,0.002037311528745079,0.0038476933207658437,54.76575121163167,0.003447278122215285,0.003900650108351389,54.60420032310178,0.006225927544191673,0.009982282528844921,55.896607431340875,0.01680746615530462,0.020396098137747565,59.77382875605816
above_ema_rising,1658,70.43330501274426,0.0006474054791305067,0.0009277591269498675,55.159927579963785,0.0017659195878457412,0.002777076495834363,58.24773413897281,0.0028937409611346364,0.004216715990638109,57.955232909860854,0.006085923850355048,0.00839222581313237,63.04611650485437,0.011261070593507087,0.017678953788490492,67.58241758241759
above_ema_falling,76,3.228547153780799,0.0006838274798919954,-0.0005358296174565735,43.42105263157895,0.005525516827564083,0.0071239122493692575,61.8421052631579,0.009296476586415876,0.008904739847939824,68.42105263157895,0.018454105666617513,0.018008236293690527,69.73684210526315,0.023908500630875497,0.037425032686512094,73.68421052631578
below_ema_falling,512,21.75021240441801,0.0006468266323228482,0.00026615457522483066,50.5859375,0.0017208305984770275,0.0032008340669106294,53.90625,0.003054230155250328,0.0033776409445246403,54.1015625,0.007221243982617237,0.0099029970038923,55.859375,0.019401279398208113,0.020862066607257757,59.5703125
below_ema_rising,98,4.163126593033136,0.0015796209095634568,0.0024537289854923428,55.10204081632652,0.0045052762929517955,0.00824505943571019,62.244897959183675,0.006814551455148411,0.007535099607952733,61.224489795918366,0.0033543545521922753,0.017125782633372055,60.204081632653065,0.009624965265569697,0.024020430134822468,66.3265306122449
above_ema_1.0pct,1594,67.71452846219202,0.000475406523643199,0.000745703977453438,54.23728813559322,0.0017482196554277048,0.002777076495834363,58.139534883720934,0.0029580904857745,0.004295306176247182,58.14977973568281,0.00599565934581294,0.008160175824372229,62.62626262626263,0.011072945500237926,0.017655248540093926,67.5984752223634
below_ema_1.0pct,521,22.13254035683942,0.0008065205553671472,0.0008627268805787569,51.439539347408825,0.0020566002819540842,0.0036137985152451257,54.510556621881,0.00307060994157374,0.0032906576173581392,53.550863723608444,0.006009649702479109,0.007958595282905545,55.27831094049904,0.017064105568038977,0.02058108729446273,59.11708253358925
above_rising_1.0pct,1554,66.01529311809685,0.00045749363796448745,0.0008277876968023623,54.60399227301996,0.0016109043392257608,0.002728777418248507,58.027079303675045,0.0027446885399939375,0.004026857866494149,57.650096836668816,0.00568445158369832,0.007975329894273298,62.5,0.010861022293945765,0.017353412769203436,67.40547588005215
above_rising,1658,70.43330501274426,0.0006474054791305067,0.0009277591269498675,55.159927579963785,0.0017659195878457412,0.002777076495834363,58.24773413897281,0.0028937409611346364,0.004216715990638109,57.955232909860854,0.006085923850355048,0.00839222581313237,63.04611650485437,0.011261070593507087,0.017678953788490492,67.58241758241759
below_falling,512,21.75021240441801,0.0006468266323228482,0.00026615457522483066,50.5859375,0.0017208305984770275,0.0032008340669106294,53.90625,0.003054230155250328,0.0033776409445246403,54.1015625,0.007221243982617237,0.0099029970038923,55.859375,0.019401279398208113,0.020862066607257757,59.5703125
