count,stop,target,target_hit_rate,stop_hit_rate,ambiguous_both_hit_rate,screening_score
15,80,100,1.0,0.6666666666666666,0.6666666666666666,33.33333333333333
15,80,120,1.0,0.6666666666666666,0.6666666666666666,40.0
15,80,150,1.0,0.6666666666666666,0.6666666666666666,50.0
15,80,180,1.0,0.6666666666666666,0.6666666666666666,60.0
15,80,200,1.0,0.6666666666666666,0.6666666666666666,66.66666666666666
15,80,250,1.0,0.6666666666666666,0.6666666666666666,83.33333333333333
15,80,300,0.8666666666666667,0.6666666666666666,0.5333333333333333,89.33333333333333
15,80,350,0.8666666666666667,0.6666666666666666,0.5333333333333333,105.99999999999999
15,80,400,0.8666666666666667,0.6666666666666666,0.5333333333333333,122.66666666666664
15,80,500,0.7333333333333333,0.6666666666666666,0.4666666666666667,151.81
15,80,600,0.4666666666666667,0.6666666666666666,0.26666666666666666,156.95333333333332
15,100,100,1.0,0.6666666666666666,0.6666666666666666,33.33333333333333
15,100,120,1.0,0.6666666666666666,0.6666666666666666,40.0
15,100,150,1.0,0.6666666666666666,0.6666666666666666,50.0
15,100,180,1.0,0.6666666666666666,0.6666666666666666,60.0
15,100,200,1.0,0.6666666666666666,0.6666666666666666,66.66666666666666
15,100,250,1.0,0.6666666666666666,0.6666666666666666,83.33333333333333
15,100,300,0.8666666666666667,0.6666666666666666,0.5333333333333333,86.66666666666667
15,100,350,0.8666666666666667,0.6666666666666666,0.5333333333333333,103.33333333333333
15,100,400,0.8666666666666667,0.6666666666666666,0.5333333333333333,119.99999999999999
15,100,500,0.7333333333333333,0.6666666666666666,0.4666666666666667,147.81
15,100,600,0.4666666666666667,0.6666666666666666,0.26666666666666666,148.95333333333332
15,120,100,1.0,0.6666666666666666,0.6666666666666666,33.33333333333333
15,120,120,1.0,0.6666666666666666,0.6666666666666666,40.0
15,120,150,1.0,0.6666666666666666,0.6666666666666666,50.0
15,120,180,1.0,0.6666666666666666,0.6666666666666666,60.0
15,120,200,1.0,0.6666666666666666,0.6666666666666666,66.66666666666666
15,120,250,1.0,0.6666666666666666,0.6666666666666666,83.33333333333333
15,120,300,0.8666666666666667,0.6666666666666666,0.5333333333333333,84.0
15,120,350,0.8666666666666667,0.6666666666666666,0.5333333333333333,100.66666666666666
15,120,400,0.8666666666666667,0.6666666666666666,0.5333333333333333,117.33333333333331
15,120,500,0.7333333333333333,0.6666666666666666,0.4666666666666667,143.81
15,120,600,0.4666666666666667,0.6666666666666666,0.26666666666666666,140.95333333333332
15,150,100,1.0,0.5333333333333333,0.5333333333333333,46.666666666666664
15,150,120,1.0,0.5333333333333333,0.5333333333333333,56.0
15,150,150,1.0,0.5333333333333333,0.5333333333333333,70.0
15,150,180,1.0,0.5333333333333333,0.5333333333333333,84.0
15,150,200,1.0,0.5333333333333333,0.5333333333333333,93.33333333333333
15,150,250,1.0,0.5333333333333333,0.5333333333333333,116.66666666666667
15,150,300,0.8666666666666667,0.5333333333333333,0.4666666666666667,144.47666666666666
15,150,350,0.8666666666666667,0.5333333333333333,0.4666666666666667,164.47666666666666
15,150,400,0.8666666666666667,0.5333333333333333,0.4666666666666667,184.47666666666666
15,150,500,0.7333333333333333,0.5333333333333333,0.4,215.62
15,150,600,0.4666666666666667,0.5333333333333333,0.26666666666666666,217.90666666666667
15,180,100,1.0,0.4,0.4,60.0
15,180,120,1.0,0.4,0.4,72.0
15,180,150,1.0,0.4,0.4,90.0
15,180,180,1.0,0.4,0.4,108.0
15,180,200,1.0,0.4,0.4,120.0
15,180,250,1.0,0.4,0.4,150.0
15,180,300,0.8666666666666667,0.4,0.3333333333333333,182.47666666666666
15,180,350,0.8666666666666667,0.4,0.3333333333333333,209.14333333333332
15,180,400,0.8666666666666667,0.4,0.3333333333333333,235.81
15,180,500,0.7333333333333333,0.4,0.26666666666666666,278.2866666666667
15,180,600,0.4666666666666667,0.4,0.13333333333333333,289.90666666666664
15,200,100,1.0,0.4,0.4,60.0
15,200,120,1.0,0.4,0.4,72.0
15,200,150,1.0,0.4,0.4,90.0
15,200,180,1.0,0.4,0.4,108.0
15,200,200,1.0,0.4,0.4,120.0
15,200,250,1.0,0.4,0.4,150.0
15,200,300,0.8666666666666667,0.4,0.3333333333333333,181.14333333333332
15,200,350,0.8666666666666667,0.4,0.3333333333333333,207.80999999999997
15,200,400,0.8666666666666667,0.4,0.3333333333333333,234.47666666666666
15,200,500,0.7333333333333333,0.4,0.26666666666666666,275.62
15,200,600,0.4666666666666667,0.4,0.13333333333333333,284.5733333333333
15,220,100,1.0,0.4,0.4,60.0
15,220,120,1.0,0.4,0.4,72.0
15,220,150,1.0,0.4,0.4,90.0
15,220,180,1.0,0.4,0.4,108.0
15,220,200,1.0,0.4,0.4,120.0
15,220,250,1.0,0.4,0.4,150.0
15,220,300,0.8666666666666667,0.4,0.3333333333333333,179.81
15,220,350,0.8666666666666667,0.4,0.3333333333333333,206.47666666666666
15,220,400,0.8666666666666667,0.4,0.3333333333333333,233.14333333333335
15,220,500,0.7333333333333333,0.4,0.26666666666666666,272.9533333333333
15,220,600,0.4666666666666667,0.4,0.13333333333333333,279.24
15,250,100,1.0,0.4,0.4,60.0
15,250,120,1.0,0.4,0.4,72.0
15,250,150,1.0,0.4,0.4,90.0
15,250,180,1.0,0.4,0.4,108.0
15,250,200,1.0,0.4,0.4,120.0
15,250,250,1.0,0.4,0.4,150.0
15,250,300,0.8666666666666667,0.4,0.3333333333333333,177.81
15,250,350,0.8666666666666667,0.4,0.3333333333333333,204.47666666666666
15,250,400,0.8666666666666667,0.4,0.3333333333333333,231.14333333333335
15,250,500,0.7333333333333333,0.4,0.26666666666666666,268.9533333333333
15,250,600,0.4666666666666667,0.4,0.13333333333333333,271.24
15,300,100,1.0,0.4,0.4,60.0
15,300,120,1.0,0.4,0.4,72.0
15,300,150,1.0,0.4,0.4,90.0
15,300,180,1.0,0.4,0.4,108.0
15,300,200,1.0,0.4,0.4,120.0
15,300,250,1.0,0.4,0.4,150.0
15,300,300,0.8666666666666667,0.4,0.3333333333333333,174.47666666666666
