strategy,year,trades,win_rate_pct,avg_return_pct,avg_r,profit_factor,total_return_pct,sharpe,max_drawdown_pct,avg_bars_held
raw_oos_all,2022,237,42.19409282700422,0.006767274635611978,0.05666416530078897,1.0229610108703748,1.1170409503916234,0.1660226156755006,-8.685103413259366,3.6582278481012658
raw_oos_all,2023,15,53.333333333333336,0.14741602825348568,0.3333333333333356,1.6743080818826084,2.2074955108870364,3.82540755935103,-2.100358582766415,3.8666666666666667
rf_ge_0.50,2022,84,47.61904761904761,0.10581883408659347,0.19558818067008346,1.3762256345065145,9.049431299426235,2.297833920553349,-3.683095418070248,3.8333333333333335
rf_ge_0.50,2023,6,66.66666666666666,0.2808185166370547,0.6666666666666713,2.526166767646274,1.6859020744333986,6.8033710310143505,-0.6282391299058276,1.6666666666666667
rf_ge_0.55,2022,49,46.93877551020408,0.1261217245661641,0.18223279951605986,1.4091461073988973,6.205006204184094,2.4788299400960767,-5.866408732958162,4.673469387755102
rf_ge_0.55,2023,3,100.0,0.7545487323230201,1.500000000000007,,2.2806945431144365,138.92210705522263,0.0,1.6666666666666667
rf_ge_0.60,2022,29,44.827586206896555,0.10381931948844568,0.13549679918231225,1.324570686394016,2.959324528320262,2.020538235506198,-4.8347319874271655,4.068965517241379
