strategy,trades,win_rate_pct,avg_return_pct,avg_r,profit_factor,total_return_pct,sharpe,max_drawdown_pct,avg_bars_held,trades_per_year
raw_oos_all,252,42.857142857142854,0.015139224255723503,0.07313256815986911,1.0521685042312563,3.3491950901133327,0.372767093432578,-8.685103413259366,3.6706349206349205,126.0
rf_ge_0.50,90,48.888888888888886,0.11748547958995752,0.22699341306985604,1.4275617159838005,10.88789792386109,2.575335892508521,-3.683095418070248,3.688888888888889,45.0
rf_ge_0.55,52,50.0,0.16237712885982886,0.2582578303132107,1.5590113743364995,8.627217985197277,3.2317629682286464,-5.866408732958162,4.5,26.0
rf_ge_0.60,29,44.827586206896555,0.10381931948844568,0.13549679918231225,1.324570686394016,2.959324528320262,2.020538235506198,-4.8347319874271655,4.068965517241379,29.0
