atr_col,rsi_min,atr_max,score_avg_final_move,count,avg_favorable,median_favorable,p60_favorable,p70_favorable,p80_favorable,p90_favorable,avg_adverse,median_adverse,p60_adverse,p70_adverse,p80_adverse,p90_adverse,avg_final_move,median_final_move,hit_100,hit_150,hit_200,hit_250,hit_300
d_atr7,50,150,,0,,,,,,,,,,,,,,,,,,,
d_atr7,50,175,,0,,,,,,,,,,,,,,,,,,,
d_atr7,50,200,,0,,,,,,,,,,,,,,,,,,,
d_atr7,50,225,,0,,,,,,,,,,,,,,,,,,,
d_atr7,50,250,,0,,,,,,,,,,,,,,,,,,,
d_atr7,50,275,,0,,,,,,,,,,,,,,,,,,,
d_atr7,50,300,,2,175.625,175.625,183.1,190.575,198.05,205.525,245.625,245.625,253.1,260.575,268.05,275.525,61.75,61.75,1.0,0.5,0.5,0.0,0.0
d_atr7,50,325,,9,128.94444444444446,138.25,146.45,150.75,176.55,232.3,398.94444444444446,352.75,473.95,546.85,588.85,609.65,-85.44444444444444,-41.0,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111
d_atr7,50,350,,10,148.95,143.375,150.0,170.475,232.3,311.45,366.925,336.25,413.3499999999999,525.55,582.05,609.45,-50.6,-24.625,0.7,0.4,0.3,0.2,0.2
d_atr7,50,375,111.01851851851852,27,368.18518518518516,280.5,321.2,543.05,740.6,803.85,296.75,247.25,305.05,372.05,555.45,610.05,111.01851851851852,-8.25,0.8518518518518519,0.6666666666666666,0.6296296296296297,0.5925925925925926,0.4444444444444444
d_atr7,50,400,83.95588235294117,51,426.40686274509807,398.0,539.75,640.75,711.5,795.75,334.8627450980392,290.25,371.5,471.75,579.0,674.75,83.95588235294117,24.75,0.8431372549019608,0.7254901960784313,0.7058823529411765,0.6666666666666666,0.5882352941176471
d_atr7,50,425,189.80882352941177,68,491.6360294117647,548.0,636.75,699.75,755.05,857.45,314.8529411764706,278.0,334.59999999999997,395.375,542.6500000000001,638.7000000000003,189.80882352941177,289.375,0.8676470588235294,0.7794117647058824,0.7647058823529411,0.7352941176470589,0.6764705882352942
d_atr7,50,450,144.6548913043478,92,476.9021739130435,469.875,604.6500000000001,676.05,756.4,891.5250000000002,350.1358695652174,314.375,400.25,516.925,582.0,715.2500000000002,144.6548913043478,27.125,0.9021739130434783,0.8260869565217391,0.782608695652174,0.6956521739130435,0.5978260869565217
d_atr7,50,475,148.609375,96,473.0755208333333,469.875,590.25,672.125,751.0,879.625,359.5911458333333,314.375,402.75,521.375,591.75,753.5,148.609375,29.625,0.90625,0.8229166666666666,0.7708333333333334,0.6875,0.59375
d_atr7,50,500,175.82619047619048,105,476.4809523809524,474.5,586.8,660.9,743.4,864.35,338.8285714285714,283.0,372.6,502.75,579.75,732.8000000000002,175.82619047619048,102.0,0.9142857142857143,0.8380952380952381,0.7904761904761904,0.7142857142857143,0.6190476190476191
d_atr7,50,525,182.95945945945945,111,476.7927927927928,496.25,580.0,646.5,733.0,863.75,339.0990990990991,290.25,374.25,480.25,575.25,719.75,182.95945945945945,263.0,0.918918918918919,0.8468468468468469,0.8018018018018018,0.7297297297297297,0.6306306306306306
d_atr7,50,550,186.078125,112,477.97767857142856,499.5,582.6999999999999,646.05,732.9,862.85,339.18080357142856,294.5,373.15,477.69999999999993,573.8500000000001,715.2500000000002,186.078125,289.375,0.9196428571428571,0.8482142857142857,0.8035714285714286,0.7321428571428571,0.6339285714285714
d_atr7,50,575,186.078125,112,477.97767857142856,499.5,582.6999999999999,646.05,732.9,862.85,339.18080357142856,294.5,373.15,477.69999999999993,573.8500000000001,715.2500000000002,186.078125,289.375,0.9196428571428571,0.8482142857142857,0.8035714285714286,0.7321428571428571,0.6339285714285714
d_atr7,50,600,186.078125,112,477.97767857142856,499.5,582.6999999999999,646.05,732.9,862.85,339.18080357142856,294.5,373.15,477.69999999999993,573.8500000000001,715.2500000000002,186.078125,289.375,0.9196428571428571,0.8482142857142857,0.8035714285714286,0.7321428571428571,0.6339285714285714
d_atr7,50,625,186.078125,112,477.97767857142856,499.5,582.6999999999999,646.05,732.9,862.85,339.18080357142856,294.5,373.15,477.69999999999993,573.8500000000001,715.2500000000002,186.078125,289.375,0.9196428571428571,0.8482142857142857,0.8035714285714286,0.7321428571428571,0.6339285714285714
d_atr7,50,650,186.078125,112,477.97767857142856,499.5,582.6999999999999,646.05,732.9,862.85,339.18080357142856,294.5,373.15,477.69999999999993,573.8500000000001,715.2500000000002,186.078125,289.375,0.9196428571428571,0.8482142857142857,0.8035714285714286,0.7321428571428571,0.6339285714285714
d_atr7,50,675,186.078125,112,477.97767857142856,499.5,582.6999999999999,646.05,732.9,862.85,339.18080357142856,294.5,373.15,477.69999999999993,573.8500000000001,715.2500000000002,186.078125,289.375,0.9196428571428571,0.8482142857142857,0.8035714285714286,0.7321428571428571,0.6339285714285714
d_atr7,50,700,186.078125,112,477.97767857142856,499.5,582.6999999999999,646.05,732.9,862.85,339.18080357142856,294.5,373.15,477.69999999999993,573.8500000000001,715.2500000000002,186.078125,289.375,0.9196428571428571,0.8482142857142857,0.8035714285714286,0.7321428571428571,0.6339285714285714
d_atr7,52,150,,0,,,,,,,,,,,,,,,,,,,
d_atr7,52,175,,0,,,,,,,,,,,,,,,,,,,
d_atr7,52,200,,0,,,,,,,,,,,,,,,,,,,
d_atr7,52,225,,0,,,,,,,,,,,,,,,,,,,
d_atr7,52,250,,0,,,,,,,,,,,,,,,,,,,
d_atr7,52,275,,0,,,,,,,,,,,,,,,,,,,
d_atr7,52,300,,2,175.625,175.625,183.1,190.575,198.05,205.525,245.625,245.625,253.1,260.575,268.05,275.525,61.75,61.75,1.0,0.5,0.5,0.0,0.0
