rsi_lo,rsi_hi,st_period,st_mult,direction,stop_mult,tp_mode,tp_param,n_trades,win_rate,expectancy,profit_factor,median_rr,total_usd
50,60,10,3.0,1,1.0,trailing_st,0.0,31,0.6451612903225806,226.2213842041956,4.090697288087257,0.28644318423941545,7012.862910330064
50,60,10,3.0,1,1.5,trailing_st,0.0,31,0.6451612903225806,226.2213842041956,4.090697288087257,0.28644318423941545,7012.862910330064
50,60,10,3.0,1,2.0,trailing_st,0.0,31,0.6451612903225806,226.2213842041956,4.090697288087257,0.28644318423941545,7012.862910330064
55,65,14,3.0,1,1.0,trailing_st,0.0,30,0.6666666666666666,180.43349438059602,3.094517641997473,0.09855718610310255,5413.00483141788
55,65,14,3.0,1,1.5,trailing_st,0.0,30,0.6666666666666666,180.43349438059602,3.094517641997473,0.09855718610310255,5413.00483141788
55,65,14,3.0,1,2.0,trailing_st,0.0,30,0.6666666666666666,180.43349438059602,3.094517641997473,0.09855718610310255,5413.00483141788
50,60,14,2.5,1,1.0,trailing_st,0.0,34,0.6470588235294118,175.99143720782104,3.1914090220189077,0.20210466770324176,5983.708865065915
50,60,14,2.5,1,1.5,trailing_st,0.0,34,0.6470588235294118,175.99143720782104,3.1914090220189077,0.20210466770324176,5983.708865065915
50,60,14,2.5,1,2.0,trailing_st,0.0,34,0.6470588235294118,175.99143720782104,3.1914090220189077,0.20210466770324176,5983.708865065915
50,60,10,2.5,1,1.0,trailing_st,0.0,33,0.5757575757575758,142.96356454500113,2.5312808081282383,0.09805336345558106,4717.797629985037
50,60,10,2.5,1,1.5,trailing_st,0.0,33,0.5757575757575758,142.96356454500113,2.5312808081282383,0.09805336345558106,4717.797629985037
50,60,10,2.5,1,2.0,trailing_st,0.0,33,0.5757575757575758,142.96356454500113,2.5312808081282383,0.09805336345558106,4717.797629985037
55,65,14,2.5,1,1.0,trailing_st,0.0,38,0.6842105263157895,127.96724902501573,2.5502614334665274,0.19144803838007624,4862.755462950598
55,65,14,2.5,1,1.5,trailing_st,0.0,38,0.6842105263157895,127.96724902501573,2.5502614334665274,0.19144803838007624,4862.755462950598
55,65,14,2.5,1,2.0,trailing_st,0.0,38,0.6842105263157895,127.96724902501573,2.5502614334665274,0.19144803838007624,4862.755462950598
55,65,10,2.5,1,1.0,trailing_st,0.0,38,0.5526315789473685,98.88353410605623,1.9215188117582311,0.08773718905471513,3757.574296030137
55,65,10,2.5,1,1.5,trailing_st,0.0,38,0.5526315789473685,98.88353410605623,1.9215188117582311,0.08773718905471513,3757.574296030137
55,65,10,2.5,1,2.0,trailing_st,0.0,38,0.5526315789473685,98.88353410605623,1.9215188117582311,0.08773718905471513,3757.574296030137
55,65,14,3.0,1,1.0,fixed_rr,2.5,30,0.5666666666666667,65.07953225765344,1.238448017581278,0.49920237473726414,1952.3859677296032
55,65,14,3.0,1,1.5,fixed_rr,2.5,30,0.5666666666666667,65.07953225765344,1.238448017581278,0.49920237473726414,1952.3859677296032
