model,fold,feature,importance_mean,importance_std
daily_dip,3,h1_upper_wick_ratio,0.019318181818181818,0.022925273865718188
daily_dip,3,h1_lower_wick_ratio,-0.028409090909090884,0.0651504140146553
daily_dip,3,h1_down_bars_last_3,-0.005681818181818218,0.004401117438872093
daily_dip,3,h1_down_bars_last_5,-0.0022727272727272874,0.006013071161510473
daily_dip,3,h1_pullback_depth_atr,-0.017045454545454558,0.010599294378510003
daily_dip,3,h1_fast_minus_slow_atr,0.020454545454545447,0.007537783614444047
daily_dip,3,d1_ema50_slope_5,0.0,0.0
daily_dip,3,d1_ema100_slope_5,0.0,0.0
daily_dip,3,close_above_d_50,0.0,0.0
daily_dip,3,close_above_d_100,0.0,0.0
daily_dip,3,close_above_d_200,0.0,0.0
daily_dip,3,dist_prev_day_high,0.0022727272727272735,0.009906588508047027
daily_dip,3,dist_prev_day_low,0.003409090909090917,0.006327004957761397
daily_dip,3,dist_prev_day_close,0.01249999999999997,0.020296103522149705
daily_dip,3,bars_since_20bar_high,0.07386363636363635,0.04370201027961229
combined,1,setup_type_code,0.0,0.0
combined,1,d1_rsi_14,0.0029296875,0.0037822102990306807
combined,1,d1_atr_ratio,-0.0283203125,0.03147804972907461
combined,1,d1_trigger_bar_size,0.0009765625,0.012000200905707527
combined,1,d1_trigger_close_pos,-0.0244140625,0.01065303917444894
combined,1,d1_consec_red,0.0,0.0
combined,1,d1_consec_green,0.0,0.0
combined,1,d1_price_vs_slow_ma,-0.0009765625,0.004683429221985077
combined,1,d1_ma_band_width,0.0,0.0
combined,1,d1_day_of_week,0.0,0.0
combined,1,h1_body_ratio,-0.001953125,0.010874539771152386
combined,1,h1_atr_vs_d1,0.001953125,0.01014873520059889
combined,1,h1_hour_gmt,0.01171875,0.00390625
combined,1,h1_above_trigger,0.0,0.0
combined,1,h1_rsi_7,-0.0419921875,0.024374968699899774
combined,1,h1_rsi_14,-0.017578125,0.022693261794184082
combined,1,h1_atr_14,0.037109375,0.012197261715621872
combined,1,h1_atr_pct_60,0.0009765625,0.006098630857810936
combined,1,h1_close_location,-0.01953125,0.016105881350068987
combined,1,h1_upper_wick_ratio,-0.0009765625,0.007242381335054358
combined,1,h1_lower_wick_ratio,-0.001953125,0.005167483029423029
combined,1,h1_down_bars_last_3,0.0,0.0
combined,1,h1_down_bars_last_5,0.0009765625,0.004683429221985077
combined,1,h1_pullback_depth_atr,-0.076171875,0.06897048274613116
combined,1,h1_fast_minus_slow_atr,-0.0322265625,0.013776109355142466
combined,1,d1_ema50_slope_5,0.00390625,0.014615849167085708
combined,1,d1_ema100_slope_5,-0.0087890625,0.006098630857810936
combined,1,close_above_d_50,0.0,0.0
combined,1,close_above_d_100,0.0,0.0
