time,setup_type,d1_rsi_14,d1_atr_ratio,d1_trigger_bar_size,d1_trigger_close_pos,d1_consec_red,d1_consec_green,d1_price_vs_slow_ma,d1_ma_band_width,d1_day_of_week,h1_body_ratio,h1_atr_vs_d1,h1_hour_gmt,h1_above_trigger,h1_rsi_7,h1_rsi_14,h1_atr_14,h1_atr_pct_60,h1_close_location,h1_upper_wick_ratio,h1_lower_wick_ratio,h1_down_bars_last_3,h1_down_bars_last_5,h1_pullback_depth_atr,h1_fast_minus_slow_atr,d1_ema50_slope_5,d1_ema100_slope_5,close_above_d_50,close_above_d_100,close_above_d_200,dist_prev_day_high,dist_prev_day_low,dist_prev_day_close,bars_since_20bar_high,label,entry,stop,target,mae_r,mfe_r,exit_r,bars_held,setup_type_code
2020-11-09 14:00:00+00:00,daily_dip,56.37993852792669,1.1860607186048528,2.205924613587222,0.07097858042839143,1,0,6.61666644914893,1.1160695264251403,0,0.2855093256814921,0.3942055766648224,14,0.0,31.22618286811189,43.653042160571005,106.37302293306928,1.0,0.40028694404591103,0.31420373027259685,0.40028694404591103,2.0,3.0,2.777959973798346,4.05908215646475,22.124774246515152,16.82258739628305,1,1,1,-0.5410583680533128,-0.03520585271579774,-0.4474849174139556,10.0,0,12048.25,11888.690465600395,12367.36906879921,-3.8183240023387124,0.9306870978207613,-1.0,6,1
2020-11-09 16:00:00+00:00,daily_dip,56.37993852792669,1.1860607186048528,2.205924613587222,0.07097858042839143,1,0,6.61666644914893,1.1160695264251403,0,0.4209354120267261,0.4074678668180857,16,0.0,35.26409552932998,44.417767024678085,109.95173916167708,1.0,0.34521158129175944,0.23385300668151449,0.34521158129175944,2.0,3.0,2.4669914461393287,3.905015530696124,22.124774246515152,16.82258739628305,1,1,1,-0.5364260190117603,-0.03057350367424541,-0.4428525683724032,12.0,0,12050.25,11885.322391257485,12380.10521748503,-3.706171481296884,0.1925087027094905,-1.0,4,1
2020-11-09 18:00:00+00:00,daily_dip,56.37993852792669,1.1860607186048528,2.205924613587222,0.07097858042839143,1,0,6.61666644914893,1.1160695264251403,0,0.441340782122905,0.3929100584507503,18,0.0,31.484637385339255,41.83313383413104,106.023438358793,0.9333333333333333,0.24860335195530725,0.3100558659217877,0.24860335195530725,2.0,3.0,2.8885122454114533,4.00206079670808,22.124774246515152,16.82258739628305,1,1,1,-0.6661317921752258,-0.1602792768377108,-0.5725583415358686,14.0,0,12014.25,11855.21484246181,12332.32031507638,-3.6171247220091045,0.058163239771550135,-1.0,2,1
2020-11-09 19:00:00+00:00,daily_dip,56.37993852792669,1.1860607186048528,2.205924613587222,0.07097858042839143,1,0,6.61666644914893,1.1160695264251403,0,0.6209150326797386,0.39522002870530415,19,0.0,24.612690437798577,36.97117799214641,106.64676419030779,0.95,0.2984749455337691,0.08061002178649238,0.2984749455337691,2.0,3.0,3.5444113365265437,3.927831303092221,22.124774246515152,16.82258739628305,1,1,1,-0.9320286271603297,-0.42617611182281484,-0.8384551765209727,15.0,0,11943.25,11783.279853714539,12263.190292570922,-3.1521506462848645,0.24223269716120674,-1.0,1,1
2020-11-09 20:00:00+00:00,daily_dip,56.37993852792669,1.1860607186048528,2.205924613587222,0.07097858042839143,1,0,6.61666644914893,1.1160695264251403,0,0.7909967845659164,0.42873262173732996,20,0.0,14.881578307112107,27.978558461444962,115.68985246242866,1.0,0.04287245444801715,0.16613076098606644,0.04287245444801715,3.0,4.0,4.859976808965124,3.5244787096162495,22.124774246515152,16.82258739628305,1,1,1,-1.614836875885144,-1.108984360547629,-1.5212634252457868,16.0,0,11758.75,11585.215221306356,12105.819557387287,-1.8425701315151537,0.8773457467495924,-1.0,13,1
2020-11-09 23:00:00+00:00,daily_dip,56.37993852792669,1.1860607186048528,2.205924613587222,0.07097858042839143,1,0,6.61666644914893,1.1160695264251403,0,0.16097560975609757,0.3972775344599076,23,0.0,21.535747314623592,31.206044260884497,107.20196462321655,0.9166666666666666,0.0975609756097561,0.7414634146341463,0.0975609756097561,2.0,4.0,4.120726719446062,3.6224921527178027,22.124774246515152,16.82258739628305,1,1,1,-1.4953222706130938,-0.9894697552755788,-1.4017488199737365,18.0,0,11791.75,11630.947053065174,12113.355893869651,-2.1936787025611624,0.7415908866914773,-1.0,4,1
2023-02-02 21:00:00+00:00,daily_dip,74.23291847369306,0.949529937017682,1.730281905240855,0.36545961002785515,0,3,1.3434336547867427,0.027011822107978315,3,0.5293674698795181,0.3935611993005979,21,0.0,46.32229682456334,54.74786312345096,102.07041271783926,1.0,0.16265060240963855,0.3079819277108434,0.16265060240963855,2.0,2.0,2.5742033661247077,4.87092196955595,29.46536761128518,14.017321346833342,1,1,1,0.43281146264799103,2.379017126537287,0.49354001976786505,0.0,0,12805.75,12652.64438092324,13111.961238153519,-1.8483972156379056,0.9029714313142772,-1.0,10,1
2023-02-02 23:00:00+00:00,daily_dip,74.23291847369306,0.949529937017682,1.730281905240855,0.36545961002785515,0,3,1.3434336547867427,0.027011822107978315,3,0.6971830985915493,0.39478116503430394,23,0.0,45.764547201031306,54.31595287412712,102.38681180942218,1.0,0.09624413145539906,0.20657276995305165,0.09624413145539906,2.0,3.0,2.7811199017508206,4.89286793284391,29.46536761128518,14.017321346833342,1,1,1,0.406784938168045,2.352990602057341,0.467513495287919,1.0,0,12731.0,12577.419782285866,13038.160435428268,-1.3559689073212888,1.386897369793203,-1.0,33,1
2023-02-07 23:00:00+00:00,rsi_2300,72.61953954521834,0.9265669301516688,1.4301310761692152,0.8108484005563282,0,1,1.6939518291609004,0.3012345795433284,1,0.048,0.3395102369283426,23,0.0,62.99522913824104,60.840392993706345,85.34457589906785,0.8166666666666667,0.184,0.816,0.136,1.0,2.0,0.7967700264914283,4.595883749727179,37.10718298996726,19.2087233688977,1,1,1,0.5648918298081462,1.1705593022608944,0.8562884955366442,2.0,0,12817.25,12689.233136151399,13073.283727697202,-3.968227190761251,0.45306530918140264,-1.0,16,2
2024-08-29 19:00:00+00:00,daily_dip,50.90176079799244,1.234131401800052,1.3724297236289462,0.47704590818363274,0,1,4.071240384712445,0.44317009158218656,3,0.05791505791505792,0.277513888071824,19,0.0,34.79234804319158,43.537792969606144,101.30533864885423,1.0,0.42857142857142855,0.5135135135135135,0.42857142857142855,3.0,4.0,2.9564088526284924,0.16304863477126724,5.983660376422631,6.331628098155488,1,1,1,-0.8149657540511207,0.6944330038721315,0.5444519113198664,5.0,0,19611.0,19459.04199202672,19914.91601594656,-3.739519934348693,1.9117123465522137,-1.0,61,1
