model,fold,threshold,auc,base_count,base_expectancy_r,base_winrate,rf_count,rf_expectancy_r,rf_winrate,precision,recall
daily_dip,1,0.5,0.2551020408163266,21,1.0,0.6666666666666666,1,-1.0,0.0,0.0,0.0
daily_dip,1,0.55,0.2551020408163266,21,1.0,0.6666666666666666,0,,,,
daily_dip,1,0.6,0.2551020408163266,21,1.0,0.6666666666666666,0,,,,
daily_dip,1,0.65,0.2551020408163266,21,1.0,0.6666666666666666,0,,,,
daily_dip,2,0.5,0.7884615384615384,21,0.14285714285714285,0.38095238095238093,3,0.0,0.3333333333333333,0.3333333333333333,0.125
daily_dip,2,0.55,0.7884615384615384,21,0.14285714285714285,0.38095238095238093,1,-1.0,0.0,0.0,0.0
daily_dip,2,0.6,0.7884615384615384,21,0.14285714285714285,0.38095238095238093,0,,,,
daily_dip,2,0.65,0.7884615384615384,21,0.14285714285714285,0.38095238095238093,0,,,,
daily_dip,3,0.5,0.7909090909090909,21,0.5714285714285714,0.5238095238095238,0,,,,
daily_dip,3,0.55,0.7909090909090909,21,0.5714285714285714,0.5238095238095238,0,,,,
daily_dip,3,0.6,0.7909090909090909,21,0.5714285714285714,0.5238095238095238,0,,,,
daily_dip,3,0.65,0.7909090909090909,21,0.5714285714285714,0.5238095238095238,0,,,,
combined,1,0.5,0.1875,24,1.0,0.6666666666666666,4,0.5,0.5,0.5,0.125
combined,1,0.55,0.1875,24,1.0,0.6666666666666666,2,0.5,0.5,0.5,0.0625
combined,1,0.6,0.1875,24,1.0,0.6666666666666666,0,,,,
combined,1,0.65,0.1875,24,1.0,0.6666666666666666,0,,,,
combined,2,0.5,0.701388888888889,24,0.5,0.5,6,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666
combined,2,0.55,0.701388888888889,24,0.5,0.5,5,0.2,0.4,0.4,0.16666666666666666
combined,2,0.6,0.701388888888889,24,0.5,0.5,3,0.0,0.3333333333333333,0.3333333333333333,0.08333333333333333
combined,2,0.65,0.701388888888889,24,0.5,0.5,0,,,,
combined,3,0.5,0.6083916083916083,24,0.375,0.4583333333333333,2,0.5,0.5,0.5,0.09090909090909091
combined,3,0.55,0.6083916083916083,24,0.375,0.4583333333333333,0,,,,
combined,3,0.6,0.6083916083916083,24,0.375,0.4583333333333333,0,,,,
combined,3,0.65,0.6083916083916083,24,0.375,0.4583333333333333,0,,,,
