train_start,train_end,test_start,test_end,train_rows,test_rows,test_pos_rate,auc,accuracy
2021-11-01,2022-05-01,2022-05-01,2022-07-01,67,78,0.3974358974358974,0.4742621825669184,0.5256410256410257
2022-01-01,2022-07-01,2022-07-01,2022-09-01,145,27,0.4074074074074074,0.4261363636363636,0.5185185185185185
2022-03-01,2022-09-01,2022-09-01,2022-11-01,101,62,0.3709677419354839,0.6700111482720179,0.6290322580645161
2022-05-01,2022-11-01,2022-11-01,2023-01-01,96,70,0.5,0.5395918367346939,0.5571428571428572
2022-07-01,2023-01-01,2023-01-01,2023-03-01,88,15,0.5333333333333333,0.8571428571428572,0.6
