signal_time,trigger,label,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,bars_held,return_pct,r_multiple,pnl_usd,rf_prob,capital_before,capital_after
2022-05-09 19:00:00,atr_breakdown,0,2022-05-09 20:00:00,12390.0,12501.69642857143,12222.455357142857,2022-05-10 03:00:00,12501.69642857143,stop,7,-0.8934501746191703,-1.000000000000007,-223.3928571428587,0.5902501969268643,5000.0,4776.607142857141
2022-05-11 17:00:00,atr_breakdown,0,2022-05-11 18:00:00,12201.25,12332.232142857143,12004.776785714286,2022-05-11 18:00:00,12332.232142857143,stop,1,-1.0621122059643384,-1.000000000000002,-261.96428571428623,0.6082423298076641,4776.607142857141,4514.642857142855
2022-05-16 13:00:00,atr_breakdown,0,2022-05-16 14:00:00,12441.0,12512.125,12334.3125,2022-05-16 14:00:00,12512.125,stop,1,-0.5684486048532889,-1.0,-142.25,0.5040227180931264,4514.642857142855,4372.392857142855
2022-05-16 14:00:00,atr_breakdown,0,2022-05-16 15:00:00,12402.25,12482.767857142857,12281.473214285714,2022-05-16 15:00:00,12482.767857142857,stop,1,-0.6450320799387677,-0.9999999999999968,-161.03571428571377,0.6454348466669378,4372.392857142855,4211.357142857141
2022-05-17 14:00:00,atr_breakdown,0,2022-05-17 15:00:00,12557.25,12623.285714285714,12458.19642857143,2022-05-17 15:00:00,12623.285714285714,stop,1,-0.5231261953532518,-0.999999999999992,-132.07142857142753,0.548104263354095,4211.357142857141,4079.2857142857138
2022-05-18 11:00:00,atr_breakdown,1,2022-05-18 12:00:00,12608.0,12650.660714285714,12544.00892857143,2022-05-18 13:00:00,12544.00892857143,target,2,0.5101325405056034,1.4999999999999818,127.9821428571413,0.5213847147513063,4079.2857142857138,4207.267857142855
2022-05-18 12:00:00,atr_breakdown,1,2022-05-18 13:00:00,12559.75,12606.625,12489.4375,2022-05-18 13:00:00,12489.4375,target,1,0.5629757144787417,1.5,140.625,0.5412025064644146,4207.267857142855,4347.892857142855
2022-05-18 13:00:00,atr_breakdown,0,2022-05-18 14:00:00,12491.75,12544.82142857143,12412.142857142857,2022-05-18 14:00:00,12544.82142857143,stop,1,-0.4230544760928767,-1.0000000000000147,-106.1428571428587,0.5110337099053568,4347.892857142855,4241.749999999996
2022-05-18 18:00:00,atr_breakdown,1,2022-05-18 19:00:00,12120.75,12204.410714285714,11995.25892857143,2022-05-19 07:00:00,11995.25892857143,target,12,1.046172260022371,1.4999999999999907,250.9821428571413,0.5768352411034822,4241.749999999996,4492.732142857138
2022-05-20 13:00:00,atr_breakdown,1,2022-05-20 14:00:00,12188.75,12244.30357142857,12105.419642857143,2022-05-20 14:00:00,12105.419642857143,target,1,0.6883723125784114,1.4999999999999953,166.66071428571377,0.5843662196791666,4492.732142857138,4659.392857142851
2022-05-20 15:00:00,atr_breakdown,1,2022-05-20 16:00:00,11927.0,11998.07142857143,11820.392857142857,2022-05-20 16:00:00,11820.392857142857,target,1,0.9018917065241494,1.5000000000000038,213.21428571428623,0.6227064416408075,4659.392857142851,4872.607142857138
2022-05-23 08:00:00,atr_breakdown,0,2022-05-23 09:00:00,12091.25,12169.964285714286,11973.17857142857,2022-05-23 13:00:00,12169.964285714286,stop,5,-0.6467914273724285,-1.0000000000000067,-157.42857142857247,0.575967146354734,4872.607142857138,4715.178571428565
2022-05-23 13:00:00,atr_breakdown,0,2022-05-23 14:00:00,12046.25,12118.892857142857,11937.285714285714,2022-05-23 14:00:00,12118.892857142857,stop,1,-0.5994182636909873,-0.9999999999999964,-145.28571428571377,0.6045425565842987,4715.178571428565,4569.892857142851
2022-05-23 22:00:00,atr_breakdown,1,2022-05-23 23:00:00,12076.5,12186.19642857143,11911.955357142857,2022-05-24 13:00:00,11911.955357142857,target,15,1.3813403251085488,1.5000000000000024,329.08928571428623,0.5670312487531238,4569.892857142851,4898.982142857138
2022-05-23 22:00:00,rsi_rollover,1,2022-05-23 23:00:00,12076.5,12186.19642857143,11911.955357142857,2022-05-24 13:00:00,11911.955357142857,target,15,1.3813403251085488,1.5000000000000024,329.08928571428623,0.5670312487531238,4898.982142857138,5228.071428571424
2022-05-24 14:00:00,atr_breakdown,0,2022-05-24 15:00:00,11819.25,11878.482142857143,11730.401785714286,2022-05-24 15:00:00,11878.482142857143,stop,1,-0.4986507715782573,-1.0000000000000044,-118.46428571428623,0.5550026891325769,5228.071428571424,5109.607142857138
2022-05-25 11:00:00,atr_breakdown,0,2022-05-25 12:00:00,11894.0,11946.07142857143,11815.892857142857,2022-05-25 13:00:00,11946.07142857143,stop,2,-0.43588747047744736,-1.000000000000015,-104.1428571428587,0.5231414297510733,5109.607142857138,5005.464285714279
2022-05-30 13:00:00,atr_breakdown,0,2022-05-30 14:00:00,12965.0,13006.410714285714,12902.88392857143,2022-05-30 15:00:00,13006.410714285714,stop,2,-0.31838694929285927,-0.9999999999999875,-82.82142857142753,0.5357113253406003,5005.464285714279,4922.642857142851
2022-05-31 07:00:00,atr_breakdown,0,2022-05-31 08:00:00,12846.75,12909.44642857143,12752.705357142857,2022-05-31 08:00:00,12909.44642857143,stop,1,-0.4856631840747916,-1.0000000000000124,-125.3928571428587,0.5733080083601944,4922.642857142851,4797.249999999993
2022-05-31 12:00:00,atr_breakdown,0,2022-05-31 13:00:00,12799.75,12868.892857142857,12696.035714285714,2022-05-31 13:00:00,12868.892857142857,stop,1,-0.5372867573800622,-0.9999999999999963,-138.28571428571377,0.6356213700192526,4797.249999999993,4658.964285714279
2022-05-31 13:00:00,atr_breakdown,0,2022-05-31 14:00:00,12744.0,12821.339285714286,12627.99107142857,2022-05-31 14:00:00,12821.339285714286,stop,1,-0.6032075432280237,-1.0000000000000069,-154.67857142857247,0.56157468311417,4658.964285714279,4504.2857142857065
2022-06-01 14:00:00,rsi_rollover,1,2022-06-01 15:00:00,12835.25,12904.19642857143,12731.830357142857,2022-06-01 15:00:00,12731.830357142857,target,1,0.8122920268029077,1.5000000000000038,206.83928571428623,0.5325981154463718,4504.2857142857065,4711.124999999993
2022-06-01 15:00:00,atr_breakdown,0,2022-06-01 16:00:00,12702.0,12778.732142857143,12586.901785714286,2022-06-01 18:00:00,12778.732142857143,stop,3,-0.6004675737728338,-1.0000000000000033,-153.46428571428623,0.5123721696290595,4711.124999999993,4557.6607142857065
2022-06-03 10:00:00,atr_breakdown,1,2022-06-03 11:00:00,12967.25,13002.142857142857,12914.910714285714,2022-06-03 12:00:00,12914.910714285714,target,2,0.40526246655652187,1.5000000000000147,104.67857142857247,0.5448612763633685,4557.6607142857065,4662.339285714279
2022-06-03 12:00:00,atr_breakdown,1,2022-06-03 13:00:00,12908.25,12949.80357142857,12845.919642857143,2022-06-03 13:00:00,12845.919642857143,target,1,0.4852152191183512,1.4999999999999938,124.66071428571377,0.5282207580222948,4662.339285714279,4786.999999999993
2022-06-03 15:00:00,atr_breakdown,0,2022-06-03 16:00:00,12740.25,12801.910714285714,12647.75892857143,2022-06-03 16:00:00,12801.910714285714,stop,1,-0.4816524319053883,-0.9999999999999916,-123.32142857142753,0.6040591751931003,4786.999999999993,4663.678571428565
2022-06-06 16:00:00,atr_breakdown,0,2022-06-06 17:00:00,12798.0,12859.32142857143,12706.017857142857,2022-06-06 17:00:00,12859.32142857143,stop,1,-0.47686364254946323,-1.0000000000000127,-122.6428571428587,0.6129571667900516,4663.678571428565,4541.0357142857065
2022-06-07 01:00:00,atr_breakdown,0,2022-06-07 02:00:00,12719.75,12800.285714285714,12598.94642857143,2022-06-07 14:00:00,12800.285714285714,stop,13,-0.6291712238566061,-0.9999999999999934,-161.07142857142753,0.6368341907534989,4541.0357142857065,4379.964285714279
2022-06-09 12:00:00,atr_breakdown,0,2022-06-09 13:00:00,12750.0,12797.214285714286,12679.17857142857,2022-06-09 13:00:00,12797.214285714286,stop,1,-0.36894190141828487,-1.0000000000000109,-94.42857142857247,0.5911084712490825,4379.964285714279,4285.5357142857065
2022-06-09 18:00:00,atr_breakdown,1,2022-06-09 19:00:00,12633.0,12713.732142857143,12511.901785714286,2022-06-09 19:00:00,12511.901785714286,target,1,0.9678641693301904,1.4999999999999936,242.19642857142753,0.5781647061460391,4285.5357142857065,4527.732142857134
2022-06-10 13:00:00,atr_breakdown,1,2022-06-10 14:00:00,12147.25,12214.69642857143,12046.080357142857,2022-06-10 14:00:00,12046.080357142857,target,1,0.8398552878418508,1.500000000000004,202.33928571428623,0.542330675992802,4527.732142857134,4730.07142857142
