time,open,high,low,close,tick_volume,spread,real_volume,segment,segment_start,segment_end
2020-10-13 00:00:00+00:00,12045.25,12185.0,11954.0,12050.75,886484,0,1028169,3,2020-10-13,2020-11-02
2020-10-14 00:00:00+00:00,12051.0,12113.75,11837.75,11897.0,775132,25,940223,3,2020-10-13,2020-11-02
2020-10-15 00:00:00+00:00,11896.5,11904.5,11673.0,11851.5,769154,25,910781,3,2020-10-13,2020-11-02
2020-10-16 00:00:00+00:00,11851.25,11957.75,11728.25,11729.25,619159,0,741369,3,2020-10-13,2020-11-02
2020-10-17 00:00:00+00:00,11729.25,11729.25,11729.25,11729.25,2,0,2,3,2020-10-13,2020-11-02
2020-10-18 00:00:00+00:00,11729.25,11824.75,11729.25,11809.0,17837,0,20500,3,2020-10-13,2020-11-02
2020-10-19 00:00:00+00:00,11808.75,11886.75,11528.0,11651.0,761391,0,899083,3,2020-10-13,2020-11-02
2020-10-20 00:00:00+00:00,11651.25,11728.0,11534.75,11639.75,783237,0,913243,3,2020-10-13,2020-11-02
2020-10-21 00:00:00+00:00,11640.25,11715.25,11517.25,11561.25,790428,0,940698,3,2020-10-13,2020-11-02
2020-10-22 00:00:00+00:00,11561.0,11659.75,11447.0,11600.75,754614,25,894264,3,2020-10-13,2020-11-02
2020-10-23 00:00:00+00:00,11600.25,11627.5,11486.5,11605.5,588979,25,717646,3,2020-10-13,2020-11-02
2020-10-24 00:00:00+00:00,11605.5,11605.5,11605.5,11605.5,2,0,6,3,2020-10-13,2020-11-02
2020-10-25 00:00:00+00:00,11605.5,11605.5,11510.0,11563.25,22804,0,26524,3,2020-10-13,2020-11-02
2020-10-26 00:00:00+00:00,11563.0,11631.75,11279.25,11425.25,773641,0,929388,3,2020-10-13,2020-11-02
2020-10-27 00:00:00+00:00,11425.5,11559.0,11418.75,11473.75,675303,0,800613,3,2020-10-13,2020-11-02
2020-10-28 00:00:00+00:00,11474.25,11502.5,11060.0,11125.25,908147,0,1051602,3,2020-10-13,2020-11-02
2020-10-29 00:00:00+00:00,11125.0,11393.75,11081.0,11150.25,827072,0,958578,3,2020-10-13,2020-11-02
2020-10-30 00:00:00+00:00,11150.0,11217.25,10880.25,11023.25,1189706,0,1342533,3,2020-10-13,2020-11-02
2020-10-31 00:00:00+00:00,11023.25,11023.25,11023.25,11023.25,1,0,1,3,2020-10-13,2020-11-02
2020-11-01 00:00:00+00:00,11023.25,11023.25,10918.0,10935.0,23053,0,26346,3,2020-10-13,2020-11-02
2020-11-02 00:00:00+00:00,10935.25,11148.0,10878.25,11023.75,951024,0,1093617,3,2020-10-13,2020-11-02
2020-11-03 00:00:00+00:00,11024.0,11283.25,11002.25,11254.0,810763,0,932849,3,2020-10-13,2020-11-02
