time,open,high,low,close,tick_volume,spread,real_volume,segment,segment_start,segment_end
2026-01-28 00:00:00+00:00,26138.0,26349.0,25996.25,26170.0,1490159,0,1693039,12,2026-01-28,2026-03-20
2026-01-29 00:00:00+00:00,26169.0,26280.75,25536.0,25972.0,2158030,0,2445422,12,2026-01-28,2026-03-20
2026-01-30 00:00:00+00:00,25971.5,25994.0,25568.75,25638.75,2291690,0,2586013,12,2026-01-28,2026-03-20
2026-01-31 00:00:00+00:00,25638.75,25638.75,25638.75,25638.75,2,50,2,12,2026-01-28,2026-03-20
2026-02-01 00:00:00+00:00,25530.0,25570.75,25373.25,25533.5,74638,0,87692,12,2026-01-28,2026-03-20
2026-02-02 00:00:00+00:00,25532.75,25978.75,25180.25,25948.0,1759112,0,1950586,12,2026-01-28,2026-03-20
2026-02-03 00:00:00+00:00,25948.25,26027.75,25218.0,25427.75,2341770,0,2611419,12,2026-01-28,2026-03-20
2026-02-04 00:00:00+00:00,25427.25,25514.5,24784.0,25067.75,2396724,0,2647339,12,2026-01-28,2026-03-20
2026-02-05 00:00:00+00:00,25068.5,25169.25,24293.75,24335.0,2442442,0,2669417,12,2026-01-28,2026-03-20
2026-02-06 00:00:00+00:00,24335.0,25221.5,24240.5,25107.75,1876725,0,2076423,12,2026-01-28,2026-03-20
2026-02-08 00:00:00+00:00,25150.25,25295.0,25148.0,25275.75,43661,0,49614,12,2026-01-28,2026-03-20
2026-02-09 00:00:00+00:00,25275.25,25429.0,24955.5,25345.0,1475474,0,1655033,12,2026-01-28,2026-03-20
2026-02-10 00:00:00+00:00,25344.5,25447.0,25197.5,25273.25,1674021,0,1915168,12,2026-01-28,2026-03-20
2026-02-11 00:00:00+00:00,25273.25,25465.5,25058.0,25235.0,1874209,0,2210647,12,2026-01-28,2026-03-20
2026-02-12 00:00:00+00:00,25234.5,25420.0,24721.5,24823.25,2145399,0,2475136,12,2026-01-28,2026-03-20
2026-02-13 00:00:00+00:00,24823.0,24995.5,24578.75,24772.75,2221416,0,2479001,12,2026-01-28,2026-03-20
2026-02-14 00:00:00+00:00,24772.75,24772.75,24772.75,24772.75,5,50,5,12,2026-01-28,2026-03-20
2026-02-15 00:00:00+00:00,24789.25,24839.5,24754.25,24836.5,34444,25,39249,12,2026-01-28,2026-03-20
2026-02-16 00:00:00+00:00,24836.25,24922.25,24670.5,24817.5,560782,0,642204,12,2026-01-28,2026-03-20
2026-02-17 00:00:00+00:00,24817.5,24889.5,24449.25,24710.75,2118163,0,2409261,12,2026-01-28,2026-03-20
2026-02-18 00:00:00+00:00,24711.0,25128.5,24707.75,24964.25,1609323,0,1821923,12,2026-01-28,2026-03-20
2026-02-19 00:00:00+00:00,24964.25,25054.25,24748.0,24878.25,1824303,0,2094403,12,2026-01-28,2026-03-20
2026-02-20 00:00:00+00:00,24877.25,25139.75,24677.0,25078.5,1959924,0,2171137,12,2026-01-28,2026-03-20
2026-02-22 00:00:00+00:00,25036.0,25059.25,24935.75,24973.0,46520,25,53575,12,2026-01-28,2026-03-20
