time,open,high,low,close,tick_volume,spread,real_volume,segment,segment_start,segment_end
2020-02-18 00:00:00+00:00,9081.5,9143.25,9012.5,9142.75,214479,0,249810,1,2020-02-18,2020-03-23
2020-02-19 00:00:00+00:00,9142.75,9227.25,9126.0,9223.5,163100,0,192252,1,2020-02-18,2020-03-23
2020-02-20 00:00:00+00:00,9223.25,9241.5,8994.75,9051.25,431423,0,496432,1,2020-02-18,2020-03-23
2020-02-21 00:00:00+00:00,9052.0,9090.5,8890.0,8934.75,385291,0,443857,1,2020-02-18,2020-03-23
2020-02-23 00:00:00+00:00,8934.75,8934.75,8767.5,8788.25,20811,0,25432,1,2020-02-18,2020-03-23
2020-02-24 00:00:00+00:00,8788.5,8802.5,8519.5,8619.25,641675,0,714459,1,2020-02-18,2020-03-23
2020-02-25 00:00:00+00:00,8619.0,8703.0,8288.5,8399.75,762543,0,886090,1,2020-02-18,2020-03-23
2020-02-26 00:00:00+00:00,8400.0,8516.25,8187.75,8310.5,827097,0,928555,1,2020-02-18,2020-03-23
2020-02-27 00:00:00+00:00,8309.75,8331.25,7791.5,7891.0,948984,0,1128600,1,2020-02-18,2020-03-23
2020-02-28 00:00:00+00:00,7892.25,8053.5,7602.75,8026.0,1168724,0,1543488,1,2020-02-18,2020-03-23
2020-03-01 00:00:00+00:00,7854.75,7865.0,7728.25,7833.75,7235,0,9062,1,2020-02-18,2020-03-23
2020-03-02 00:00:00+00:00,7834.5,8361.5,7794.5,8338.0,195449,0,225820,1,2020-02-18,2020-03-23
2020-03-03 00:00:00+00:00,8338.5,8481.5,7985.75,8041.0,204614,0,236942,1,2020-02-18,2020-03-23
2020-03-04 00:00:00+00:00,8039.75,8428.25,8036.75,8360.75,145168,0,161493,1,2020-02-18,2020-03-23
2020-03-05 00:00:00+00:00,8361.75,8365.5,8089.25,8172.5,527970,0,644746,1,2020-02-18,2020-03-23
2020-03-06 00:00:00+00:00,8172.0,8204.5,7790.5,7982.25,714814,0,852125,1,2020-02-18,2020-03-23
2020-03-08 00:00:00+00:00,7896.75,7896.75,7579.75,7593.5,35154,0,42492,1,2020-02-18,2020-03-23
2020-03-09 00:00:00+00:00,7592.75,7718.75,7279.5,7587.5,518460,0,569192,1,2020-02-18,2020-03-23
2020-03-10 00:00:00+00:00,7589.0,7858.5,7410.0,7689.5,909462,0,1001156,1,2020-02-18,2020-03-23
2020-03-11 00:00:00+00:00,7689.5,7728.5,7371.25,7473.5,793901,0,888166,1,2020-02-18,2020-03-23
2020-03-12 00:00:00+00:00,7473.75,7497.25,6537.0,6595.25,949358,0,1064278,1,2020-02-18,2020-03-23
2020-03-13 00:00:00+00:00,6593.0,7458.5,6421.0,7299.5,177905,0,251429,1,2020-02-18,2020-03-23
2020-03-15 00:00:00+00:00,7379.0,7380.75,7034.5,7034.5,2273,0,3120,1,2020-02-18,2020-03-23
2020-03-16 00:00:00+00:00,7034.5,7043.0,6405.25,6639.25,84365,0,119284,1,2020-02-18,2020-03-23
2020-03-17 00:00:00+00:00,6639.5,7028.75,6424.75,6667.0,102847,0,123680,1,2020-02-18,2020-03-23
2020-03-18 00:00:00+00:00,6668.0,6920.0,6307.25,6856.25,69399,0,85346,1,2020-02-18,2020-03-23
2020-03-19 00:00:00+00:00,6859.75,7001.0,6374.75,6702.5,64662,0,74151,1,2020-02-18,2020-03-23
2020-03-20 00:00:00+00:00,6697.75,7127.5,6665.75,6929.5,6026,25,6922,1,2020-02-18,2020-03-23
2020-03-22 00:00:00+00:00,6684.0,6684.0,6383.25,6439.5,6963,0,9119,1,2020-02-18,2020-03-23
2020-03-23 00:00:00+00:00,6440.0,7073.75,6383.25,6838.25,737733,0,925945,1,2020-02-18,2020-03-23
2020-03-24 00:00:00+00:00,6836.0,7388.0,6789.25,7250.75,648956,0,746122,1,2020-02-18,2020-03-23
2020-09-01 00:00:00+00:00,11942.25,12179.0,11941.25,12176.75,614227,0,684038,2,2020-09-01,2020-09-24
2020-09-02 00:00:00+00:00,12176.5,12282.25,11988.5,12238.0,1068626,0,1180959,2,2020-09-01,2020-09-24
2020-09-03 00:00:00+00:00,12237.75,12237.75,11398.5,11417.25,1735857,0,1905682,2,2020-09-01,2020-09-24
2020-09-04 00:00:00+00:00,11417.5,11659.5,10957.5,11356.75,1193140,0,1593388,2,2020-09-01,2020-09-24
2020-09-06 00:00:00+00:00,11347.75,11364.75,11124.25,11233.5,34295,25,40827,2,2020-09-01,2020-09-24
2020-09-07 00:00:00+00:00,11234.5,11401.75,11187.25,11375.75,263331,0,312000,2,2020-09-01,2020-09-24
2020-09-08 00:00:00+00:00,11375.75,11393.5,10751.25,10857.5,1126369,0,1411199,2,2020-09-01,2020-09-24
2020-09-09 00:00:00+00:00,10856.5,11295.0,10853.5,11259.75,827682,0,974595,2,2020-09-01,2020-09-24
2020-09-10 00:00:00+00:00,11260.5,11383.25,10904.0,11019.0,985161,0,1128744,2,2020-09-01,2020-09-24
2020-09-11 00:00:00+00:00,11019.25,11173.0,10753.75,10889.25,561862,0,674183,2,2020-09-01,2020-09-24
2020-09-12 00:00:00+00:00,10889.25,10889.25,10889.25,10889.25,2,0,2,2,2020-09-01,2020-09-24
2020-09-13 00:00:00+00:00,10889.25,11010.75,10889.25,11001.75,9121,25,10983,2,2020-09-01,2020-09-24
2020-09-14 00:00:00+00:00,11002.0,11178.5,10979.5,11114.25,237160,0,280595,2,2020-09-01,2020-09-24
2020-09-15 00:00:00+00:00,11113.75,11311.5,11063.5,11251.5,148131,0,175083,2,2020-09-01,2020-09-24
2020-09-16 00:00:00+00:00,11252.25,11366.25,11053.5,11095.25,122297,0,142641,2,2020-09-01,2020-09-24
2020-09-17 00:00:00+00:00,11098.5,11102.75,10734.25,10901.25,124483,0,139373,2,2020-09-01,2020-09-24
2020-09-18 00:00:00+00:00,10898.25,10995.75,10852.75,10938.0,6703,25,8735,2,2020-09-01,2020-09-24
2020-09-20 00:00:00+00:00,10874.0,10902.0,10788.0,10867.25,26862,25,30880,2,2020-09-01,2020-09-24
2020-09-21 00:00:00+00:00,10867.5,10953.0,10592.75,10948.0,1055397,0,1213169,2,2020-09-01,2020-09-24
2020-09-22 00:00:00+00:00,10948.25,11128.25,10833.25,11056.5,806747,0,913452,2,2020-09-01,2020-09-24
2020-09-23 00:00:00+00:00,11057.0,11158.5,10661.0,10685.0,888697,0,1013752,2,2020-09-01,2020-09-24
2020-09-24 00:00:00+00:00,10685.0,10947.75,10593.75,10888.0,1038823,0,1172712,2,2020-09-01,2020-09-24
2020-09-25 00:00:00+00:00,10886.75,11105.0,10749.75,11071.75,796661,0,873973,2,2020-09-01,2020-09-24
2020-10-13 00:00:00+00:00,12045.25,12185.0,11954.0,12050.75,886484,0,1028169,3,2020-10-13,2020-11-02
2020-10-14 00:00:00+00:00,12051.0,12113.75,11837.75,11897.0,775132,25,940223,3,2020-10-13,2020-11-02
2020-10-15 00:00:00+00:00,11896.5,11904.5,11673.0,11851.5,769154,25,910781,3,2020-10-13,2020-11-02
