time,open,high,low,close,tick_volume,spread,real_volume,segment,segment_start,segment_end
2020-02-18 00:00:00+00:00,9081.5,9143.25,9012.5,9142.75,214479,0,249810,1,2020-02-18,2020-03-23
2020-02-19 00:00:00+00:00,9142.75,9227.25,9126.0,9223.5,163100,0,192252,1,2020-02-18,2020-03-23
2020-02-20 00:00:00+00:00,9223.25,9241.5,8994.75,9051.25,431423,0,496432,1,2020-02-18,2020-03-23
2020-02-21 00:00:00+00:00,9052.0,9090.5,8890.0,8934.75,385291,0,443857,1,2020-02-18,2020-03-23
2020-02-23 00:00:00+00:00,8934.75,8934.75,8767.5,8788.25,20811,0,25432,1,2020-02-18,2020-03-23
2020-02-24 00:00:00+00:00,8788.5,8802.5,8519.5,8619.25,641675,0,714459,1,2020-02-18,2020-03-23
2020-02-25 00:00:00+00:00,8619.0,8703.0,8288.5,8399.75,762543,0,886090,1,2020-02-18,2020-03-23
2020-02-26 00:00:00+00:00,8400.0,8516.25,8187.75,8310.5,827097,0,928555,1,2020-02-18,2020-03-23
2020-02-27 00:00:00+00:00,8309.75,8331.25,7791.5,7891.0,948984,0,1128600,1,2020-02-18,2020-03-23
2020-02-28 00:00:00+00:00,7892.25,8053.5,7602.75,8026.0,1168724,0,1543488,1,2020-02-18,2020-03-23
2020-03-01 00:00:00+00:00,7854.75,7865.0,7728.25,7833.75,7235,0,9062,1,2020-02-18,2020-03-23
2020-03-02 00:00:00+00:00,7834.5,8361.5,7794.5,8338.0,195449,0,225820,1,2020-02-18,2020-03-23
2020-03-03 00:00:00+00:00,8338.5,8481.5,7985.75,8041.0,204614,0,236942,1,2020-02-18,2020-03-23
2020-03-04 00:00:00+00:00,8039.75,8428.25,8036.75,8360.75,145168,0,161493,1,2020-02-18,2020-03-23
2020-03-05 00:00:00+00:00,8361.75,8365.5,8089.25,8172.5,527970,0,644746,1,2020-02-18,2020-03-23
2020-03-06 00:00:00+00:00,8172.0,8204.5,7790.5,7982.25,714814,0,852125,1,2020-02-18,2020-03-23
2020-03-08 00:00:00+00:00,7896.75,7896.75,7579.75,7593.5,35154,0,42492,1,2020-02-18,2020-03-23
2020-03-09 00:00:00+00:00,7592.75,7718.75,7279.5,7587.5,518460,0,569192,1,2020-02-18,2020-03-23
2020-03-10 00:00:00+00:00,7589.0,7858.5,7410.0,7689.5,909462,0,1001156,1,2020-02-18,2020-03-23
2020-03-11 00:00:00+00:00,7689.5,7728.5,7371.25,7473.5,793901,0,888166,1,2020-02-18,2020-03-23
2020-03-12 00:00:00+00:00,7473.75,7497.25,6537.0,6595.25,949358,0,1064278,1,2020-02-18,2020-03-23
2020-03-13 00:00:00+00:00,6593.0,7458.5,6421.0,7299.5,177905,0,251429,1,2020-02-18,2020-03-23
2020-03-15 00:00:00+00:00,7379.0,7380.75,7034.5,7034.5,2273,0,3120,1,2020-02-18,2020-03-23
2020-03-16 00:00:00+00:00,7034.5,7043.0,6405.25,6639.25,84365,0,119284,1,2020-02-18,2020-03-23
2020-03-17 00:00:00+00:00,6639.5,7028.75,6424.75,6667.0,102847,0,123680,1,2020-02-18,2020-03-23
2020-03-18 00:00:00+00:00,6668.0,6920.0,6307.25,6856.25,69399,0,85346,1,2020-02-18,2020-03-23
2020-03-19 00:00:00+00:00,6859.75,7001.0,6374.75,6702.5,64662,0,74151,1,2020-02-18,2020-03-23
2020-03-20 00:00:00+00:00,6697.75,7127.5,6665.75,6929.5,6026,25,6922,1,2020-02-18,2020-03-23
2020-03-22 00:00:00+00:00,6684.0,6684.0,6383.25,6439.5,6963,0,9119,1,2020-02-18,2020-03-23
2020-03-23 00:00:00+00:00,6440.0,7073.75,6383.25,6838.25,737733,0,925945,1,2020-02-18,2020-03-23
2020-03-24 00:00:00+00:00,6836.0,7388.0,6789.25,7250.75,648956,0,746122,1,2020-02-18,2020-03-23
