time,open,high,low,close,tick_volume,spread,real_volume,segment,segment_start,segment_end
2025-02-17 02:00:00+00:00,22851.75,22864.0,22848.0,22862.25,5622,25,6196,11,2025-02-17,2025-04-07
2025-02-17 03:00:00+00:00,22862.25,22866.75,22851.25,22857.75,7561,25,8541,11,2025-02-17,2025-04-07
2025-02-17 04:00:00+00:00,22857.5,22871.75,22844.25,22870.75,8695,25,9971,11,2025-02-17,2025-04-07
2025-02-17 05:00:00+00:00,22870.75,22876.0,22860.75,22864.0,7002,25,8117,11,2025-02-17,2025-04-07
2025-02-17 06:00:00+00:00,22864.25,22871.5,22857.75,22870.0,5891,25,6513,11,2025-02-17,2025-04-07
2025-02-17 07:00:00+00:00,22870.0,22870.75,22829.25,22836.0,9806,25,11146,11,2025-02-17,2025-04-07
2025-02-17 08:00:00+00:00,22836.0,22849.5,22823.25,22826.5,11746,25,13219,11,2025-02-17,2025-04-07
2025-02-17 09:00:00+00:00,22826.25,22843.5,22820.25,22841.25,10639,25,11684,11,2025-02-17,2025-04-07
2025-02-17 10:00:00+00:00,22841.0,22852.75,22836.5,22850.75,6968,25,7718,11,2025-02-17,2025-04-07
2025-02-17 11:00:00+00:00,22851.0,22864.0,22832.75,22837.75,9293,25,10419,11,2025-02-17,2025-04-07
2025-02-17 12:00:00+00:00,22837.75,22853.5,22835.5,22842.5,8828,25,9958,11,2025-02-17,2025-04-07
2025-02-17 13:00:00+00:00,22842.25,22851.0,22837.0,22846.75,7165,25,7987,11,2025-02-17,2025-04-07
2025-02-17 14:00:00+00:00,22847.0,22854.25,22786.25,22807.0,51013,25,57286,11,2025-02-17,2025-04-07
2025-02-17 15:00:00+00:00,22807.5,22835.0,22795.5,22832.25,29805,25,33862,11,2025-02-17,2025-04-07
2025-02-17 16:00:00+00:00,22832.25,22846.5,22825.75,22829.75,26234,0,30044,11,2025-02-17,2025-04-07
2025-02-17 17:00:00+00:00,22829.5,22837.5,22816.5,22829.5,18083,25,20373,11,2025-02-17,2025-04-07
2025-02-17 23:00:00+00:00,22823.5,22829.5,22792.75,22814.25,13774,25,16101,11,2025-02-17,2025-04-07
2025-02-18 00:00:00+00:00,22814.5,22828.0,22805.75,22827.75,11807,25,13063,11,2025-02-17,2025-04-07
2025-02-18 01:00:00+00:00,22828.0,22841.5,22825.75,22837.5,9303,25,10629,11,2025-02-17,2025-04-07
2025-02-18 02:00:00+00:00,22837.25,22851.75,22829.25,22850.25,8019,25,9267,11,2025-02-17,2025-04-07
2025-02-18 03:00:00+00:00,22850.25,22860.75,22847.75,22859.25,6841,25,7967,11,2025-02-17,2025-04-07
2025-02-18 04:00:00+00:00,22859.75,22863.0,22851.25,22862.75,5092,25,5966,11,2025-02-17,2025-04-07
2025-02-18 05:00:00+00:00,22862.75,22864.25,22843.25,22847.0,6312,25,7407,11,2025-02-17,2025-04-07
2025-02-18 06:00:00+00:00,22846.75,22897.25,22844.5,22892.0,13140,25,15329,11,2025-02-17,2025-04-07
2025-02-18 07:00:00+00:00,22892.75,22912.5,22890.5,22908.75,13145,25,15221,11,2025-02-17,2025-04-07
2025-02-18 08:00:00+00:00,22909.0,22914.25,22864.0,22886.75,21159,0,23508,11,2025-02-17,2025-04-07
2025-02-18 09:00:00+00:00,22886.5,22901.0,22860.5,22868.0,16668,25,18538,11,2025-02-17,2025-04-07
2025-02-18 10:00:00+00:00,22867.75,22879.25,22856.25,22875.75,10929,0,11954,11,2025-02-17,2025-04-07
2025-02-18 11:00:00+00:00,22875.75,22882.0,22864.0,22871.0,8206,0,9063,11,2025-02-17,2025-04-07
