regime_mode,daily_ma_len,daily_rsi_len,daily_rsi_bull_min,daily_rsi_bear_max,z_window,z_long_entry,z_short_entry,h1_rsi_len,h1_rsi_long_max,h1_rsi_short_min,atr_len,stop_atr_mult,tp_atr_mult,max_hold_bars,min_reentry_gap_bars,use_vwap_filter,vwap_buffer_atr,n_trades,win_rate,avg_win_points,avg_loss_points,profit_factor,expectancy_points,median_hold_hours,mean_hold_hours,pct_stop,pct_target,pct_reverse,total_points,max_drawdown_points,run_id
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,2.8,24,4,False,0.1,610,0.5934426229508196,147.67031726413796,-99.58454968780488,2.164502709458188,47.147027093512015,12.0,14.601639344262296,0.3639344262295082,0.5114754098360655,0.0,28759.68652704233,-806.8487394007607,1
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,2.8,24,4,True,0.1,610,0.5934426229508196,147.67031726413796,-99.57998186174649,2.1646019972035244,47.14888417689313,12.0,14.568852459016393,0.3639344262295082,0.5114754098360655,0.0,28760.819347904806,-806.8487394007607,2
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,2.8,24,8,False,0.1,548,0.6040145985401459,145.9334615664649,-99.1909736863207,2.244145393966386,48.867763665270594,11.0,13.83029197080292,0.35766423357664234,0.5237226277372263,0.0,26779.534488568286,-793.4269465049147,3
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,2.8,24,8,True,0.1,548,0.6040145985401459,145.9334615664649,-99.18575331368254,2.244263508461859,48.86983085662549,11.0,13.793795620437956,0.35766423357664234,0.5237226277372263,0.0,26780.66730943077,-793.4269465049147,4
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,2.8,36,4,False,0.1,598,0.5836120401337793,157.83018756682958,-104.95762681059405,2.1076677492218177,48.40850566051105,12.0,16.010033444816052,0.39297658862876256,0.5484949832775919,0.0,28948.286384985608,-747.0987394007607,5
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,2.8,36,4,True,0.1,598,0.5836120401337793,157.83018756682958,-104.95307732921863,2.107759111908979,48.4104000097794,12.0,15.976588628762542,0.39297658862876256,0.5484949832775919,0.0,28949.419205848084,-747.0987394007607,6
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,2.8,36,8,False,0.1,533,0.5891181988742964,156.21199738257906,-104.09234679149714,2.1516970219033977,49.2576796074896,11.0,15.221388367729832,0.3883677298311445,0.5553470919324578,0.0,26254.343230791957,-878.3916868592241,7
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,2.8,36,8,True,0.1,533,0.5891181988742964,156.21199738257906,-104.08717409349492,2.151803952262335,49.25980497496141,11.0,15.183864915572233,0.3883677298311445,0.5553470919324578,0.0,26255.476051654434,-878.3916868592241,8
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,3.2,24,4,False,0.1,594,0.5707070707070707,163.47592768671993,-97.69519384836445,2.224539539276137,51.35701187620392,13.0,15.826599326599327,0.38047138047138046,0.46464646464646464,0.0,30506.06505446513,-793.4269465049147,9
both,100,10,52,48,24,-1.25,1.25,7,38,62,14,2.0,3.2,24,4,True,0.1,594,0.5707070707070707,163.47592768671993,-97.69075141360963,2.2246406990238077,51.35891898203302,13.0,15.792929292929292,0.38047138047138046,0.46464646464646464,0.0,30507.197875327613,-793.4269465049147,10
