event_col,horizon_bars,max_favorable,max_adverse,hit_plus_100,survive_minus_200_and_hit_plus_100,hit_plus_150,survive_minus_200_and_hit_plus_150,hit_plus_200,survive_minus_200_and_hit_plus_200,hit_plus_300,survive_minus_200_and_hit_plus_300,hit_plus_400,survive_minus_200_and_hit_plus_400
sig_first_cross_100,6,152.58928571428572,-143.93802521008402,0.5588235294117647,0.4831932773109244,0.3949579831932773,0.3319327731092437,0.23109243697478993,0.20168067226890757,0.13445378151260504,0.12605042016806722,0.07142857142857142,0.06722689075630252
sig_first_cross_100,12,184.48004201680672,-175.78571428571428,0.6512605042016807,0.5210084033613446,0.49159663865546216,0.3865546218487395,0.3445378151260504,0.2773109243697479,0.18907563025210083,0.15126050420168066,0.10084033613445378,0.09243697478991597
sig_first_cross_100,24,261.406512605042,-260.54411764705884,0.7815126050420168,0.4831932773109244,0.6974789915966386,0.453781512605042,0.5504201680672269,0.40336134453781514,0.36554621848739494,0.2857142857142857,0.20588235294117646,0.1722689075630252
sig_first_cross_100,48,357.65546218487395,-348.9432773109244,0.8403361344537815,0.39915966386554624,0.7815126050420168,0.3949579831932773,0.6680672268907563,0.3697478991596639,0.5210084033613446,0.3403361344537815,0.38235294117647056,0.2647058823529412
sig_reversal_after_cross_100,6,132.02702702702703,-117.72972972972973,0.43243243243243246,0.36486486486486486,0.2972972972972973,0.24324324324324326,0.1891891891891892,0.17567567567567569,0.0945945945945946,0.0945945945945946,0.06756756756756757,0.06756756756756757
sig_reversal_after_cross_100,12,159.19594594594594,-162.27364864864865,0.5405405405405406,0.47297297297297297,0.36486486486486486,0.3108108108108108,0.24324324324324326,0.22972972972972974,0.14864864864864866,0.14864864864864866,0.08108108108108109,0.08108108108108109
sig_reversal_after_cross_100,24,235.47297297297297,-265.8006756756757,0.6891891891891891,0.5,0.581081081081081,0.44594594594594594,0.4189189189189189,0.3918918918918919,0.32432432432432434,0.3108108108108108,0.1891891891891892,0.1891891891891892
sig_reversal_after_cross_100,48,331.6418918918919,-340.5304054054054,0.7567567567567568,0.4189189189189189,0.6891891891891891,0.4189189189189189,0.5945945945945946,0.3918918918918919,0.47297297297297297,0.35135135135135137,0.35135135135135137,0.28378378378378377
sig_first_cross_110,6,143.70454545454547,-153.1711229946524,0.5347593582887701,0.44919786096256686,0.37967914438502676,0.3155080213903743,0.24064171122994651,0.20855614973262032,0.12299465240641712,0.11764705882352941,0.053475935828877004,0.053475935828877004
sig_first_cross_110,12,171.6096256684492,-186.6403743315508,0.5935828877005348,0.47058823529411764,0.44385026737967914,0.35294117647058826,0.32085561497326204,0.26737967914438504,0.18181818181818182,0.16042780748663102,0.0748663101604278,0.06417112299465241
sig_first_cross_110,24,258.0788770053476,-277.9639037433155,0.7486631016042781,0.4385026737967914,0.6524064171122995,0.40641711229946526,0.5240641711229946,0.37433155080213903,0.3315508021390374,0.2620320855614973,0.20320855614973263,0.17647058823529413
sig_first_cross_110,48,363.86229946524065,-368.09893048128345,0.8609625668449198,0.3582887700534759,0.786096256684492,0.34759358288770054,0.6844919786096256,0.32085561497326204,0.5026737967914439,0.27807486631016043,0.3850267379679144,0.25668449197860965
sig_reversal_after_cross_110,6,143.165,-120.235,0.62,0.52,0.38,0.32,0.2,0.2,0.08,0.08,0.04,0.04
sig_reversal_after_cross_110,12,173.645,-198.885,0.7,0.54,0.46,0.34,0.34,0.3,0.16,0.12,0.06,0.04
sig_reversal_after_cross_110,24,279.325,-266.905,0.8,0.5,0.7,0.48,0.6,0.46,0.44,0.38,0.24,0.2
sig_reversal_after_cross_110,48,375.435,-335.18,0.9,0.42,0.82,0.4,0.66,0.38,0.54,0.34,0.42,0.28
sig_first_cross_120,6,166.47359154929578,-151.03521126760563,0.5563380281690141,0.4788732394366197,0.4225352112676056,0.3591549295774648,0.3380281690140845,0.2887323943661972,0.19014084507042253,0.1619718309859155,0.11971830985915492,0.09859154929577464
sig_first_cross_120,12,199.76584507042253,-181.6637323943662,0.6197183098591549,0.4859154929577465,0.5,0.4295774647887324,0.39436619718309857,0.3380281690140845,0.2605633802816901,0.21830985915492956,0.15492957746478872,0.1267605633802817
sig_first_cross_120,24,291.4401408450704,-279.03345070422534,0.8098591549295775,0.47183098591549294,0.6830985915492958,0.45774647887323944,0.5845070422535211,0.44366197183098594,0.4014084507042254,0.323943661971831,0.29577464788732394,0.24647887323943662
sig_first_cross_120,48,377.9595070422535,-396.8961267605634,0.8661971830985915,0.34507042253521125,0.7605633802816901,0.3380281690140845,0.6901408450704225,0.3380281690140845,0.528169014084507,0.31690140845070425,0.43661971830985913,0.2887323943661972
sig_reversal_after_cross_120,6,175.34868421052633,-146.2434210526316,0.6578947368421053,0.5,0.5263157894736842,0.39473684210526316,0.39473684210526316,0.3157894736842105,0.13157894736842105,0.13157894736842105,0.07894736842105263,0.07894736842105263
sig_reversal_after_cross_120,12,205.27631578947367,-192.95394736842104,0.7368421052631579,0.5263157894736842,0.6052631578947368,0.39473684210526316,0.47368421052631576,0.3684210526315789,0.23684210526315788,0.18421052631578946,0.13157894736842105,0.10526315789473684
sig_reversal_after_cross_120,24,322.38157894736844,-227.05921052631578,0.8947368421052632,0.5789473684210527,0.868421052631579,0.5789473684210527,0.7631578947368421,0.5526315789473685,0.5,0.39473684210526316,0.34210526315789475,0.2631578947368421
sig_reversal_after_cross_120,48,424.2236842105263,-310.2105263157895,0.9210526315789473,0.4473684210526316,0.8947368421052632,0.4473684210526316,0.8157894736842105,0.4473684210526316,0.7105263157894737,0.42105263157894735,0.5526315789473685,0.34210526315789475
sig_first_cross_130,6,200.1711956521739,-154.25271739130434,0.6195652173913043,0.5108695652173914,0.4673913043478261,0.40217391304347827,0.391304347826087,0.358695652173913,0.2608695652173913,0.25,0.15217391304347827,0.14130434782608695
sig_first_cross_130,12,229.77445652173913,-200.55434782608697,0.6847826086956522,0.4891304347826087,0.5434782608695652,0.44565217391304346,0.43478260869565216,0.358695652173913,0.31521739130434784,0.2608695652173913,0.1956521739130435,0.17391304347826086
sig_first_cross_130,24,330.8125,-308.17391304347825,0.8478260869565217,0.45652173913043476,0.6956521739130435,0.43478260869565216,0.6304347826086957,0.43478260869565216,0.5,0.3695652173913043,0.3804347826086957,0.29347826086956524
sig_first_cross_130,48,429.10869565217394,-424.7826086956522,0.9021739130434783,0.358695652173913,0.8043478260869565,0.34782608695652173,0.7608695652173914,0.34782608695652173,0.6304347826086957,0.34782608695652173,0.5,0.32608695652173914
sig_reversal_after_cross_130,6,220.35714285714286,-141.69285714285715,0.7428571428571429,0.5714285714285714,0.6285714285714286,0.4857142857142857,0.4,0.34285714285714286,0.2,0.2,0.11428571428571428,0.11428571428571428
sig_reversal_after_cross_130,12,254.45,-184.1642857142857,0.8,0.5714285714285714,0.6571428571428571,0.45714285714285713,0.4857142857142857,0.37142857142857144,0.3142857142857143,0.2571428571428571,0.2,0.17142857142857143
sig_reversal_after_cross_130,24,363.72857142857146,-247.22857142857143,0.8857142857142857,0.5428571428571428,0.8285714285714286,0.5428571428571428,0.7142857142857143,0.5142857142857142,0.5714285714285714,0.45714285714285713,0.4,0.34285714285714286
sig_reversal_after_cross_130,48,464.4214285714286,-314.5357142857143,0.9714285714285714,0.5142857142857142,0.8857142857142857,0.5142857142857142,0.8,0.4857142857142857,0.6857142857142857,0.4857142857142857,0.5428571428571428,0.42857142857142855
sig_first_cross_140,6,191.85169491525423,-193.94915254237287,0.576271186440678,0.4576271186440678,0.4406779661016949,0.3728813559322034,0.4067796610169492,0.3559322033898305,0.2711864406779661,0.22033898305084745,0.15254237288135594,0.1016949152542373
sig_first_cross_140,12,224.65254237288136,-215.4915254237288,0.6779661016949152,0.4915254237288136,0.576271186440678,0.4745762711864407,0.4406779661016949,0.3898305084745763,0.3050847457627119,0.2542372881355932,0.2033898305084746,0.15254237288135594
sig_first_cross_140,24,352.34322033898303,-326.04237288135596,0.8813559322033898,0.4406779661016949,0.7457627118644068,0.423728813559322,0.6440677966101694,0.423728813559322,0.576271186440678,0.3898305084745763,0.4406779661016949,0.3050847457627119
sig_first_cross_140,48,432.3135593220339,-454.6271186440678,0.9152542372881356,0.3389830508474576,0.864406779661017,0.3220338983050847,0.7966101694915254,0.3220338983050847,0.6440677966101694,0.3050847457627119,0.5084745762711864,0.288135593220339
sig_reversal_after_cross_140,6,164.57142857142858,-184.60714285714286,0.7142857142857143,0.5238095238095238,0.47619047619047616,0.38095238095238093,0.23809523809523808,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.047619047619047616
sig_reversal_after_cross_140,12,210.26190476190476,-250.17857142857142,0.7619047619047619,0.42857142857142855,0.6190476190476191,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.047619047619047616
sig_reversal_after_cross_140,24,314.6904761904762,-323.5238095238095,0.8095238095238095,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.6190476190476191,0.38095238095238093,0.47619047619047616,0.3333333333333333,0.3333333333333333,0.2857142857142857
sig_reversal_after_cross_140,48,396.73809523809524,-449.35714285714283,0.9047619047619048,0.38095238095238093,0.7142857142857143,0.38095238095238093,0.6190476190476191,0.3333333333333333,0.5238095238095238,0.3333333333333333,0.5238095238095238,0.3333333333333333
sig_first_cross_150,6,176.97222222222223,-186.04444444444445,0.6,0.4666666666666667,0.4888888888888889,0.37777777777777777,0.3333333333333333,0.24444444444444444,0.2,0.1111111111111111,0.1111111111111111,0.044444444444444446
sig_first_cross_150,12,219.98888888888888,-204.93333333333334,0.7333333333333333,0.5111111111111111,0.6888888888888889,0.4666666666666667,0.4,0.3111111111111111,0.26666666666666666,0.17777777777777778,0.13333333333333333,0.044444444444444446
sig_first_cross_150,24,324.1722222222222,-328.0444444444444,0.9111111111111111,0.5111111111111111,0.8444444444444444,0.4888888888888889,0.6666666666666666,0.4666666666666667,0.5333333333333333,0.4,0.35555555555555557,0.24444444444444444
sig_first_cross_150,48,396.71666666666664,-468.5777777777778,0.9555555555555556,0.35555555555555557,0.8888888888888888,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.6444444444444445,0.28888888888888886,0.4666666666666667,0.24444444444444444
sig_reversal_after_cross_150,6,116.66071428571429,-230.57142857142858,0.5714285714285714,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0
sig_reversal_after_cross_150,12,155.94642857142858,-318.4107142857143,0.6428571428571429,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.0
sig_reversal_after_cross_150,24,242.51785714285714,-419.75,0.7857142857142857,0.21428571428571427,0.6428571428571429,0.21428571428571427,0.6428571428571429,0.21428571428571427,0.2857142857142857,0.0,0.14285714285714285,0.0
sig_reversal_after_cross_150,48,308.7857142857143,-545.3392857142857,0.8571428571428571,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.6428571428571429,0.14285714285714285,0.5,0.14285714285714285,0.35714285714285715,0.0
sig_first_cross_160,6,158.36111111111111,-174.78472222222223,0.5277777777777778,0.3888888888888889,0.3611111111111111,0.3055555555555556,0.25,0.2222222222222222,0.16666666666666666,0.1388888888888889,0.1111111111111111,0.1111111111111111
sig_first_cross_160,12,215.45833333333334,-194.94444444444446,0.7222222222222222,0.5,0.6111111111111112,0.4166666666666667,0.4444444444444444,0.3611111111111111,0.25,0.2222222222222222,0.1388888888888889,0.1111111111111111
sig_first_cross_160,24,326.99305555555554,-343.99305555555554,0.8888888888888888,0.5277777777777778,0.8055555555555556,0.5,0.6944444444444444,0.5,0.5277777777777778,0.4166666666666667,0.3611111111111111,0.25
sig_first_cross_160,48,402.68055555555554,-549.8819444444445,0.9166666666666666,0.3055555555555556,0.8611111111111112,0.2777777777777778,0.7777777777777778,0.2777777777777778,0.6388888888888888,0.2777777777777778,0.4444444444444444,0.2222222222222222
sig_reversal_after_cross_160,6,121.925,-200.45,0.4,0.1,0.3,0.1,0.2,0.0,0.1,0.0,0.0,0.0
sig_reversal_after_cross_160,12,161.925,-306.75,0.6,0.3,0.4,0.1,0.3,0.0,0.2,0.0,0.1,0.0
sig_reversal_after_cross_160,24,270.125,-415.825,0.8,0.2,0.8,0.2,0.8,0.2,0.4,0.0,0.1,0.0
sig_reversal_after_cross_160,48,382.725,-529.3,0.9,0.1,0.9,0.1,0.8,0.1,0.6,0.1,0.5,0.0
