signal,mode,stop_points,time_exit_h,r_mult,entry_time,exit_time,entry_price,exit_price,gross_points,net_dollars,exit_reason,bear_window_id,hours_from_bear_start,rsi70_context_tag_v3,stall_or_reject_tag_v3
signal_v3_A_core,stop_time,300.0,24,,2022-04-07 19:00:00+00:00,2022-04-08 20:00:00+00:00,14730.75,14523.25,207.5,413.5,time_exit_24h,7.0,91.0,0,0
signal_v3_A_core,stop_time,300.0,48,,2022-04-07 19:00:00+00:00,2022-04-11 22:00:00+00:00,14730.75,14210.5,520.25,1039.0,time_exit_48h,7.0,91.0,0,0
signal_v3_A_core,stop_target,300.0,48,1.0,2022-04-07 19:00:00+00:00,2022-04-11 01:00:00+00:00,14730.75,14428.75,302.0,602.5,target_1.0R,7.0,91.0,0,0
signal_v3_A_core,stop_target,300.0,48,1.5,2022-04-07 19:00:00+00:00,2022-04-11 14:00:00+00:00,14730.75,14278.75,452.0,902.5,target_1.5R,7.0,91.0,0,0
signal_v3_A_core,stop_target,300.0,48,2.0,2022-04-07 19:00:00+00:00,2022-04-11 22:00:00+00:00,14730.75,14210.5,520.25,1039.0,time_exit_48h,7.0,91.0,0,0
signal_v3_A_core,stop_time,400.0,6,,2022-04-07 19:00:00+00:00,2022-04-08 02:00:00+00:00,14730.75,14744.0,-13.25,-28.0,time_exit_6h,7.0,91.0,0,0
signal_v3_A_core,stop_time,400.0,12,,2022-04-07 19:00:00+00:00,2022-04-08 08:00:00+00:00,14730.75,14781.25,-50.5,-102.5,time_exit_12h,7.0,91.0,0,0
signal_v3_A_core,stop_time,400.0,24,,2022-04-07 19:00:00+00:00,2022-04-08 20:00:00+00:00,14730.75,14523.25,207.5,413.5,time_exit_24h,7.0,91.0,0,0
signal_v3_A_core,stop_time,400.0,48,,2022-04-07 19:00:00+00:00,2022-04-11 22:00:00+00:00,14730.75,14210.5,520.25,1039.0,time_exit_48h,7.0,91.0,0,0
signal_v3_A_core,stop_target,400.0,48,1.0,2022-04-07 19:00:00+00:00,2022-04-11 12:00:00+00:00,14730.75,14328.75,402.0,802.5,target_1.0R,7.0,91.0,0,0
signal_v3_A_core,stop_target,400.0,48,1.5,2022-04-07 19:00:00+00:00,2022-04-11 22:00:00+00:00,14730.75,14210.5,520.25,1039.0,time_exit_48h,7.0,91.0,0,0
signal_v3_A_core,stop_target,400.0,48,2.0,2022-04-07 19:00:00+00:00,2022-04-11 22:00:00+00:00,14730.75,14210.5,520.25,1039.0,time_exit_48h,7.0,91.0,0,0
signal_v3_A_core,stop_time,200.0,6,,2024-03-28 14:00:00+00:00,2024-03-28 20:00:00+00:00,18749.0,18711.5,37.5,73.5,time_exit_6h,9.0,110.0,0,0
signal_v3_A_core,stop_time,200.0,12,,2024-03-28 14:00:00+00:00,2024-04-01 02:00:00+00:00,18749.0,18819.75,-70.75,-143.0,time_exit_12h,9.0,110.0,0,0
