signal,count,pct_with_rsi70_context_tag,pct_with_stall_or_reject_tag,mean_bear_prob,mean_exhaust_prob,mean_daily_rsi,mean_hours_from_bear_start
signal_v3_A_core,8,0.0,0.0,0.42357291944051934,0.07751910272004417,58.83967506537723,74.125
signal_v3_B_tagged,8,0.0,0.0,0.42357291944051934,0.07751910272004417,58.83967506537723,74.125
signal_v3_C_or_logic,1,100.0,0.0,0.2789618116392102,0.0423023309321362,75.70945562509343,14.0
signal_v3_D_loose_structure,8,0.0,0.0,0.42357291944051934,0.07751910272004417,58.83967506537723,74.125
signal_v3_E_first_rally,2,0.0,100.0,0.4334193328807827,0.0213920764264252,55.365190160898074,110.0
