signal,mode,stop_points,time_exit_h,r_mult,trades,win_rate,avg_net_dollars,total_net_dollars,profit_factor,avg_hours_from_bear_start,pct_rsi70_context_tag,pct_stall_or_reject_tag
signal_v3_D_loose_structure,stop_target,200.0,48,1.5,8,0.875,476.5,3812.0,10.400739827373613,74.125,0.0,0.0
signal_v3_D_loose_structure,stop_target,200.0,48,1.0,8,1.0,402.5,3220.0,,74.125,0.0,0.0
signal_v3_D_loose_structure,stop_time,300.0,24,,8,0.875,242.8125,1942.5,9.652561247216036,74.125,0.0,0.0
signal_v3_D_loose_structure,stop_time,400.0,24,,8,0.875,242.8125,1942.5,9.652561247216036,74.125,0.0,0.0
signal_v3_D_loose_structure,stop_time,200.0,24,,8,0.875,220.1875,1761.5,5.344019728729963,74.125,0.0,0.0
signal_v3_D_loose_structure,stop_time,200.0,6,,8,0.75,105.875,847.0,6.821305841924398,74.125,0.0,0.0
signal_v3_D_loose_structure,stop_time,300.0,6,,8,0.75,105.875,847.0,6.821305841924398,74.125,0.0,0.0
signal_v3_D_loose_structure,stop_time,400.0,6,,8,0.75,105.875,847.0,6.821305841924398,74.125,0.0,0.0
signal_v3_D_loose_structure,stop_time,200.0,12,,8,0.5,-15.875,-127.0,0.7248104008667389,74.125,0.0,0.0
signal_v3_D_loose_structure,stop_time,300.0,12,,8,0.5,-15.875,-127.0,0.7248104008667389,74.125,0.0,0.0
signal_v3_D_loose_structure,stop_time,400.0,12,,8,0.5,-15.875,-127.0,0.7248104008667389,74.125,0.0,0.0
signal_v3_E_first_rally,stop_target,200.0,48,1.0,2,1.0,402.5,805.0,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_target,200.0,48,1.5,2,1.0,398.25,796.5,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_target,200.0,48,2.0,2,1.0,398.25,796.5,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_target,300.0,48,1.0,2,1.0,398.25,796.5,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_target,300.0,48,1.5,2,1.0,398.25,796.5,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_target,300.0,48,2.0,2,1.0,398.25,796.5,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_target,400.0,48,1.0,2,1.0,398.25,796.5,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_target,400.0,48,1.5,2,1.0,398.25,796.5,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_target,400.0,48,2.0,2,1.0,398.25,796.5,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_time,200.0,48,,2,1.0,398.25,796.5,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_time,300.0,48,,2,1.0,398.25,796.5,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_time,400.0,48,,2,1.0,398.25,796.5,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_time,200.0,6,,2,1.0,96.0,192.0,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_time,300.0,6,,2,1.0,96.0,192.0,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_time,400.0,6,,2,1.0,96.0,192.0,,110.0,0.0,100.0
signal_v3_E_first_rally,stop_time,200.0,12,,2,0.0,-19.0,-38.0,0.0,110.0,0.0,100.0
signal_v3_E_first_rally,stop_time,300.0,12,,2,0.0,-19.0,-38.0,0.0,110.0,0.0,100.0
signal_v3_E_first_rally,stop_time,400.0,12,,2,0.0,-19.0,-38.0,0.0,110.0,0.0,100.0
signal_v3_E_first_rally,stop_time,200.0,24,,2,0.0,-51.25,-102.5,0.0,110.0,0.0,100.0
signal_v3_E_first_rally,stop_time,300.0,24,,2,0.0,-51.25,-102.5,0.0,110.0,0.0,100.0
signal_v3_E_first_rally,stop_time,400.0,24,,2,0.0,-51.25,-102.5,0.0,110.0,0.0,100.0
