time,open,high,low,close,tick_volume,spread,real_volume
2020-01-01 00:00:00+00:00,8251.5,8262.25,8247.75,8254.5,2918,0,3515
2020-01-02 00:00:00+00:00,8255.5,8385.5,8251.0,8377.25,140825,0,169276
2020-01-03 00:00:00+00:00,8377.0,8386.25,8213.75,8288.75,269091,0,312235
2020-01-05 00:00:00+00:00,8288.75,8288.75,8226.25,8256.5,8115,0,9582
2020-01-06 00:00:00+00:00,8256.75,8351.0,8201.5,8327.5,180478,0,215709
2020-01-07 00:00:00+00:00,8327.5,8373.0,8205.5,8230.5,225263,0,264607
2020-01-08 00:00:00+00:00,8231.0,8451.0,8156.75,8430.5,330649,0,383698
2020-01-09 00:00:00+00:00,8430.75,8500.75,8411.0,8494.0,199143,0,238451
2020-01-10 00:00:00+00:00,8494.25,8533.75,8445.0,8456.75,193952,0,231482
2020-01-12 00:00:00+00:00,8456.75,8479.0,8456.75,8466.0,3542,0,4096
2020-01-13 00:00:00+00:00,8466.0,8585.75,8463.75,8583.5,150107,0,170394
2020-01-14 00:00:00+00:00,8583.75,8593.25,8507.5,8509.5,243954,0,272236
2020-01-15 00:00:00+00:00,8509.75,8574.5,8501.5,8552.75,193067,0,218114
2020-01-16 00:00:00+00:00,8552.5,8636.25,8542.25,8624.25,157811,0,175330
2020-01-17 00:00:00+00:00,8624.25,8667.75,8608.5,8649.75,149261,0,168455
2020-01-19 00:00:00+00:00,8649.75,8663.25,8646.25,8663.25,2280,25,2656
2020-01-20 00:00:00+00:00,8663.25,8665.5,8638.5,8648.5,29235,0,32887
2020-01-21 00:00:00+00:00,8648.75,8678.25,8593.0,8656.75,176706,0,198618
2020-01-22 00:00:00+00:00,8656.75,8732.5,8656.25,8661.0,175121,0,197665
2020-01-23 00:00:00+00:00,8660.75,8750.75,8630.25,8748.5,216839,0,239012
2020-01-24 00:00:00+00:00,8748.75,8766.0,8588.25,8615.75,291970,25,323348
2020-01-26 00:00:00+00:00,8615.75,8615.75,8472.5,8493.0,15704,0,17930
2020-01-27 00:00:00+00:00,8493.25,8532.5,8404.5,8457.25,347251,0,384930
2020-01-28 00:00:00+00:00,8457.25,8614.5,8443.0,8578.5,276130,0,310064
2020-01-29 00:00:00+00:00,8578.5,8637.25,8550.75,8600.25,271853,0,303848
2020-01-30 00:00:00+00:00,8600.5,8718.5,8482.25,8696.5,353627,0,394980
2020-01-31 00:00:00+00:00,8696.25,8727.5,8443.5,8491.0,509375,0,567022
2020-02-02 00:00:00+00:00,8491.0,8516.25,8453.5,8498.75,10159,0,11824
2020-02-03 00:00:00+00:00,8498.0,8634.25,8489.5,8568.25,262831,0,292881
2020-02-04 00:00:00+00:00,8568.5,8847.5,8566.0,8816.5,241729,0,273828
2020-02-05 00:00:00+00:00,8816.5,8942.75,8796.75,8859.5,292451,0,328513
2020-02-06 00:00:00+00:00,8859.5,8955.5,8841.5,8945.25,230940,0,255966
2020-02-07 00:00:00+00:00,8945.25,8949.25,8863.5,8878.5,245309,25,274273
2020-02-09 00:00:00+00:00,8878.5,8903.0,8809.25,8834.75,14540,25,16714
2020-02-10 00:00:00+00:00,8834.75,9010.25,8834.75,9003.75,225546,0,253736
2020-02-11 00:00:00+00:00,9004.25,9088.0,8980.0,9019.75,228845,0,259170
2020-02-12 00:00:00+00:00,9019.75,9106.5,9002.75,9055.0,194860,0,221671
2020-02-13 00:00:00+00:00,9056.25,9123.25,8989.75,9088.25,253397,0,288230
2020-02-14 00:00:00+00:00,9088.5,9137.75,9066.75,9109.25,191473,0,222433
2020-02-16 00:00:00+00:00,9109.25,9147.25,9109.25,9142.5,4272,25,5174
2020-02-17 00:00:00+00:00,9142.25,9165.75,9058.25,9081.25,51201,0,58430
2020-02-18 00:00:00+00:00,9081.5,9143.25,9012.5,9142.75,214479,0,249810
2020-02-19 00:00:00+00:00,9142.75,9227.25,9126.0,9223.5,163100,0,192252
2020-02-20 00:00:00+00:00,9223.25,9241.5,8994.75,9051.25,431423,0,496432
2020-02-21 00:00:00+00:00,9052.0,9090.5,8890.0,8934.75,385291,0,443857
2020-02-23 00:00:00+00:00,8934.75,8934.75,8767.5,8788.25,20811,0,25432
2020-02-24 00:00:00+00:00,8788.5,8802.5,8519.5,8619.25,641675,0,714459
2020-02-25 00:00:00+00:00,8619.0,8703.0,8288.5,8399.75,762543,0,886090
2020-02-26 00:00:00+00:00,8400.0,8516.25,8187.75,8310.5,827097,0,928555
2020-02-27 00:00:00+00:00,8309.75,8331.25,7791.5,7891.0,948984,0,1128600
2020-02-28 00:00:00+00:00,7892.25,8053.5,7602.75,8026.0,1168724,0,1543488
2020-03-01 00:00:00+00:00,7854.75,7865.0,7728.25,7833.75,7235,0,9062
2020-03-02 00:00:00+00:00,7834.5,8361.5,7794.5,8338.0,195449,0,225820
2020-03-03 00:00:00+00:00,8338.5,8481.5,7985.75,8041.0,204614,0,236942
2020-03-04 00:00:00+00:00,8039.75,8428.25,8036.75,8360.75,145168,0,161493
2020-03-05 00:00:00+00:00,8361.75,8365.5,8089.25,8172.5,527970,0,644746
2020-03-06 00:00:00+00:00,8172.0,8204.5,7790.5,7982.25,714814,0,852125
2020-03-08 00:00:00+00:00,7896.75,7896.75,7579.75,7593.5,35154,0,42492
2020-03-09 00:00:00+00:00,7592.75,7718.75,7279.5,7587.5,518460,0,569192
2020-03-10 00:00:00+00:00,7589.0,7858.5,7410.0,7689.5,909462,0,1001156
2020-03-11 00:00:00+00:00,7689.5,7728.5,7371.25,7473.5,793901,0,888166
2020-03-12 00:00:00+00:00,7473.75,7497.25,6537.0,6595.25,949358,0,1064278
2020-03-13 00:00:00+00:00,6593.0,7458.5,6421.0,7299.5,177905,0,251429
2020-03-15 00:00:00+00:00,7379.0,7380.75,7034.5,7034.5,2273,0,3120
2020-03-16 00:00:00+00:00,7034.5,7043.0,6405.25,6639.25,84365,0,119284
2020-03-17 00:00:00+00:00,6639.5,7028.75,6424.75,6667.0,102847,0,123680
2020-03-18 00:00:00+00:00,6668.0,6920.0,6307.25,6856.25,69399,0,85346
2020-03-19 00:00:00+00:00,6859.75,7001.0,6374.75,6702.5,64662,0,74151
2020-03-20 00:00:00+00:00,6697.75,7127.5,6665.75,6929.5,6026,25,6922
2020-03-22 00:00:00+00:00,6684.0,6684.0,6383.25,6439.5,6963,0,9119
2020-03-23 00:00:00+00:00,6440.0,7073.75,6383.25,6838.25,737733,0,925945
2020-03-24 00:00:00+00:00,6836.0,7388.0,6789.25,7250.75,648956,0,746122
2020-03-25 00:00:00+00:00,7251.25,7516.75,7127.0,7233.5,757132,0,905553
2020-03-26 00:00:00+00:00,7232.25,7654.75,7064.5,7631.5,705197,0,814714
2020-03-27 00:00:00+00:00,7632.0,7648.0,7305.5,7313.75,602333,0,693191
2020-03-29 00:00:00+00:00,7200.75,7262.25,7145.75,7220.0,22178,25,27617
2020-03-30 00:00:00+00:00,7221.25,7640.5,7210.25,7629.5,525222,0,621663
2020-03-31 00:00:00+00:00,7629.5,7749.5,7459.25,7466.5,560713,0,645059
2020-04-01 00:00:00+00:00,7465.5,7498.75,7158.25,7260.75,550974,0,623570
2020-04-02 00:00:00+00:00,7261.25,7411.0,7130.0,7346.25,660843,0,753087
2020-04-03 00:00:00+00:00,7346.25,7415.0,7178.0,7278.5,446018,0,500733
2020-04-05 00:00:00+00:00,7285.5,7412.0,7285.5,7408.5,17482,25,20531
2020-04-06 00:00:00+00:00,7409.0,7853.5,7405.75,7835.0,460055,0,517995
2020-04-07 00:00:00+00:00,7836.0,8058.25,7702.25,7796.5,655169,0,731300
2020-04-08 00:00:00+00:00,7795.75,7996.5,7707.5,7978.75,549447,0,604420
2020-04-09 00:00:00+00:00,7981.0,8081.5,7856.5,7994.25,569163,0,624235
2020-04-12 00:00:00+00:00,8030.5,8063.5,7829.5,7872.75,24710,0,28247
2020-04-13 00:00:00+00:00,7872.75,8128.5,7839.75,8120.0,384463,0,430169
2020-04-14 00:00:00+00:00,8120.75,8463.0,8073.5,8428.0,405595,0,449113
2020-04-15 00:00:00+00:00,8428.25,8436.5,8241.0,8287.25,452401,0,498533
2020-04-16 00:00:00+00:00,8287.5,8722.25,8255.0,8687.75,534146,0,616685
2020-04-17 00:00:00+00:00,8688.0,8707.5,8443.5,8562.5,472491,0,537445
2020-04-18 00:00:00+00:00,8562.5,8562.5,8562.5,8562.5,1,0,1
2020-04-19 00:00:00+00:00,8562.5,8562.5,8487.5,8501.5,15703,25,17885
2020-04-20 00:00:00+00:00,8502.0,8600.5,8440.75,8484.75,448898,0,511802
2020-04-21 00:00:00+00:00,8485.0,8517.5,8096.5,8212.5,662286,0,755075
2020-04-22 00:00:00+00:00,8213.0,8453.75,8154.0,8371.0,453658,0,509379
2020-04-23 00:00:00+00:00,8371.5,8541.5,8286.25,8306.75,438700,0,505356
2020-04-24 00:00:00+00:00,8307.25,8558.5,8252.5,8521.75,401066,0,438600
2020-04-25 00:00:00+00:00,8521.75,8521.75,8521.75,8521.75,3,0,3
2020-04-26 00:00:00+00:00,8521.75,8569.0,8483.25,8508.0,18493,0,21209
2020-04-27 00:00:00+00:00,8508.25,8652.5,8490.5,8578.0,370474,0,421642
2020-04-28 00:00:00+00:00,8577.75,8700.5,8408.75,8522.25,504796,0,576123
2020-04-29 00:00:00+00:00,8522.0,8873.75,8518.75,8845.5,469747,0,548889
2020-04-30 00:00:00+00:00,8845.25,8899.25,8557.5,8592.75,566097,0,645489
2020-05-01 00:00:00+00:00,8594.0,8633.0,8426.25,8456.5,436712,0,498694
2020-05-02 00:00:00+00:00,8456.5,8456.5,8456.5,8456.5,2,0,2
2020-05-03 00:00:00+00:00,8456.5,8456.5,8316.0,8337.5,21869,0,26668
2020-05-04 00:00:00+00:00,8337.5,8582.0,8311.25,8578.25,454198,0,514214
2020-05-05 00:00:00+00:00,8578.25,8774.25,8573.0,8710.75,426967,0,519768
2020-05-06 00:00:00+00:00,8711.0,8811.0,8632.25,8719.25,474168,0,566051
2020-05-07 00:00:00+00:00,8719.25,8898.25,8719.25,8895.75,418989,0,498740
2020-05-08 00:00:00+00:00,8895.75,8992.5,8870.5,8975.75,359428,0,440773
2020-05-09 00:00:00+00:00,8975.75,8975.75,8975.75,8975.75,1,0,1
2020-05-10 00:00:00+00:00,8975.75,9011.5,8927.5,9008.0,20535,25,24463
2020-05-11 00:00:00+00:00,9008.5,9093.25,8873.25,9031.75,443797,0,569423
2020-05-12 00:00:00+00:00,9032.0,9100.25,8761.0,8768.75,492855,0,616017
2020-05-13 00:00:00+00:00,8769.0,8957.0,8632.75,8766.0,769153,0,939049
2020-05-14 00:00:00+00:00,8766.75,8866.0,8601.0,8862.25,746767,0,845818
2020-05-15 00:00:00+00:00,8862.0,8903.25,8679.75,8874.25,672192,0,787696
2020-05-16 00:00:00+00:00,8874.25,8874.25,8874.25,8874.25,2,0,2
2020-05-17 00:00:00+00:00,8874.25,8933.5,8864.5,8919.25,26121,25,29624
2020-05-18 00:00:00+00:00,8919.75,9116.0,8910.25,9098.75,475656,25,541864
2020-05-19 00:00:00+00:00,9098.0,9171.75,9027.75,9072.75,554015,0,648231
2020-05-20 00:00:00+00:00,9073.0,9257.75,9064.5,9240.25,436654,0,526057
2020-05-21 00:00:00+00:00,9240.25,9265.0,9104.0,9157.25,532472,0,641360
2020-05-22 00:00:00+00:00,9158.25,9177.25,8995.75,9177.25,480851,0,589152
2020-05-24 00:00:00+00:00,9159.0,9218.25,9145.0,9210.5,15571,25,17859
2020-05-25 00:00:00+00:00,9210.5,9291.25,9170.75,9264.75,152312,0,172944
2020-05-26 00:00:00+00:00,9264.25,9358.5,9127.5,9149.0,469629,0,566685
2020-05-27 00:00:00+00:00,9149.0,9262.5,8927.75,9196.75,651310,0,771848
2020-05-28 00:00:00+00:00,9196.5,9320.0,9075.0,9172.75,673765,0,778485
2020-05-29 00:00:00+00:00,9173.0,9345.0,9126.5,9343.5,739317,0,865705
2020-05-30 00:00:00+00:00,9343.5,9343.5,9343.5,9343.5,3,0,3
2020-05-31 00:00:00+00:00,9343.5,9343.5,9204.5,9261.75,22351,0,26026
2020-06-01 00:00:00+00:00,9261.75,9360.5,9235.75,9320.25,486461,0,544788
2020-06-02 00:00:00+00:00,9320.5,9431.75,9259.5,9429.5,492473,0,559492
2020-06-03 00:00:00+00:00,9430.0,9482.75,9395.25,9451.25,441068,0,498415
2020-06-04 00:00:00+00:00,9451.25,9497.0,9327.0,9373.25,513146,0,578150
2020-06-05 00:00:00+00:00,9373.5,9601.25,9356.5,9562.0,465313,0,542152
2020-06-06 00:00:00+00:00,9562.0,9562.0,9562.0,9562.0,6,0,6
2020-06-07 00:00:00+00:00,9562.0,9630.25,9562.0,9625.25,16223,0,18470
2020-06-08 00:00:00+00:00,9626.25,9655.5,9501.25,9634.5,373624,0,427770
2020-06-09 00:00:00+00:00,9634.0,9762.0,9566.0,9743.75,474231,0,542675
2020-06-10 00:00:00+00:00,9744.0,9910.0,9713.0,9798.0,560112,0,648040
2020-06-11 00:00:00+00:00,9798.0,9850.5,9339.0,9433.25,906917,0,1055313
2020-06-12 00:00:00+00:00,9433.0,9603.5,9249.5,9396.75,432087,0,546903
2020-06-14 00:00:00+00:00,9294.75,9340.25,9257.25,9306.0,11163,25,15923
2020-06-15 00:00:00+00:00,9306.75,9634.0,9135.5,9632.0,203993,0,279124
2020-06-16 00:00:00+00:00,9631.0,9770.0,9551.5,9749.0,72914,0,116412
2020-06-17 00:00:00+00:00,9749.0,9815.75,9680.5,9716.75,32897,0,49766
2020-06-18 00:00:00+00:00,9718.25,9797.0,9633.5,9784.0,20164,25,24950
2020-06-19 00:00:00+00:00,9783.25,9884.5,9749.75,9884.5,2363,25,3010
2020-06-21 00:00:00+00:00,9700.75,9723.5,9657.5,9721.25,21401,0,26056
2020-06-22 00:00:00+00:00,9721.5,9974.25,9711.25,9966.0,349180,0,399317
2020-06-23 00:00:00+00:00,9966.0,10112.25,9788.75,9997.0,434701,0,511673
2020-06-24 00:00:00+00:00,9996.25,10058.0,9743.5,9789.75,596356,0,691716
2020-06-25 00:00:00+00:00,9790.5,9936.75,9701.75,9922.5,563810,0,658107
2020-06-26 00:00:00+00:00,9922.25,9936.25,9640.25,9660.25,554945,0,651164
2020-06-27 00:00:00+00:00,9660.25,9660.25,9660.25,9660.25,2,0,2
2020-06-28 00:00:00+00:00,9660.25,9660.25,9594.0,9643.25,21235,0,24861
2020-06-29 00:00:00+00:00,9643.5,9824.5,9545.25,9809.0,494676,0,575000
2020-06-30 00:00:00+00:00,9809.75,9987.75,9756.25,9946.0,421101,0,491592
2020-07-01 00:00:00+00:00,9945.75,10125.25,9892.0,10085.75,377922,0,450277
2020-07-02 00:00:00+00:00,10084.75,10238.75,10068.5,10166.25,350162,0,418268
2020-07-03 00:00:00+00:00,10166.0,10206.0,10125.25,10141.5,108596,25,125053
2020-07-05 00:00:00+00:00,10150.25,10216.0,10150.25,10209.25,13042,0,15702
2020-07-06 00:00:00+00:00,10209.5,10464.5,10207.5,10456.25,388187,0,480219
2020-07-07 00:00:00+00:00,10456.25,10510.75,10322.25,10366.5,453483,0,557825
2020-07-08 00:00:00+00:00,10366.25,10514.25,10321.5,10498.75,455240,0,569988
2020-07-09 00:00:00+00:00,10498.5,10590.5,10376.5,10570.5,525437,0,656174
2020-07-10 00:00:00+00:00,10570.75,10663.5,10441.75,10659.0,477586,0,596942
2020-07-12 00:00:00+00:00,10659.0,10725.5,10659.0,10693.0,21162,0,25825
2020-07-13 00:00:00+00:00,10693.25,10874.5,10378.25,10461.75,657504,0,821710
2020-07-14 00:00:00+00:00,10461.5,10556.25,10175.0,10533.75,950244,0,1149815
2020-07-15 00:00:00+00:00,10534.0,10582.75,10367.75,10463.5,716947,25,841743
2020-07-16 00:00:00+00:00,10463.25,10463.25,10291.75,10383.0,674856,0,780737
2020-07-17 00:00:00+00:00,10383.5,10485.25,10354.25,10439.75,461676,0,550739
2020-07-18 00:00:00+00:00,10439.75,10439.75,10439.75,10439.75,1,0,1
2020-07-19 00:00:00+00:00,10439.75,10473.25,10428.25,10463.75,12320,25,14812
