year,trades,win_rate,net_pnl,avg_trade,profit_factor,avg_r
2019,75,0.5466666666666666,766.1799999999967,10.215733333333288,1.581982529434103,0.2222580472720925
2020,137,0.5255474452554745,3132.0,22.861313868613138,1.5307125307125307,0.24182556496912408
2021,135,0.4222222222222222,-49.5,-0.36666666666666664,0.9910301712421854,-0.03793304651204006
2022,130,0.3384615384615385,-2491.75,-19.16730769230769,0.7141669056495555,-0.18103879103106543
2023,139,0.4460431654676259,-430.0,-3.093525179856115,0.9318109736758643,-0.05354510286915258
2024,131,0.4732824427480916,1964.0,14.992366412213741,1.2869038054196187,0.13023713237141044
2025,137,0.39416058394160586,-731.25,-5.337591240875913,0.9378717077315208,-0.1093850369333549
2026,44,0.4090909090909091,-819.5,-18.625,0.8206979542719615,-0.05735324371472257
