time,open,high,low,close,tick_volume,spread,real_volume,body,body_abs,range,upper_wick,lower_wick,is_red,is_green,ret_1,ret_3,ret_5,ret_10,log_ret,rsi,atr,adx,ema_10,ema_20,ema_50,ema_100,ema_200,ema10_slope_5,ema20_slope_5,ema50_slope_5,dist_ema20_atr,dist_ema50_atr,dist_ema200_atr,rolling_red_ratio_5,rolling_red_ratio_10,rolling_green_ratio_5,rolling_vol_10,downside_vol_10,drawdown_pct,red_streak,green_streak,date,label,bear_window_id,target_active_bear,target_exhaustion_vs_active,bear_prob,exhaust_prob
2020-01-13 00:00:00+00:00,8466.0,8585.75,8463.75,8583.5,150107,0,170394,117.5,117.5,122.0,2.25,2.25,0,1,0.0138790455941413,0.0105368495408524,0.042889253386793,0.0398570476709674,0.0137836136301139,,,,8415.976117963886,8356.687582530414,8302.777726146329,8280.146211335496,8267.731312957376,141.32475597296434,87.77750623700194,41.10288595760176,,,,0.2,0.4,0.8,0.0117708965765872,,0.0,0,2,2020-01-13 00:00:00+00:00,OUTSIDE,,0,,0.10893250059316802,0.0
2020-01-14 00:00:00+00:00,8583.75,8593.25,8507.5,8509.5,243954,0,272236,-74.25,74.25,85.75,9.5,2.0,1,0,-0.0086211918215179,0.0062376208354273,0.0093707372041991,0.0157868035453161,-0.0086585692762515,,,,8432.98046015227,8371.241146098946,8310.884481983729,8284.687870516971,8270.136971534916,129.99298215969793,86.94155326204964,42.58904729259848,,,,0.4,0.5,0.6,0.0117012802594641,,-0.0086211918215179,1,0,2020-01-14 00:00:00+00:00,OUTSIDE,,0,,0.14869489697024274,0.0
2020-01-15 00:00:00+00:00,8509.75,8574.5,8501.5,8552.75,193067,0,218114,43.0,43.0,73.0,21.75,8.25,0,1,0.0050825547917034,0.0102468698322701,0.0069166470449728,0.0318503996380636,0.0050696822087452,,,,8454.756740124583,8388.527703613332,8320.369404258876,8289.996031496834,8272.949041469892,117.03971267611632,84.25664342756863,43.22281014386863,,,,0.4,0.4,0.6,0.0109108245872348,,-0.0035824547096172,0,1,2020-01-15 00:00:00+00:00,OUTSIDE,,0,,0.11581236190544099,0.0
2020-01-16 00:00:00+00:00,8552.5,8636.25,8542.25,8624.25,157811,0,175330,71.75,71.75,94.0,12.0,10.25,0,1,0.0083598842477565,0.004747480631444,0.0198066633162858,0.0445406649306607,0.0083251339534058,,75.14893274935453,,8485.573696465568,8410.977446126348,8332.286290366372,8296.614921962242,8276.444573395565,126.2143103713679,92.18458214875136,48.0964254323444,2.837998439511891,3.885134478322129,4.628215117365349,0.2,0.3,0.8,0.0107182763083542,,0.0,0,2,2020-01-16 00:00:00+00:00,OUTSIDE,,0,,0.09390507997318732,0.0
2020-01-17 00:00:00+00:00,8624.25,8667.75,8608.5,8649.75,149261,0,168455,25.5,25.5,59.25,18.0,15.75,0,1,0.0029567788503348,0.0164815794112462,0.0217044649184974,0.0386970879615731,0.0029524161772744,85.24992907784909,74.01329469582922,,8515.423933471828,8433.71768935241,8344.735847606906,8303.607695784773,8280.159055252327,136.67534484930002,100.90509813458448,53.41617345460509,2.918831157772573,4.121072486322952,4.99357509034793,0.2,0.3,0.8,0.0106201080224432,,0.0,0,3,2020-01-17 00:00:00+00:00,OUTSIDE,,0,,0.08419798614557665,0.0
2020-01-19 00:00:00+00:00,8649.75,8663.25,8646.25,8663.25,2280,25,2656,13.5,13.5,17.0,0.0,3.5,0,1,0.0015607387496747,0.0129198211101693,0.0092910817265683,0.0525788226717696,0.0015595220627417,85.42026101336359,69.94091650326999,,8542.301400113312,8455.577909414085,8357.226598681145,8310.729325571212,8283.970905448821,126.32528214942612,98.89032688367116,54.44887253481647,2.9692503468439004,4.375455979398654,5.422849935537321,0.2,0.2,0.8,0.0092002378386779,,0.0,0,4,2020-01-19 00:00:00+00:00,OUTSIDE,,0,,0.08869939572599089,0.0
2020-01-20 00:00:00+00:00,8663.25,8665.5,8638.5,8648.5,29235,0,32887,-14.75,14.75,27.0,2.25,10.0,1,0,-0.0017025942919804,0.0028118387106124,0.0163346847640872,0.0258584900065239,-0.0017040453529215,84.2751581925584,66.87370818160785,,8561.610236456347,8473.951441850839,8368.649085007375,8317.417853777722,8287.598060618486,128.6297763040766,102.71029575189276,57.76460302364649,2.610122317056839,4.184767416106765,5.396768763015484,0.2,0.3,0.8,0.0065461189384869,,-0.0017025942919804,1,0,2020-01-20 00:00:00+00:00,OUTSIDE,,0,,0.10391255983617512,0.0
2020-01-21 00:00:00+00:00,8648.75,8678.25,8593.0,8656.75,176706,0,198618,8.0,8.0,85.25,21.5,55.75,0,1,0.0009539226455455,0.0008092719442758,0.0121598316331004,0.0191605839416058,0.0009534679504774,84.40111560820867,68.18630045435015,,8578.908375282464,8491.360828341236,8379.947160105126,8324.137302217769,8291.271214244172,124.15163515788116,102.83312472790384,59.57775584625051,2.425548395450638,4.059508113073088,5.360003157826563,0.2,0.3,0.8,0.0063194631716863,,-0.0007502957896863,0,1,2020-01-21 00:00:00+00:00,OUTSIDE,,0,,0.10053751629614419,0.0
2020-01-22 00:00:00+00:00,8656.75,8732.5,8656.25,8661.0,175121,0,197665,4.25,4.25,76.25,71.5,0.5,0,1,0.0004909463713287,-0.0002597177733529,0.0042612401078354,0.0241523043722469,0.0004908258965894,84.47012767064025,68.76227899332514,,8593.834125231107,8507.516939927784,8390.968840101004,8330.807850688703,8294.950107634779,108.26042876553949,96.53949380143604,58.68254973463263,2.232082215993961,3.927024581678102,5.323411290669326,0.2,0.2,0.8,0.0059573585448999,,-0.0002597177733529,0,2,2020-01-22 00:00:00+00:00,OUTSIDE,,0,,0.10266365133662225,0.0
2020-01-23 00:00:00+00:00,8660.75,8750.75,8630.25,8748.5,216839,0,239012,87.75,87.75,120.5,2.25,30.5,0,1,0.0101027594965938,0.0115626987338843,0.011416514928177,0.0333687691944246,0.0100520677536302,85.85740816792661,72.45783049380192,,8621.955193370906,8530.46770755371,8404.989669900966,8339.078982358234,8299.46304188717,106.53125989907858,96.7500182012991,60.25382229406023,3.009092198322738,4.740831015198807,6.197217816937557,0.2,0.2,0.8,0.0063985486662312,,0.0,0,3,2020-01-23 00:00:00+00:00,OUTSIDE,,0,,0.10885607914108483,0.0
2020-01-24 00:00:00+00:00,8748.75,8766.0,8588.25,8615.75,291970,25,323348,-133.0,133.0,177.75,17.25,27.5,1,0,-0.0151740298336857,-0.0047361885234066,-0.0054829307707846,0.0037572085978911,-0.0152903334540042,74.922397263168,79.97869974424464,,8620.826976394377,8538.589830643832,8413.254780885241,8344.557616370943,8302.61017579874,78.52557628106479,83.0119212297468,56.02818220409608,0.9647589871166972,2.531864355913468,3.915290261064716,0.4,0.3,0.6,0.0075910399988207,,-0.0151740298336857,1,0,2020-01-24 00:00:00+00:00,OUTSIDE,,0,,0.1585582799589198,0.0
2020-01-26 00:00:00+00:00,8615.75,8615.75,8472.5,8493.0,15704,0,17930,-122.75,122.75,143.25,0.0,20.5,1,0,-0.0142471636247569,-0.0193972982334603,-0.0179799965311904,-0.0019390093424995,-0.0143496288506614,66.4896833713434,84.49807833394145,,8597.585707959035,8534.247942011087,8416.382044379938,8347.497069512112,8304.504601910196,35.97547150268838,60.29650016024789,47.73295937256262,-0.4881524269471831,0.9067419890575918,2.2307655014929377,0.4,0.3,0.6,0.0085021937725533,,-0.0292050065725553,2,0,2020-01-26 00:00:00+00:00,OUTSIDE,,0,,0.2564019465767095,0.0
2020-01-27 00:00:00+00:00,8493.25,8532.5,8404.5,8457.25,347251,0,384930,-36.0,36.0,128.0,39.25,52.75,1,0,-0.0042093488755445,-0.0332914213865234,-0.0230456002541369,-0.0111659992400104,-0.0042182331245577,64.22252274432661,87.60535845294564,,8572.070124693755,8526.914804676699,8417.984709306214,8349.670394868308,8306.024456617557,-6.838250588709343,35.55397633546272,38.03754920108804,-0.7952116846153515,0.4482064954380119,1.7262133966801685,0.6,0.4,0.4,0.00836955858994,,-0.0332914213865234,3,0,2020-01-27 00:00:00+00:00,OUTSIDE,,0,,0.31559215183824924,0.0
2020-01-28 00:00:00+00:00,8457.25,8614.5,8443.0,8578.5,276130,0,310064,121.25,121.25,171.5,36.0,14.25,0,1,0.0143368116113393,-0.004323477352523,-0.0095254589539314,-0.005304809113836,0.0142350113680294,68.18486658126008,93.5978328491638,,8573.239192931254,8531.827680421775,8424.279426588324,8354.201674177846,8308.7356560542,-20.5949322998531,24.310740493991037,33.3105864873196,0.4986474382739098,1.6476938484271093,2.88216442340642,0.6,0.4,0.4,0.0092709390731137,,-0.0194319026118763,0,1,2020-01-28 00:00:00+00:00,OUTSIDE,,0,,0.1604822604822955,0.0
2020-01-29 00:00:00+00:00,8578.5,8637.25,8550.75,8600.25,271853,0,303848,21.75,21.75,86.5,37.0,27.75,0,1,0.0025354082881623,0.0126280466266337,-0.016945762130651,-0.0057227087488077,0.002532199563042,68.8512816733112,93.09084478850926,,8578.150248761935,8538.344091810177,8431.180233388783,8359.073918253533,8311.636296292467,-43.80494460897171,7.876384256467645,26.19056348781669,0.6650053324842584,1.8161803880426983,3.1003446618539923,0.6,0.4,0.4,0.009254328694689,,-0.016945762130651,0,2,2020-01-29 00:00:00+00:00,OUTSIDE,,0,,0.17625071707487236,0.0
2020-01-30 00:00:00+00:00,8600.5,8718.5,8482.25,8696.5,353627,0,394980,96.0,96.0,236.25,22.0,118.25,0,1,0.0111915351297926,0.0282893375506223,0.0093723703682209,0.0038380515395493,0.011129373261685,71.67846530978866,103.31649873218716,,8599.668385350673,8553.406559256826,8441.584930118635,8365.755622842571,8315.465785881597,-21.15859104370429,14.816728612993757,28.330149233393968,1.3850008711008988,2.4673219960942068,3.688028715588826,0.4,0.4,0.6,0.0099668371571023,,-0.0059438760930444,0,3,2020-01-30 00:00:00+00:00,OUTSIDE,,0,,0.09006053218973505,0.0
2020-01-31 00:00:00+00:00,8696.25,8727.5,8443.5,8491.0,509375,0,567022,-205.25,205.25,284.0,31.25,47.5,1,0,-0.0236301960558845,-0.0101999184006528,-0.0002354880489815,-0.018211250505868,-0.0239138668488454,59.30241683945282,116.22246310845952,55.43366147337196,8579.910497105095,8547.463077422843,8443.522775996336,8368.235709518955,8317.212394977303,-17.67521085394037,13.21513541175591,27.140731616398625,-0.4858189709002374,0.4085029927420968,1.4953013417080758,0.4,0.4,0.6,0.0126081899359905,,-0.0294336171915184,1,0,2020-01-31 00:00:00+00:00,OUTSIDE,,0,,0.2866221830194751,0.0
2020-02-02 00:00:00+00:00,8491.0,8516.25,8453.5,8498.75,10159,0,11824,7.75,7.75,62.75,17.5,37.5,0,1,0.0009127311270757,-0.0118019825005086,0.0049070324277986,-0.0182516533341033,0.0009123148413063,59.58581802048936,112.40300145785528,52.57411744386435,8565.154043085986,8542.823736715905,8445.688549486676,8370.820150914618,8319.018739305888,-6.916081607769229,15.908932039206777,27.703840180462063,-0.392104624825615,0.4720643561570598,1.598989870048099,0.2,0.4,0.8,0.0126071842722928,,-0.0285477510430359,0,1,2020-02-02 00:00:00+00:00,OUTSIDE,,0,,0.25988877236416663,0.0
2020-02-03 00:00:00+00:00,8498.0,8634.25,8489.5,8568.25,262831,0,292881,70.25,70.25,144.75,66.0,8.5,0,1,0.0081776731872333,-0.0147473121370665,-0.0011948475840765,-0.0107089250663895,0.0081444171992384,62.13246011526959,114.71350135372276,51.065868746628425,8565.71694434308,8545.245285600105,8450.494880879356,8374.729652876706,8321.498652347622,-7.522248588174989,13.417605178330632,26.215454291032074,0.200540600089947,1.026514906536958,2.1510227195621243,0.2,0.4,0.8,0.0129910181620598,,-0.0206035320340629,0,2,2020-02-03 00:00:00+00:00,OUTSIDE,,0,,0.23669930794219657,0.0
2020-02-04 00:00:00+00:00,8568.5,8847.5,8566.0,8816.5,241729,0,273828,248.0,248.0,281.5,31.0,2.5,0,1,0.0289732442447407,0.0383347073371804,0.0251446178890148,0.0077727610447504,0.0285614548080701,69.52052551958721,126.62682268559972,50.9860841949812,8611.313863553427,8571.079067923905,8464.848022805656,8383.477580542514,8326.424038891428,33.163614791492364,32.73497611372841,33.66778941687335,1.938143332281561,2.777073369893017,3.8702381589829216,0.2,0.4,0.8,0.0157734262918355,,0.0,0,3,2020-02-04 00:00:00+00:00,OUTSIDE,,0,,0.1681770606374371,0.0
2020-02-05 00:00:00+00:00,8816.5,8942.75,8796.75,8859.5,292451,0,328513,43.0,43.0,146.0,83.25,19.75,0,1,0.0048772188510179,0.0424474187380496,0.0187431725406772,0.0282912108638249,0.004865363750147,70.59083700563872,128.01062106519973,51.322627003622905,8656.43861563462,8598.547728121628,8480.324570930925,8392.903767066426,8331.728277310418,56.77023028394797,45.14116886480224,38.73964081228951,2.038520473589929,2.9620622563494123,4.1228744794603545,0.2,0.3,0.8,0.0147469360602622,,0.0,0,4,2020-02-05 00:00:00+00:00,OUTSIDE,,0,,0.17561330751495685,0.0
2020-02-06 00:00:00+00:00,8859.5,8955.5,8841.5,8945.25,230940,0,255966,85.75,85.75,114.0,10.25,18.0,0,1,0.0096788757830577,0.0439996498701602,0.0534978212224708,0.0532497350759448,0.0096323355287637,72.65317560271252,127.00986241768548,51.686672853004985,8708.949776428326,8631.566992110043,8498.55694069834,8403.841316233425,8337.832971068525,129.0392793232313,84.10391468720081,55.03416470200318,2.4697531508094746,3.516995064782156,4.782439862299194,0.0,0.2,1.0,0.0135515229603157,,0.0,0,5,2020-02-06 00:00:00+00:00,OUTSIDE,,0,,0.1784742680069193,0.0
2020-02-07 00:00:00+00:00,8945.25,8949.25,8863.5,8878.5,245309,25,274273,-66.75,66.75,85.75,4.0,15.0,1,0,-0.0074620608702943,0.0070322690410027,0.0446830416237682,0.0498093351857873,-0.0074900413279994,68.61927445166438,124.0627293878508,52.0247154274312,8739.777089804993,8655.084421432897,8513.45666851409,8413.24049809019,8343.212742500678,174.6230467190071,112.26068471699182,67.76811902741429,1.8008275303104964,2.942409322180019,4.314650017297953,0.2,0.2,0.8,0.0138402763727438,,-0.0074620608702943,1,0,2020-02-07 00:00:00+00:00,OUTSIDE,,0,,0.1842153031640079,0.0
2020-02-09 00:00:00+00:00,8878.5,8903.0,8809.25,8834.75,14540,25,16714,-43.75,43.75,93.75,24.5,25.5,1,0,-0.004927634172439,-0.0027936113776172,0.0311032007702856,0.0298711896019117,-0.0049398149932677,66.03146064841388,121.89753443157574,51.507407458802895,8757.04489165863,8672.195428915478,8526.056407003734,8421.587220900285,8348.103660485747,191.3279473155508,126.95014331537276,75.56152612437836,1.333534528344114,2.532402270773929,3.992257446252287,0.4,0.3,0.6,0.0137250388598565,,-0.0123529247365919,2,0,2020-02-09 00:00:00+00:00,PRE_BEAR,1.0,0,,0.19526166683309615,0.0
2020-02-10 00:00:00+00:00,8834.75,9010.25,8834.75,9003.75,225546,0,253736,169.0,169.0,175.5,6.5,0.0,0,1,0.0191290076119867,0.0065397836840781,0.02123858674077,0.0469172407778843,0.0189483483979522,70.63791824291116,125.72628197217747,51.5663403687993,8801.900365902515,8703.772054733052,8544.789489082019,8433.11519672404,8354.627504660019,190.58650234908785,132.69298680914653,79.94146627636292,2.3859605212323998,3.650473900274459,5.162981718362026,0.4,0.3,0.6,0.0146227805001262,,0.0,0,1,2020-02-10 00:00:00+00:00,PRE_BEAR,1.0,0,,0.18159623008645343,0.0
2020-02-11 00:00:00+00:00,9004.25,9088.0,8980.0,9019.75,228845,0,259170,15.5,15.5,108.0,68.25,24.25,0,1,0.0017770373455505,0.0159092188995888,0.0180879282126531,0.0371701259127235,0.001775460282742,71.03835268686255,124.4601189741648,51.94946647470408,8841.509390283874,8733.865192377523,8563.41539147096,8444.73172748198,8361.24563894201,185.0707746492535,135.31746425589515,83.09082054003557,2.2969993117379244,3.666512713391867,5.290886482236785,0.4,0.3,0.6,0.0144558573033381,,0.0,0,2,2020-02-11 00:00:00+00:00,PRE_BEAR,1.0,0,,0.18041052214432224,0.0
2020-02-12 00:00:00+00:00,9019.75,9106.5,9002.75,9055.0,194860,0,221671,35.25,35.25,103.75,51.5,17.0,0,1,0.0039080905790072,0.0249299640623672,0.0122690813560268,0.0664232716994464,0.003900473831198,71.94609327373202,122.98082476172446,52.37942757140711,8880.325864777715,8764.449459770141,8582.693219256415,8456.816247729863,8368.148667410249,171.37608834938874,132.88246766009797,84.13627855807499,2.3625678295197705,3.8404912445389807,5.585027860404471,0.4,0.2,0.6,0.0107687868363925,,0.0,0,3,2020-02-12 00:00:00+00:00,PRE_BEAR,1.0,0,,0.18969295417078882,0.0
2020-02-13 00:00:00+00:00,9056.25,9123.25,8989.75,9088.25,253397,0,288230,32.0,32.0,133.5,35.0,66.5,0,1,0.0036720044174489,0.0093849784811883,0.0236244861181504,0.0693631416384763,0.0036652790678761,72.81173310122405,123.73219442160128,52.84765979498635,8918.130252999948,8795.2876064587,8602.518975364006,8469.319886388677,8375.313854799202,178.3531631949554,140.20318502580267,89.06230684991533,2.367713551923835,3.925664027107843,5.761929209560134,0.2,0.2,0.8,0.0106465237027509,,0.0,0,4,2020-02-13 00:00:00+00:00,PRE_BEAR,1.0,0,,0.18341275667160065,0.0
2020-02-14 00:00:00+00:00,9088.5,9137.75,9066.75,9109.25,191473,0,222433,20.75,20.75,71.0,28.5,21.75,0,1,0.0023106758726927,0.0099226696970537,0.0310704886952093,0.0631400811134128,0.0023080103664891,73.37061159988792,119.96560910577264,53.343961381844025,8952.879297909049,8825.188786795967,8622.390780251693,8481.991769826525,8382.616702015132,195.8344062504184,152.99335788048847,96.33437324795888,2.367855382233578,4.0583232426140325,6.057013367424345,0.0,0.2,1.0,0.0107186593872265,,0.0,0,5,2020-02-14 00:00:00+00:00,PRE_BEAR,1.0,0,,0.1779302381577032,0.0
2020-02-16 00:00:00+00:00,9109.25,9147.25,9109.25,9142.5,4272,25,5174,33.25,33.25,38.0,4.75,0.0,0,1,0.0036501358509206,0.0096631695196023,0.0154102457309455,0.0369761243123689,0.0036434902716564,74.27237501531056,114.11092274107456,53.846685859730286,8987.355789198313,8855.408902339208,8642.787220241824,8495.07114072105,8390.177729855777,185.45542329579803,151.63684760615615,97.99773115980496,2.515894979766496,4.3791844615266,6.592903221467178,0.0,0.2,1.0,0.0072615008404946,,0.0,0,6,2020-02-16 00:00:00+00:00,PRE_BEAR,1.0,0,,0.20375772603136866,0.0
2020-02-17 00:00:00+00:00,9142.25,9165.75,9058.25,9081.25,51201,0,58430,-61.0,61.0,107.5,23.5,23.0,1,0,-0.006699480448455,-0.0007702252908975,0.0068183707974167,0.0250296292115808,-0.0067220227049418,69.59695344861211,113.63871397385496,53.4228625615022,9004.427463889528,8876.917578306902,8659.98183905587,8506.678642884988,8397.054070852239,162.91807360565326,143.05238592937894,96.56644758490984,1.7980881210967317,3.707083142819194,6.020799648482255,0.2,0.3,0.8,0.0079358307389345,,-0.006699480448455,1,0,2020-02-17 00:00:00+00:00,PRE_BEAR,1.0,0,,0.20157921811431195,0.0
2020-02-18 00:00:00+00:00,9081.5,9143.25,9012.5,9142.75,214479,0,249810,61.25,61.25,130.75,0.5,69.0,0,1,0.0067721954576738,0.0036775804813788,0.0096907785753728,0.0220787568821441,0.0067493671492364,71.53455781667317,114.86094869000816,52.29122706936608,9029.577015909612,8902.234951801483,8678.913923798778,8519.274115303107,8404.47393084376,149.25115113189713,137.78549203134207,96.22070454236382,2.093967104935109,4.03823998923292,6.4275637418661065,0.2,0.3,0.8,0.0076955389351012,,0.0,0,1,2020-02-18 00:00:00+00:00,ACTIVE_BEAR,1.0,1,0.0,0.21973753726394643,0.013876792301215577
2020-02-19 00:00:00+00:00,9142.75,9227.25,9126.0,9223.5,163100,0,192252,80.75,80.75,101.25,3.75,16.75,0,1,0.0088321347515791,0.0088597210828547,0.0148818529419856,0.0388579151883763,0.0087933595938043,73.88768536914013,113.88873806929332,51.781554667791646,9064.835740289682,8932.831623058484,8700.270240512551,8533.21918232681,8412.623443969693,146.70548728973336,137.5440165997843,97.75126514854492,2.552213518817501,4.594218606312947,7.1199011401544,0.2,0.2,0.8,0.007122563838154,,0.0,0,2,2020-02-19 00:00:00+00:00,ACTIVE_BEAR,1.0,1,0.0,0.22745362575896227,0.01983952757204816
2020-02-20 00:00:00+00:00,9223.25,9241.5,8994.75,9051.25,431423,0,496432,-172.0,172.0,246.75,18.25,56.5,1,0,-0.018675123326286,-0.003303509979353,-0.0063671542662677,0.0245055038342907,-0.0188517053586032,62.09561983942258,123.37882820720094,49.54991774644077,9062.365605691555,8944.109563719581,8714.034152649314,8543.477218320337,8418.977937064523,109.48630778250843,118.92077692361454,91.64337239762062,0.8683859122124936,2.733174339963497,5.124639876410943,0.4,0.2,0.6,0.0098560690572942,,-0.018675123326286,1,0,2020-02-20 00:00:00+00:00,ACTIVE_BEAR,1.0,1,0.0,0.31096122555534333,0.012890022819945985
2020-02-21 00:00:00+00:00,9052.0,9090.5,8890.0,8934.75,385291,0,443857,-117.25,117.25,200.5,38.5,44.75,1,0,-0.0128711503935919,-0.0227502666046868,-0.0227235438884331,-0.0076634735526863,-0.0129547013554507,55.62909173544952,128.88748333525805,46.38234795576832,9039.162768293092,8943.218176698669,8722.689676074831,8551.225194195182,8424.10999739224,51.80697909477931,87.80927435946069,79.90245583300748,-0.0657020874295569,1.645313559064258,3.961905294399304,0.6,0.3,0.4,0.0090416182958454,,-0.0313059033989266,2,0,2020-02-21 00:00:00+00:00,ACTIVE_BEAR,1.0,1,0.0,0.39834956888756956,0.018481620066492722
2020-02-23 00:00:00+00:00,8934.75,8934.75,8767.5,8788.25,20811,0,25432,-146.5,146.5,167.25,0.0,20.75,1,0,-0.0163966535157671,-0.0471892448636634,-0.0322642807983482,-0.0256658998309265,-0.0165325663642352,48.75346803692307,131.6276630970253,43.73533125530674,8993.542264967075,8928.459302727368,8725.260669169937,8555.918754706167,8427.733281000277,-10.885198922453128,51.54172442046547,65.2788301140663,-1.0651963229341592,0.4785417392363241,2.7389130105119235,0.6,0.4,0.4,0.0102428520934651,,-0.0471892448636634,3,0,2020-02-23 00:00:00+00:00,ACTIVE_BEAR,1.0,1,0.0,0.550819356945262,0.04268166347707611
2020-02-24 00:00:00+00:00,8788.5,8802.5,8519.5,8619.25,641675,0,714459,-169.25,169.25,283.0,14.0,99.75,1,0,-0.0192302221716496,-0.0477282143350366,-0.0572584834978534,-0.04812258420762,-0.0194175280714876,42.26393012969084,142.43997287580922,42.776163886756905,8925.489125882152,8899.010797705712,8721.103388026017,8557.17283877139,8429.6389199953,-104.08789002746016,-3.224154095771155,42.18946422723821,-1.964061015018801,-0.7150618325013347,1.3311648140372734,0.8,0.5,0.2,0.0112073369039571,,-0.0655120073724725,4,0,2020-02-24 00:00:00+00:00,ACTIVE_BEAR,1.0,1,0.0,0.6886200417441317,0.057596501003404264
